variable,p_value,FDR
mz,0.029414665307237155,0.0756377107900384
RT,0.9999999701616693,0.9999999758051825
C,0.3335835054750226,0.573779649614792
H,0.99982059123453,0.9999999758051825
O,7.417402245233184e-4,0.003337831010354933
N,2.5468001676912257e-4,0.0015280801006147355
S,0.36566219556437896,0.573779649614792
P,0.42049740059627494,0.5822271700563807
Cl,0.38251976640986135,0.573779649614792
Br,0.1577397955381855,0.3549145399609174
B,0.8413241045054133,0.9999999758051825
Se,0.8413241045054133,0.9999999758051825
I,NaN,NaN
H/C,0.9999999758051825,0.9999999758051825
O/C,0.3339662410561238,0.573779649614792
N/C,0.007202481815601518,0.021607445446804555
AI-mod,0.002083412252061804,0.007500284107422494
DBE,9.287537360966028e-10,1.671756724973885e-8
DBE/C,2.2236722906733698e-9,2.001305061606033e-8
