Taxonomy,CCE-P1706_139_D_I,CCE-P1706_140_D_I,CCE-P1706_145_D_I,CCE-P1706_146_D_I,CCE-P1706_47_D_I,CCE-P1706_49_D_I,CCE-P1706_59_D_I,CCE-P1706_61_D_I,CCE-P1706_71_D_I,CCE-P1706_73_D_I,Exp1_Pn-delicatissima_A_I,Exp1_Pn-delicatissima_A_II,Exp1_Pn-delicatissima_B_I,Exp1_Pn-delicatissima_B_II,Exp1_Pn-multiseries_A_I,Exp1_Pn-multiseries_A_II,Exp1_Pn-subpacifica_A_I,Exp1_Pn-subpacifica_A_II,Exp1_Pn-subpacifica_B_I,Exp1_Pn-subpacifica_B_II,Exp2_Pn-delicatissima_A_I,Exp2_Pn-delicatissima_B_I,Exp2_Pn-galaxiae_A_I,Exp2_Pn-galaxiae_B_I,Exp2_Pn-hasleana_A_I,Exp2_Pn-hasleana_B_I,Exp2_Pn-multiseries_A_I,Exp2_Pn-multiseries_B_I,Exp2_Pn-subpacifica_A_I,Exp2_Pn-subpacifica_B_I,Piers_Goleta_I_I,Piers_NewportBeach_I_I,Piers_NewportBeach_M_I,Piers_SantaMonica_I_I,Piers_Scripps_I_I,Piers_Scripps_M_I,Piers_StearnWharf_I_I
Archaea;Euryarchaeota;Thermoplasmata;Marine Group II;3359,0,0,0,0,0.011311126846556213,0.010241249261106788,0,0,0.007942764152517741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Thermoplasmata;Marine Group II;5380,0.019600961622984893,0.03798708985544877,0,0,0.02628715042312291,0.025605473503809595,0.01690657415878016,0.020195865892512006,0.024267672045147112,0.029529262563120964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01727410312071422,0.01763968676021419,0.01825276386794387,0.026883008092150405,0,0,0
Archaea;Euryarchaeota;Thermoplasmata;Marine Group II;7917,0,0.00849223086406066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Thermoplasmata;Marine Group II;uncultured crenarchaeote;uncultured crenarchaeote;uncultured crenarchaeote;2714,0.03062050514814176,0.06851933378404061,0.019052227937356597,0.01855141778811115,0.036131933179907816,0.03585142546543064,0,0.025669571667008492,0.03370432092290107,0.034832799646521875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029922601367048822,0.024745528884434497,0.026680479785682713,0.03879149541164293,0.017817510460146024,0.0141447835037602,0.021891081624752628
Archaea;Euryarchaeota;Thermoplasmata;Marine Group II;uncultured crenarchaeote;uncultured crenarchaeote;uncultured crenarchaeote;7082,0,0.017507866415676476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Thermoplasmata;Marine Group II;uncultured marine archaeon DCM3921;uncultured marine archaeon DCM3921;uncultured marine archaeon DCM3921;1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01615448297058201,0,0,0,0,0
Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;1770,0,0,0.007378516701990942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;uncultured euryarchaeote;4317,0,0,0,0.007573222582371389,0.015996690128943867,0.010241249261106788,0.007969540184353648,0.012524420344981585,0.011232882901401174,0.013060029820330782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063073387586291664,0,0,0,0,0.01109593877530824,0
Bacteria;10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013845640884376448,0,0,0
Bacteria;11114,0,0.01040087870740815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006336076333792783,0,0,0,0,0
Bacteria;2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063073387586291664,0,0,0,0,0,0
Bacteria;3455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00875584516830548
Bacteria;4948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010159772948960035,0.017817510460146024,0.013011241653064849,0
Bacteria;5378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010974552997431655,0,0,0,0,0
Bacteria;6076,0.0055436625561740725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;6323,0.006789589672938464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;7520,0.009602003573780193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02459026497384436,0,0,0
Bacteria;8166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026884753940810076,0,0,0.011268425299890316,0,0
Bacteria;9605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006651067269206133,0,0,0
Bacteria;Actinobacteria;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;8424,0,0.015310000990116113,0.024473992510155244,0.019059830676480788,0.025294606442522273,0.01145011480217019,0.02391064576343037,0.011202123532326943,0.020509351012983713,0.0213279500374111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03798408950203886,0.047854269754962084,0.05560733803415244,0.03763272283658548,0.0785546068806831,0.10648273566730665,0.03419889746328906
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010018316873562538,0.020221094497159694,0,0.019107302969375604,0,0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus Aquiluna;10268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006900381774704269,0,0
