Taxonomy,Exp2_Pn-delicatissima_A_I,Exp2_Pn-delicatissima_B_I,Exp2_Pn-galaxiae_A_I,Exp2_Pn-galaxiae_B_I,Exp2_Pn-hasleana_A_I,Exp2_Pn-hasleana_B_I,Exp2_Pn-multiseries_A_I,Exp2_Pn-multiseries_B_I,Exp2_Pn-subpacifica_A_I,Exp2_Pn-subpacifica_B_I
1036;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,0,0,0,0,0,0,0,0,7,0
1503;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,0,0,0,0,0,0,187,173,0,0
1626;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella,838,1347,0,0,0,0,28,56,0,0
1852;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter,0,0,0,0,0,0,0,0,0,61
2321;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maribacter,8,14,0,0,0,0,0,0,0,0
2568;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae,0,0,0,0,523,250,0,0,0,0
2666;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,0,0,0,0,0,0,0,0,4055,5542
2682;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,0,0,0,0,175,0,0,0,0,0
2713;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudophaeobacter,0,0,0,0,0,0,150,253,0,19
2747;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae;Oleiphilus,69,49,0,0,0,0,173,183,313,288
3023;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,0,0,0,0,0,0,0,0,539,1067
3263;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae;Marinomonas,0,0,0,0,118,43,0,0,0,0
3349;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,2448,2797,0,0,0,0,0,0,528,1176
3399;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,753,905,1828,1523,0,0,0,0,22280,38239
3485;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;OM43 clade,0,0,0,0,0,0,39,114,1041,1963
376;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,0,0,309,308,0,0,0,0,0,0
3835;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,0,0,0,0,0,0,0,12,26,42
3841;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Neptuniibacter,0,0,0,0,0,0,0,89,0,0
4056;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter,0,0,14,11,0,0,0,0,0,0
4061;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,0,0,0,0,0,0,0,0,0,17
45;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter,19,57,0,0,0,0,336,802,1057,2456
4531;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,0,0,0,0,171,64,0,0,0,0
4616;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Litorimonas;uncultured marine bacterium,45,96,0,0,0,0,0,0,0,0
484;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella,0,0,0,0,63,0,0,0,0,0
493;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,1488,1552,0,0,1859,579,0,0,164,188
4940;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae;Pseudohongiella,17,14,0,0,0,0,172,335,328,551
592;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,276,360,0,0,332,85,0,0,0,0
5936;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Neptuniibacter,0,0,0,0,0,0,1879,2907,433,324
6007;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella;Thalassobium sp. R2A62,0,4,0,0,6,0,0,0,0,0
6323;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae;Marinomonas,702,824,130,176,63,0,0,0,779,423
6355;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,0,0,43,47,0,0,0,0,0,0
641;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,0,0,0,0,55,0,0,0,0,0
6637;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Nereida,0,0,0,0,0,0,0,0,0,42
6889;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;uncultured Thalassobacter sp.,0,0,1991,1256,4091,701,0,0,0,0
6896;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,0,0,0,0,8,0,0,0,0,0
7037;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Polaribacter 4,507,776,0,0,0,0,118,158,133,189
7259;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Umboniibacter;uncultured bacterium,0,0,0,0,16,7,0,0,0,0
7309;Bacteria;Proteobacteria;Alphaproteobacteria,0,0,0,0,0,0,0,13,0,0
7316;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter,0,0,0,0,0,0,0,0,0,35
7920;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella,0,0,0,0,1992,545,0,0,0,0
7937;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,0,1,0,0,0,0,0,0,0,0
8570;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;uncultured Thalassobacter sp.,0,0,0,0,94,0,0,0,0,0
8702;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,0,0,0,0,0,0,0,0,13,0
8714;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,81,92,0,0,0,0,125,189,64,162
8819;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,4,0,0,0,0,0,0,0,0,0
9037;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hyphomonas,8,3,0,0,0,0,12,22,65,119
9404;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,80,0,0,0,0,0,0,0,0,0
