#Scan#,Adduct_library,CAS_Number_library,Charge_library,Compound_Name_library,Compound_Source_library,Data_Collector_library,ExactMass_library,FileScanUniqueID_library,INCHI_AUX_library,INCHI_library,Instrument_library,Ion_Source_library,IonMode_library,LibMZ_library,Library_Class_library,LibraryName_library,LibraryQualityString_library,MassDiff_library,MQScore_library,MZErrorPPM_library,NumberHits_library,Organism_library,PI_library,Precursor_MZ_library,Pubmed_ID_library,RT_Query_library,SharedPeaks_library,Smiles_library,SpecCharge_library,SpecMZ_library,SpectrumFile_library,SpectrumID_library,tags_library,TIC_Query_library,UpdateWorkflowName_library,Adduct_analog,CAS_Number_analog,Charge_analog,Compound_Name_analog,Compound_Source_analog,Data_Collector_analog,ExactMass_analog,FileScanUniqueID_analog,INCHI_analog,INCHI_AUX_analog,Instrument_analog,internalFilename_analog,Ion_Source_analog,IonMode_analog,LibMZ_analog,Library_Class_analog,LibraryName_analog,LibraryQualityString_analog,MassDiff_analog,MQScore_analog,MZErrorPPM_analog,NumberHits_analog,Organism_analog,PI_analog,Precursor_MZ_analog,Pubmed_ID_analog,RT_Query_analog,SharedPeaks_analog,Smiles_analog,SpecCharge_analog,SpecMZ_analog,SpectrumFile_analog,SpectrumID_analog,tags_analog,TIC_Query_analog,UpdateWorkflowName_analog,inchi_combined
31,M+H,N/A,1,AdenineHCl,Isolated,Ed Esquenazi,0,spectra/specs_ms.mgf31,N/A,N/A,qTof,LC-ESI,Positive,172.133,3,lib-00036.mgf,Bronze,0.00050354,0.810009,2.9253,1,GNPS-SELLECKCHEM-FDA-PART1,Sirenas,172.133,N/A,0,4,N/A,1,172.133,spectra/specs_ms.mgf,CCMSLIB00000004260,NA,3777620,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,51616,1,Dopamine,Isolated,NIST,0,spectra/specs_ms.mgf31,"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2",N/A,HCD,specs_ms.mgf,ESI,Positive,154.086,3,lib-00052.mgf,Bronze,18.0472,0.881218,117124,1,NIST17,NIST,154.086,N/A,0,5,C1=CC(=C(C=C1CCN)O)O,1,172.133,specs_ms.mgf,CCMSLIB00003444828,NA,3777620,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2"
53,M+H,15356-74-8,0,Dihydroactinidiolide,Isolated,N/A,0,spectra/specs_ms.mgf53,N/A,"InChI=1S/C11H16O2/c1-10(2)5-4-6-11(3)8(10)7-9(12)13-11/h7H,4-6H2,1-3H3",LC-ESI-QTOF,LC-ESI,Positive-0eV,181.122,3,lib-00037.mgf,Bronze,0.000137329,0.969657,0.758212,1,METLIN,Metlin,181.122,N/A,0,7,N/A,1,181.122,spectra/specs_ms.mgf,CCMSLIB00000508483,NA,6259460,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,15356-74-8,0,Dihydroactinidiolide,Isolated,N/A,0,spectra/specs_ms.mgf53,"InChI=1S/C11H16O2/c1-10(2)5-4-6-11(3)8(10)7-9(12)13-11/h7H,4-6H2,1-3H3",N/A,LC-ESI-QTOF,specs_ms.mgf,LC-ESI,Positive-0eV,181.122,3,lib-00037.mgf,Bronze,0.000137329,0.969657,0.758212,1,METLIN,Metlin,181.122,N/A,0,7,N/A,1,181.122,specs_ms.mgf,CCMSLIB00000508483,NA,6259460,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C11H16O2/c1-10(2)5-4-6-11(3)8(10)7-9(12)13-11/h7H,4-6H2,1-3H3"
72,[M+H]+,134-62-3,1,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",Isolated,Massbank,0,spectra/specs_ms.mgf72,N/A,"1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3",LC-ESI-QFT,ESI,Positive,192.138,3,lib-00036.mgf,Bronze,0.000305176,0.97879,1.58832,1,MASSBANKEU,Massbank EU,192.138,N/A,0,4,CCN(CC)C(=O)C1=CC(C)=CC=C1,1,192.138,spectra/specs_ms.mgf,CCMSLIB00000841613,NA,8409500,UPDATE-SINGLE-ANNOTATED-BRONZE,[M+H]+,134-62-3,1,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",Isolated,Massbank,0,spectra/specs_ms.mgf72,"1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3",N/A,LC-ESI-QFT,specs_ms.mgf,ESI,Positive,192.138,3,lib-00036.mgf,Bronze,0.000305176,0.97879,1.58832,1,MASSBANKEU,Massbank EU,192.138,N/A,0,4,CCN(CC)C(=O)C1=CC(C)=CC=C1,1,192.138,specs_ms.mgf,CCMSLIB00000841613,NA,8409500,UPDATE-SINGLE-ANNOTATED-BRONZE,"1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3"
80,M+H,112607,1,Tetraethylene glycol,Isolated,NIST,0,spectra/specs_ms.mgf80,N/A,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2",HCD,ESI,Positive,195.123,3,lib-00052.mgf,Bronze,0.00279236,0.956026,14.3108,1,NIST17,NIST,195.123,N/A,0,5,C(COCCOCCOCCO)O,1,195.12,spectra/specs_ms.mgf,CCMSLIB00003441001,NA,303140,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,112607,1,Tetraethylene glycol,Isolated,NIST,0,spectra/specs_ms.mgf80,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2",N/A,HCD,specs_ms.mgf,ESI,Positive,195.123,3,lib-00052.mgf,Bronze,0.00279236,0.956026,14.3108,1,NIST17,NIST,195.123,N/A,0,5,C(COCCOCCOCCO)O,1,195.12,specs_ms.mgf,CCMSLIB00003441001,NA,303140,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2"
130,M+H-C7H11NO,479413688,1,"Dodecanoic acid, 12-[[(cyclohexylamino)carbonyl]amino]-",Isolated,NIST,0,spectra/specs_ms.mgf130,N/A,"InChI=1S/C19H36N2O3/c22-18(23)15-11-6-4-2-1-3-5-7-12-16-20-19(24)21-17-13-9-8-10-14-17/h17H,1-16H2,(H,22,23)(H2,20,21,24)",HCD,ESI,Positive,216.196,3,lib-00052.mgf,Bronze,0.000305176,0.749712,1.41157,1,NIST17,NIST,216.196,N/A,0,8,C1CCC(CC1)NC(=O)NCCCCCCCCCCCC(=O)O,1,216.196,spectra/specs_ms.mgf,CCMSLIB00003594812,NA,525815,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H-H2O,53941381,1,Spectral Match to 3-Hydroxydodecanoic acid from NIST14,Isolated,Data deposited by amelnik,0,spectra/specs_ms.mgf130,N/A,N/A,Q-TOF,specs_ms.mgf,ESI,Positive,199.169,3,lib-00036.mgf,Bronze,17.0271,0.925142,85490.7,1,GNPS-NIST14-MATCHES,Data from Rob Knight,199.169,N/A,0,7,N/A,1,216.196,specs_ms.mgf,CCMSLIB00003137333,NA,525815,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C19H36N2O3/c22-18(23)15-11-6-4-2-1-3-5-7-12-16-20-19(24)21-17-13-9-8-10-14-17/h17H,1-16H2,(H,22,23)(H2,20,21,24)"
135,M+2H],N/A,1,Ile-Phe-Arg,Isolated,NIST,0,spectra/specs_ms.mgf135,N/A,N/A,Q-TOF,ESI,Positive,218.139,3,lib-00036.mgf,Bronze,217.132,0.827417,0.909348,1,NIST14,NIST,218.139,N/A,0,11,N/A,2,218.139,spectra/specs_ms.mgf,CCMSLIB00000388533,NA,1079170,UPDATE-SINGLE-ANNOTATED-BRONZE,M+2H],N/A,1,Ile-Phe-Arg,Isolated,NIST,0,spectra/specs_ms.mgf135,N/A,N/A,Q-TOF,specs_ms.mgf,ESI,Positive,218.139,3,lib-00036.mgf,Bronze,217.132,0.827417,0.909348,1,NIST14,NIST,218.139,N/A,0,11,N/A,2,218.139,specs_ms.mgf,CCMSLIB00000388533,NA,1079170,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
144,M+H,84662,1,Spectral Match to Diethyl phthalate from NIST14,Isolated,Data deposited by marjo,0,spectra/specs_ms.mgf144,N/A,N/A,qTof,LC-ESI,Positive,223.097,3,lib-00032.mgf,Bronze,0.000305176,0.843314,1.36791,1,GNPS-NIST14-MATCHES,Data from Maria Maansson,223.097,N/A,0,4,CCOC(=O)C1=CC=CC=C1C(=O)OCC,1,223.097,spectra/specs_ms.mgf,CCMSLIB00003136861,Plastic,13833100,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,84742,1,Spectral Match to Dibutyl phthalate from NIST14,Isolated,Data deposited by negarg,0,spectra/specs_ms.mgf144,N/A,N/A,QqQ,specs_ms.mgf,ESI,Positive,279.159,3,lib-00036.mgf,Bronze,56.0623,0.861037,200826,1,GNPS-NIST14-MATCHES,Data from Pieter C Dorrestein,279.159,N/A,0,4,N/A,1,223.097,specs_ms.mgf,CCMSLIB00003135580,NA,13833100,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
145,M+H,84662,1,Spectral Match to Diethyl phthalate from NIST14,Isolated,Data deposited by daniel,0,spectra/specs_ms.mgf145,N/A,N/A,QqQ,ESI,Positive,223.097,3,lib-00036.mgf,Bronze,0.000305176,0.877578,1.36791,1,GNPS-NIST14-MATCHES,Data from Pieter Dorrestein,223.097,N/A,0,5,N/A,1,223.097,spectra/specs_ms.mgf,CCMSLIB00003135851,NA,3683960,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,84662,1,Spectral Match to Diethyl phthalate from NIST14,Isolated,Data deposited by daniel,0,spectra/specs_ms.mgf145,N/A,N/A,QqQ,specs_ms.mgf,ESI,Positive,223.097,3,lib-00036.mgf,Bronze,0.000305176,0.877578,1.36791,1,GNPS-NIST14-MATCHES,Data from Pieter Dorrestein,223.097,N/A,0,5,N/A,1,223.097,specs_ms.mgf,CCMSLIB00003135851,NA,3683960,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
192,M+H,4792158,1,Pentaethylene glycol,Isolated,NIST,0,spectra/specs_ms.mgf192,N/A,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2",HCD,ESI,Positive,239.149,3,lib-00052.mgf,Bronze,0.000991821,0.946043,4.1473,1,NIST17,NIST,239.149,N/A,0,6,C(COCCOCCOCCOCCO)O,1,239.148,spectra/specs_ms.mgf,CCMSLIB00003440923,NA,724929,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H,112607,1,Tetraethylene glycol,Isolated,NIST,0,spectra/specs_ms.mgf192,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2",N/A,HCD,specs_ms.mgf,ESI,Positive,195.123,3,lib-00052.mgf,Bronze,44.0252,0.955858,225628,1,NIST17,NIST,195.123,N/A,0,6,C(COCCOCCOCCO)O,1,239.148,specs_ms.mgf,CCMSLIB00003441000,NA,724929,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2"
274,M+H-C2H5NO2,2601903,1,N-Oleoylglycine,Isolated,NIST,0,spectra/specs_ms.mgf274,N/A,"InChI=1S/C20H37NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19(22)21-18-20(23)24/h9-10H,2-8,11-18H2,1H3,(H,21,22)(H,23,24)/b10-9-",HCD,ESI,Positive,265.253,3,lib-00052.mgf,Bronze,0.000183105,0.938373,0.690306,1,NIST17,NIST,265.253,N/A,0,9,CCCCCCCCC=CCCCCCCCC(=O)NCC(=O)O,1,265.252,spectra/specs_ms.mgf,CCMSLIB00003720193,NA,191740,UPDATE-SINGLE-ANNOTATED-BRONZE,M+H-H2O,10030736,1,Spectral Match to Palmitelaidic acid from NIST14,Isolated,Data deposited by mjmeehan,0,spectra/specs_ms.mgf274,N/A,N/A,HCD,specs_ms.mgf,ESI,Positive,237.22,3,lib-00032.mgf,Bronze,28.0324,0.960334,118171,1,GNPS-NIST14-MATCHES,Data from Gabriel Haddad,237.22,N/A,0,9,N/A,1,265.252,specs_ms.mgf,CCMSLIB00003137099,NA,191740,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C20H37NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19(22)21-18-20(23)24/h9-10H,2-8,11-18H2,1H3,(H,21,22)(H,23,24)/b10-9-"
