feature,Pn-delicatissima,Pn-galaxiae,Pn-hasleana,Pn-multiseries,Pn-subpacifica,MeanDecreaseAccuracy,MeanDecreaseGini
X1.hydroxy.2.unsubstituted.benzenoids,0.0021092857142857163,0.006088904761904765,0.031221571428571425,0.009698238095238058,0.01307738095238096,0.012333392367694223,0.6560155133180952
Alkyl.aryl.ethers,0.02750771428571432,0.004144666666666674,0.0033583809523809573,0.004421000000000001,0.005646714285714279,0.0086694030309216,0.412579934421006
Alpha.amino.acid.amides,0.007307476190476164,0.008111571428571395,0.010982714285714254,0.06750580952380916,0.020744952380952513,0.021696399955050173,0.8779139882368558
Alpha.amino.acids.and.derivatives,0.03377771428571438,0.004937666666666672,0.017173047619047727,0.0041588571428571456,0.006449999999999978,0.013010575067605248,0.6365777334405711
Amidines,0.011820714285714287,0.0012517142857142872,0.004079761904761908,0.005300809523809524,0.008519809523809508,0.006324949431803155,0.3081101315825259
Amines,0.015740523809523826,0.010844190476190459,-0.0028684761904761895,0.0024784761904761915,0.004024714285714285,0.005906388187749643,0.3524325662713505
Amino.acids,0.007174190476190461,0.026311952380952387,-0.0020205238095238115,0.006348380952380952,0.01237109523809524,0.009659070910685423,0.47898699544506
Amino.acids.and.derivatives,0.031171952380952463,0.004101666666666668,0.0036605714285714323,0.002734428571428571,0.004905952380952387,0.008941251954615715,0.37722209615677205
Amino.acids..peptides..and.analogues,0.03120800000000004,0.0033803333333333346,0.003929476190476193,0.006759428571428549,0.008586142857142829,0.01045779041813018,0.4654258580063153
Aminoimidazoles,0.032046047619047696,0.025207857142857143,0.005647142857142863,0.007007095238095224,0.013727904761904774,0.016236044149606842,0.7099438384669003
Aminopyrimidines.and.derivatives,0.03236419047619055,0.007913714285714267,0.004074666666666667,0.006659095238095219,0.007579999999999978,0.011204700076325423,0.5159825474739279
Aralkylamines,0.003918380952380951,1.3523809523809528e-4,0.003256142857142858,0.002950190476190479,0.004325523809523811,0.0030631250070878606,0.1396148241168271
Azacyclic.compounds,0.009388190476190455,0.006854047619047621,0.011124190476190446,0.008203904761904761,0.02092866666666664,0.011313609858493733,0.463322414634549
Azoles,0.009096476190476164,0.006423476190476178,0.005847952380952371,0.011167714285714284,0.015800714285714258,0.009787449539023043,0.33563594770270405
Carboximidamides,0.01230795238095238,0.016343809523809524,0.01619157142857144,0.0047496666666666685,0.012657857142857134,0.012612556494932632,0.47247877178872993
Carboximidic.acids,0.008800428571428527,0.009528809523809488,0.008721571428571398,0.009215761904761898,0.040747142857142975,0.014582110552759904,0.5908647315030714
Carboximidic.acids.and.derivatives,0.008674476190476144,0.009513190476190432,0.008824142857142813,0.00738452380952381,0.0385634761904763,0.013897176699891054,0.574643279219803
Carboxylic.acid.amides,2.444761904761905e-4,0.0037234285714285715,0.002279666666666666,0.01606880952380953,0.003876857142857148,0.005356535325183943,0.3090450876554594
Dialkylamines,0.022176714285714303,0.007794380952380934,0.00667880952380951,0.023274285714285713,0.019563523809523895,0.015833910519305296,0.6060314090117015
Diazinanes,9.80333333333333e-4,5.199999999999994e-5,0.006050333333333324,4.959999999999997e-4,0.0016796666666666678,0.0021047561212437465,0.200450553946448
Dihydropyridinecarboxylic.acids.and.derivatives,0.006681428571428567,0.0016048095238095255,0.005787999999999994,0.0051805238095238085,0.011345285714285705,0.006208635812673739,0.2652110931010664
Dipeptides,1.9885714285714287e-4,-3.3004761904761913e-4,0.004633666666666671,0.0031058571428571424,-5.6666666666666525e-6,0.0016049254614494588,0.15572938351903265
Fatty.amides,0.007325523809523788,0.009308666666666635,0.009880142857142815,0.03965619047619059,0.013019809523809501,0.015275142170608847,0.6720718949789104
Guanidines,0.012848238095238109,4.264285714285712e-4,0.002998904761904763,5.628095238095236e-4,0.0019510952380952383,0.0039616824973272464,0.20330026587584096
Heteroaromatic.compounds,0.03228200000000014,0.008694619047619012,0.010853142857142813,0.012746142857142836,0.0174631428571429,0.016066552455542428,0.5797368343035256
Hydroxamic.acids,0.004743714285714289,0.009926904761904701,0.007400047619047594,0.06620771428571391,0.01864638095238108,0.02008698934862867,0.8373517849720131
Imidazoles,0.037045190476190634,0.01685342857142864,0.013050190476190495,0.013365238095238107,0.018695571428571506,0.019495777720473603,0.8066792235999823
Imidazolyl.carboxylic.acids.and.derivatives,0.0010083333333333333,0.00391519047619048,5.128571428571426e-4,-1.0333333333333336e-4,-1.9766666666666668e-4,0.0010812745259556444,0.1523662114583728
Imidolactams,0.037073666666666776,0.04347400000000004,0.009882619047618987,0.010911809523809497,0.012256095238095227,0.022432161071814453,0.9571552302459796
Imines,0.006050190476190475,0.008522761904761882,0.01079223809523805,0.013049666666666668,0.014781523809523802,0.010770564848034635,0.39439493607573606
Isoleucine.and.derivatives,0.008045476190476146,0.0066937142857142785,0.01775590476190482,0.0671978095238092,0.01951638095238115,0.022023258381419882,0.950041714457622
Lactams,0.0074353333333333,0.007507523809523791,0.027287714285714318,0.00290642857142857,0.04091423809523816,0.016528015812876422,1.0104571347256894
Methyl.esters,0.006502095238095227,0.007833904761904752,0.007127142857142841,0.01071861904761906,0.01629723809523809,0.009830525421001397,0.3153074166045235
N.acyl.alpha.amino.acids.and.derivatives,0.02993204761904765,0.004217761904761911,0.0011106190476190484,0.0030279047619047625,0.004658428571428575,0.008161562319173787,0.3825945756478183
N.acyl.amines,0.007541571428571403,0.010657333333333295,0.009216285714285666,0.07000014285714255,0.022719904761904896,0.022448451318719226,0.880391787705793
N.substituted.imidazoles,0.03575690476190482,0.0139749523809524,0.015946333333333396,0.015509190476190518,0.01843700000000003,0.01987308652346598,0.7830574431763895
Organic.1.3.dipolar.compounds,0.007465857142857135,0.006810809523809514,0.010882142857142821,0.008998809523809518,0.02640966666666667,0.011614724272029964,0.42475069866784265
Organic.acids.and.derivatives,0.007680952380952364,0.007992428571428536,0.009728333333333285,0.006303714285714276,0.044813619047619074,0.01465052803551797,0.6733333741161993
Organic.nitrogen.compounds,0.03149347619047625,0.0039148571428571505,0.00372219047619048,0.002893238095238097,0.0037564761904761933,0.008837432596213538,0.36697416055644455
Organoheterocyclic.compounds,0.0076814285714285595,0.007596666666666655,0.010655333333333282,0.005806714285714282,0.0251469523809524,0.010978013261935857,0.48009505826089255
Organonitrogen.compounds,0.03151609523809529,0.003264666666666665,0.0040784285714285775,0.002896666666666668,0.003549714285714288,0.008619565091255499,0.37357757079231635
Organopnictogen.compounds,0.029688142857142864,0.003814333333333339,0.003809904761904761,0.0027979999999999967,0.0034281904761904775,0.008183469179685106,0.35018266715603363
Peptides,9.583333333333332e-4,-2.9285714285714315e-4,7.341428571428568e-4,0.00342514285714286,6.490476190476195e-5,0.0011680016634813735,0.12638806312220063
Peptidomimetics,0.005402428571428571,0.010260523809523778,7.371428571428575e-4,0.019001666666666743,0.03171861904761909,0.01338667430642968,0.535373928968282
Phenol.ethers,0.030990333333333432,0.0047692380952381,0.004372238095238094,0.0057688571428571415,0.00609447619047618,0.010099457334259461,0.44492789466177535
Piperidines,0.002577666666666667,2.046666666666668e-4,0.0022976666666666644,0.020996142857142835,0.012348761904761897,0.007484243929273333,0.3077903198232952
Primary.carboxylic.acid.amides,-1.954285714285714e-4,0.00977719047619044,0.011200238095238084,0.05000180952380957,0.018902619047619147,0.01684085449681039,0.7311063350399074
Propargyl.type.1.3.dipolar.organic.compounds,0.006771428571428558,0.007293999999999987,0.0109035714285714,0.010297714285714278,0.019984857142857148,0.010798513670711779,0.37460369718673425
Pyrans,0.008118904761904742,0.008947333333333293,0.005592142857142855,0.013462428571428568,0.012077857142857147,0.009665141706246928,0.37874544540002825
Pyridines.and.derivatives,0.010304904761904758,4.4214285714285715e-4,0.003415523809523811,0.003269761904761906,0.006153142857142853,0.004867148908796749,0.24319722530086121
Pyrrole.carboxylic.acids.and.derivatives,0.002769904761904763,-0.0011270476190476198,0.002421809523809525,0.002841714285714285,0.0038736666666666637,0.002205650103078898,0.11654722401921035
Pyrrolidine.carboxylic.acids.and.derivatives,-2.744761904761905e-4,0.002151047619047618,0.014868952380952401,2.8566666666666644e-4,0.0024124285714285693,0.0039447802390248365,0.2903581986750517
Pyrrolidines,0.028007000000000084,0.009913999999999949,0.040597761904761956,0.003991380952380952,0.007184476190476165,0.017345229289973858,0.9543231088266104
Secondary.amines,0.030321952380952436,0.004552476190476198,0.003761095238095243,0.002567666666666666,0.0033111428571428597,0.008511287043537805,0.3536543463988247
Secondary.carboxylic.acid.amides,0.006015523809523804,0.014641809523809552,0.012207809523809529,0.012582333333333329,0.0041880000000000025,0.009888027573647503,0.4711919959550774
Substituted.imidazoles,0.02145709523809526,0.009845285714285675,0.01751100000000008,0.011823476190476176,0.01905861904761907,0.016004051022850525,0.6240407027105938
Tertiary.alkylarylamines,0.019183000000000162,0.03125590476190479,0.13950471428571512,0.018559619047619193,0.021369000000000145,0.04318563257940976,1.6846158817618053
