feature,DOM,Unfil,MeanDecreaseAccuracy,MeanDecreaseGini
X9,0,0,0,0
X53,0,0,0,0
X116,0,0,0,0
X117,1e-5,2.857142857142857e-6,6.153846153846154e-6,1.0434782608695649e-4
X147,2.857142857142857e-6,0,1.6666666666666667e-6,3.799999999999997e-5
X175,0,0,0,0
X209,0,0,0,0
X231,0,0,0,0
X268,0,2.857142857142857e-6,1.25e-6,3.8333333333333355e-5
X278,0,0,0,0
X310,3.3333333333333333e-6,0,2.222222222222222e-6,3.7777777777777785e-5
X320,0,0,0,3.7894736842105276e-5
X321,0,0,0,0
X323,0,0,0,0
X336,0,0,0,0
X358,2.857142857142857e-6,2.857142857142857e-6,2.857142857142857e-6,3.80952380952381e-5
X385,2.103506493506494e-4,2.2824747474747486e-4,2.11100095982449e-4,0.013040635693511849
X398,0,0,0,0
X399,0,0,0,0
X417,0,0,0,0
X433,5e-6,0,2.857142857142857e-6,3.81818181818182e-5
X442,6.666666666666667e-6,2.222222222222222e-6,3.75e-6,7.610859728506789e-5
X444,0,0,0,0
X569,0,0,0,0
X575,0,0,0,0
X590,2e-6,0,1.176470588235294e-6,3.7894736842105276e-5
X617,0,0,0,0
X626,0,0,0,0
X627,3.818181818181818e-6,2.857142857142857e-6,3.6029411764705883e-6,4.6674229691876754e-4
X646,0,-6.666666666666667e-6,-1.8181818181818183e-6,1.0615384615384613e-4
X683,8e-6,0,3.6363636363636366e-6,3.80952380952381e-5
X707,0,0,0,0
X720,4e-6,7.5e-6,6.153846153846154e-6,3.764705882352942e-5
X738,5e-6,0,2.5e-6,3.81818181818182e-5
X742,0,0,0,0
X743,0,0,0,3.80952380952381e-5
X768,0,0,0,0
X782,2.857142857142857e-6,5.714285714285714e-6,4.2857142857142855e-6,7.36e-5
X789,0,0,0,0
X799,2.903320568320568e-4,3.099920634920635e-4,2.882459401623488e-4,0.017306418668186132
X801,0,0,0,1.1084249084249087e-4
X807,4.8047619047619056e-5,3.746031746031746e-5,4.087057387057387e-5,0.002989892468324962
X809,0,0,0,0
X853,0,2.5e-6,1.4285714285714284e-6,7.157894736842107e-5
X864,0,0,0,7.599999999999994e-5
X884,1.0666666666666667e-5,3.3333333333333333e-6,6.666666666666667e-6,1.1038095238095238e-4
X887,0,0,0,0
X1128,0,0,0,0
X1143,0,0,0,0
X1145,0,0,0,0
X1161,0,0,0,3.8333333333333355e-5
X1180,8.846385281385281e-4,7.633593073593076e-4,7.886814838927837e-4,0.03574829151138718
X1183,8e-6,5e-6,6.153846153846154e-6,3.80952380952381e-5
X1184,0,0,0,0
X1193,0,0,0,0
X1195,0,0,0,3.7333333333333344e-5
X1201,0,2.857142857142857e-6,1.25e-6,3.80952380952381e-5
X1202,2.2877417027417028e-4,2.853534798534799e-4,2.418139540198364e-4,0.014678904761904761
X1213,0,0,0,3.840000000000003e-5
X1224,0,0,0,0
X1234,2.5e-6,0,2e-6,3.799999999999997e-5
X1244,-1.7777777777777782e-6,-2.222222222222222e-6,-1.5238095238095236e-6,1.1038095238095238e-4
X1245,0,0,0,7.407407407407405e-5
X1259,0,0,0,0
X1261,0,0,0,0
X1262,0,0,0,0
X1269,0,0,0,3.840000000000003e-5
X1280,0,0,0,0
X1305,0,0,0,0
