feature,Pn-delicatissima,Pn-galaxiae,Pn-hasleana,Pn-multiseries,Pn-subpacifica,MeanDecreaseAccuracy,MeanDecreaseGini
X9,1.993333333333333e-4,-1.433333333333333e-5,1.1399999999999998e-4,2.3899999999999998e-4,1.69e-4,1.413989612039147e-4,0.005307025435378849
X53,-1.5e-5,-1.0633333333333333e-4,4.666666666666667e-5,3.3333333333333337e-6,2.2999999999999997e-5,-4.756823242117359e-6,0.002573891785991786
X116,5.333333333333339e-6,-4.123333333333333e-4,0.0019056666666666655,2.65e-4,1.1971428571428571e-4,3.6347707418140843e-4,0.03919236040692823
X117,1.1666666666666665e-5,-7e-6,9e-6,0,9.300000000000001e-5,2.0375026933850465e-5,0.0014134350041814544
X147,0,-1.3399999999999998e-4,1.8333333333333336e-5,1.7333333333333332e-5,6.666666666666667e-6,-1.142636285283344e-5,0.0025907807985616053
X175,-2.376190476190476e-5,1.9433333333333328e-4,0.0029650476190476193,4.0099999999999994e-4,9.303333333333334e-4,7.983810718005765e-4,0.04567766915408488
X209,4.979999999999999e-4,3.9699999999999995e-4,5.613333333333331e-4,8.666666666666664e-4,5.014761904761904e-4,5.592184540605587e-4,0.01910534503339655
X231,4.399999999999999e-5,4.166666666666666e-5,1.4666666666666666e-4,3.733333333333333e-5,2.6233333333333333e-4,1.0597694170294787e-4,0.005145787497612884
X268,2.7633333333333335e-4,4.399999999999999e-5,1.3399999999999998e-4,2.88e-4,2.77e-4,2.0631776720012016e-4,0.007743009970917759
X278,3.3333333333333333e-6,1.6666666666666662e-6,-3.6666666666666666e-5,0,1.6666666666666664e-5,-3.420060331825038e-6,7.354498834498836e-4
X307,1.7833333333333332e-4,8.599999999999999e-5,2.1699999999999996e-4,9.046666666666666e-4,-4.600000000000001e-5,2.2062331811635222e-4,0.014650923612213625
X308,2.4933333333333334e-4,-1.2100000000000001e-4,4.496666666666665e-4,9.033333333333332e-4,-2.7e-5,2.7353797372218423e-4,0.020352249197602635
X310,5.2000000000000004e-5,7.633333333333332e-5,7.866666666666666e-5,4.8095238095238125e-6,2.1933333333333334e-4,9.296134094663508e-5,0.004393138097007892
X320,0.003196000000000001,5.16e-4,2.846666666666667e-4,8.552380952380955e-5,6.326666666666664e-4,8.221244313821717e-4,0.04204626129353564
X321,-1e-5,-5e-5,4.666666666666667e-5,1.0666666666666669e-5,8e-6,-1.1377429759782693e-6,0.0014372388634757056
X323,1.8533333333333336e-4,2.18e-4,1.9666666666666666e-5,4.1333333333333326e-4,3.0033333333333333e-4,2.4176712004885377e-4,0.008825122227528449
X336,2.8333333333333332e-5,4e-6,1.6666666666666662e-6,4e-5,1.5533333333333333e-4,4.526499317675788e-5,0.0030058592064087747
X354,6.666666666666667e-5,-5.7e-5,1.1733333333333333e-4,1.7538095238095239e-4,2.5666666666666656e-5,6.657793840146782e-5,0.006036053798586274
X355,2.5299999999999997e-4,2.2666666666666674e-5,2.626666666666667e-4,4.396666666666666e-4,2.4000000000000003e-4,2.4216160817167005e-4,0.011138700495683357
X358,1.9133333333333334e-4,3.3333333333333325e-6,6.666666666666667e-5,1.91e-4,1.2233333333333334e-4,1.2925473159451487e-4,0.004440256593534034
X385,0,1.0666666666666664e-5,-1.6666666666666686e-6,5e-6,1.6666666666666662e-6,6.9756158873805925e-6,6.784977244977244e-4
X398,6.733333333333332e-5,4.466666666666667e-5,1.7133333333333334e-4,1.5399999999999998e-4,7.430000000000001e-4,2.2708839200015666e-4,0.00844738667769599
X399,1.333333333333334e-6,2.333333333333333e-5,-1.5e-5,1.3333333333333335e-5,-1.1666666666666665e-5,2.4593572921746304e-6,0.001489533152033152
X417,7.1e-5,4.366666666666667e-5,1.3233333333333332e-4,1.07e-4,2.7666666666666665e-4,1.417879293908706e-4,0.006358773426345676
X433,1.6633333333333333e-4,-9.166666666666665e-5,4.7333333333333336e-5,1.9833333333333335e-4,1.2266666666666665e-4,9.367502466573674e-5,0.005879555139939311
