variable,p_value,FDR
1-benzopyrans,0.9989879370886425,1
1-hydroxy-2-unsubstituted benzenoids,0.9706405850986622,1
1-hydroxy-4-unsubstituted benzenoids,0.4064245209280625,1
"1,2-aminoalcohols",0.999999653827427,1
"1,2-diacylglycerols",0.808062524418169,1
"1,2-diols",0.08828649518666841,0.4596091072953032
"1,3-aminoalcohols",1,1
"1,3,4-oxadiazoles",0.9807101584941048,1
"1,3,5-triazines",0.9903345432472803,1
16-hydroxysteroids,0.7612153726479716,1
17-hydroxysteroids,0.9469314617165222,1
17-oxosteroids,0.5253861264821904,1
2-arylethylamines,0.9784445805412301,1
"2,5-dioxopiperazines",0.9997906236436629,1
"2,5-disubstituted thiazoles",0.9999952054733956,1
3'-hydroxyflavonoids,0.9999999998531954,1
3-alkylindoles,0.9755991401920658,1
3-hydroxysteroids,0.9998465826864886,1
"3-oxo delta-1,4-steroids",0.07062015629869076,0.3827705202390787
3-oxo delta-4-steroids,0.04447700208132066,0.25953063851847546
3-oxosteroids,0.008848417693506496,0.0618224973059467
4'-hydroxyflavonoids,0.999999995909468,1
5-hydroxyflavonoids,0.3538343268553319,1
6-alkylaminopurines,0.9994757080426397,1
6-aminopurines,0.9446082526056957,1
6-oxopurines,0.9842753398112503,1
7-hydroxyflavonoids,0.9978822693441245,1
Acetals,9.710879797098653e-7,1.393642478989023e-5
Acetamides,0.9999999998840501,1
Acryloyl compounds,1.677466634667234e-7,2.969115943361004e-6
Acylaminobenzoic acid and derivatives,0.45620574605186287,1
Alcohols and polyols,1.2415155148420873e-10,3.877910225771461e-9
Aldehydes,4.641799954024091e-6,6.0116970136263225e-5
Alkaloids and derivatives,1,1
Alkanesulfonic acids,0.7484209054722015,1
Alkanesulfonic acids and derivatives,0.42112753190523783,1
Alkanolamines,0.9999999999996094,1
Alkoxy-S-triazines,0.9901560504465661,1
Alkyl-phenylketones,0.8824209640590732,1
Alkyl aryl ethers,0.9999999999908085,1
Alkyl bromides,1,1
Alkyl chlorides,0.9999997896217725,1
Alkyl glycosides,4.463809429883982e-5,5.04315490908169e-4
Alkyl halides,0.999999999999965,1
Alkyl phosphates,8.024349518572317e-16,3.873572358510819e-14
Alkylboranes,0.015437800198370972,0.10120335685598748
Alkylthiols,0.9998667393906383,1
"Allyl-type 1,3-dipolar organic compounds",0.9997948171569172,1
Alpha-acyloxy carbonyl compounds,0.35476523984213293,1
Alpha-acyloxy ketones,0.11304454837324027,0.5716824303446721
Alpha-amino ketones,1,1
Alpha-chloroketones,0.8736721629248874,1
Alpha-haloketones,0.5109187617587381,1
Alpha amino acid amides,1,1
Alpha amino acid esters,0.8605471973102741,1
Alpha amino acids,0.9994242922325972,1
Alpha amino acids and derivatives,0.9999999999839173,1
Alpha hydroxy acids and derivatives,0.9984911116980039,1
"Alpha,beta-unsaturated carbonyl compounds",2.566883557165869e-10,6.815075844275383e-9
"Alpha,beta-unsaturated carboxylic esters",0.004134003559642759,0.03276352074881052
"Alpha,beta-unsaturated ketones",2.4569336684036427e-10,6.815075844275383e-9
Amidines,0.9999999999917198,1
Amines,0.8877923009393618,1
Amino acids,0.9999999977765832,1
Amino acids and derivatives,0.9999999999986102,1
"Amino acids, peptides, and analogues",0.9999999999995384,1
Amino fatty acids,1,1
Aminoglycosides,0.013332084686365864,0.09193944114883473
Aminoimidazoles,0.9999994971737197,1
Aminopiperidines,1,1
Aminopyrimidines and derivatives,0.9860824128182182,1
Aminosaccharides,1.683464244281623e-4,0.0016554065068769294
Aminosulfonyl compounds,0.9999999986532111,1
Aminotriazines,0.993779809937806,1
Amphetamines and derivatives,0.9944725826234213,1
Androgens and derivatives,0.005690746837174912,0.04196925792416498
Androstane steroids,0.001605511074147928,0.013975842301189341
Anilides,0.9999998091945741,1
Aniline and substituted anilines,0.9841993481436604,1
Anisoles,0.9999936882593212,1
Aralkylamines,0.9999999999238169,1
Aromatic alcohols,0.9999998567418341,1
Aromatic hydrocarbons,0.9631107684530001,1
Aryl alkyl ketones,0.6962208486522773,1
Aryl bromides,0.9649168937173374,1
Aryl chlorides,0.9999999999919666,1
Aryl halides,0.9999203057458332,1
Aryl ketones,0.4622492528074118,1
Aryl thioethers,0.9999846571119579,1
Asparagine and derivatives,0.9999999999906893,1
Aspartic acid and derivatives,0.9865072030015456,1
Azacyclic compounds,0.9999969962100335,1
Azaspirodecane derivatives,1,1
Azepanes,0.9999999999999998,1
Azetidines,0.9161241959023609,1
Azo compounds,0.9620719293914524,1
Azo imides,0.9293708429080634,1
Azoles,0.9991926589970174,1
Azolidines,0.9999999999988014,1
Azolines,0.9998041320160856,1
Benzamides,0.9999772774892497,1
Benzene and substituted derivatives,0.9977143610944421,1
Benzenesulfonyl compounds,0.998307927429327,1
Benzenoids,0.9999982794862222,1
Benzimidazoles,0.7812919848669324,1
Benzodiazines,0.5304889291323636,1
Benzofuranones,0.3392903399865108,1
Benzofurans,0.868205409773504,1
Benzoic acid esters,0.49293613322141516,1
Benzoic acids,0.8173425873126023,1
Benzoic acids and derivatives,0.9968664836484507,1
Benzopyrans,0.999998503242669,1
Benzothiazoles,0.9992869640474025,1
Benzoyl derivatives,0.9985591231483202,1
Benzylamines,0.9999999910471251,1
Beta-amino ketones,0.999999999977518,1
Beta-diketones,0.9999994194783739,1
Beta amino acids and derivatives,1,1
Beta hydroxy acids and derivatives,0.33736908785426384,1
Beta lactams,0.9857279976314981,1
Bicyclic monoterpenoids,0.8497271424909392,1
"Bile acids, alcohols and derivatives",1.0890304795432764e-4,0.001133872911053882
Boronic acid derivatives,0.966261696086201,1
Branched fatty acids,0.9999956285484912,1
Branched unsaturated hydrocarbons,0.05323308866882315,0.30724750090375097
Butenolides,0.5066700566409758,1
Butyrophenones,0.8639016159500259,1
C-nitro compounds,0.9748037308790498,1
Carbamate esters,0.999999362158718,1
Carbamic acids and derivatives,0.9999999998090406,1
Carbohydrates and carbohydrate conjugates,8.339927531403761e-4,0.008051820943955268
Carbonyl compounds,2.7017862144421616e-27,3.5866211996719694e-25
Carboxamidines,0.9999999999999887,1
Carboximidamides,0.9999999999843346,1
Carboximidic acids,0.9991222078056914,1
Carboximidic acids and derivatives,0.9814545780927056,1
Carboxylic acid amides,1,1
Carboxylic acid derivatives,6.156504663736517e-21,5.448506627406818e-19
Carboxylic acid esters,2.961746088201748e-37,7.863435864175641e-35
Carboxylic acid hydrazides,1,1
Carboxylic acid imides,0.9995664344629899,1
Carboxylic acid salts,0.9996123981786269,1
Carboxylic acids,0.9976317524129099,1
Carboxylic acids and derivatives,1.977604513851655e-15,8.750899973793574e-14
Cardenolides and derivatives,0.5031102808777741,1
Catechols,0.9953578914015226,1
Chalcones and dihydrochalcones,0.9709515000484534,1
Chloroalkenes,0.7647574793505559,1
Chlorobenzenes,0.9999999998672158,1
Cholestane steroids,5.571495715585698e-5,6.163467135366678e-4
Cholesterols and derivatives,0.0014805798357894176,0.013325218522104759
Cholines,2.6015090894459593e-8,5.313082024983864e-7
Chromones,0.6974738169348993,1
Cinnamaldehydes,0.33535876013891713,1
Cinnamic acids and derivatives,0.4370773372978707,1
Coumarins and derivatives,0.9463066612808357,1
Cyclic alcohols and derivatives,0.9999935620281608,1
Cyclic ketones,0.0725287781758533,0.3882285203437289
Cyclic olefins,0.025048000287555553,0.15833914467490473
Cyclitols and derivatives,0.9999999999999853,1
Cyclohexenones,0.001353779776721459,0.012611527393668328
Cysteine and derivatives,0.8674454970047705,1
Delta-4-steroids,0.002041682164040328,0.017208463954054194
Delta-5-steroids,1.0010223982554657e-6,1.3987970880885586e-5
Delta lactams,0.9999936096773727,1
Delta valerolactones,0.6540192349424785,1
Depsipeptides,0.999911516318423,1
Diacylglycerols,0.007723476899594333,0.055421165320062034
Dialkyl ethers,1,1
Dialkyl peroxides,0.9635124751009725,1
Dialkyl phosphates,2.1961851347493296e-15,8.970571588860723e-14
Dialkylamines,1,1
Dialkylarylamines,0.9999999597604274,1
Dialkyldisulfides,1,1
Dialkylthioethers,0.9999999980896175,1
Diazanaphthalenes,0.6407528133361833,1
Diazinanes,0.9999999830116492,1
Diazines,0.9284726586872027,1
Dicarboximides,0.9999944355807195,1
Dicarboxylic acids and derivatives,5.472763900288485e-13,1.9373584207021233e-11
Dichlorobenzenes,0.6264552483038555,1
Dihydrofurans,0.02719042640359759,0.16788507465477118
Dihydropyranones,0.9722670481810345,1
