variable,p_value,FDR
1-benzopyrans,0.06522053604757089,0.17848012227679816
1-hydroxy-2-unsubstituted benzenoids,0.011378706262880806,0.0472038517624196
1-hydroxy-4-unsubstituted benzenoids,0.03808921701215115,0.12038913234197773
"1,2-aminoalcohols",0.11186865725677167,0.26053621492695506
"1,2-diacylglycerols",0.9163461402269336,0.9999999991815441
"1,2-diols",0.0696026124342289,0.18195035396883943
"1,3-aminoalcohols",2.9687468008641343e-4,0.0029743482099223685
"1,3,4-oxadiazoles",0.14715021942195586,0.3105677432426874
"1,3,5-triazines",0.058161080442268386,0.16876247931609023
16-hydroxysteroids,0.8167604136758609,0.9999999991815441
17-hydroxysteroids,0.754134726638035,0.9814841662862662
17-oxosteroids,0.8340388959151233,0.9999999991815441
2-arylethylamines,0.06861477826635302,0.18036855078927455
"2,5-dioxopiperazines",0.008815456449345326,0.03953594402320129
"2,5-disubstituted thiazoles",0.12972434272559077,0.2834717118818465
3'-hydroxyflavonoids,0.7116029696459013,0.9550129876915489
3-alkylindoles,0.22804043930151607,0.41899471719413506
3-hydroxysteroids,0.8597716781618346,0.9999999991815441
"3-oxo delta-1,4-steroids",0.911769197274489,0.9999999991815441
3-oxo delta-4-steroids,0.9743680003676118,0.9999999991815441
3-oxosteroids,0.9998648802207011,0.9999999991815441
4'-hydroxyflavonoids,0.3771633520896198,0.6105906706085004
5-hydroxyflavonoids,0.8297554763675766,0.9999999991815441
6-alkylaminopurines,0.10130817548560175,0.2423182035263718
6-aminopurines,0.03796304663018531,0.12038913234197773
6-oxopurines,0.04079746514387348,0.12818611829228885
7-hydroxyflavonoids,0.7595540651435111,0.9819398585273907
Acetals,0.9999956124139766,0.9999999991815441
Acetamides,6.48797160149684e-6,2.026537011996954e-4
Acryloyl compounds,0.9987623415447826,0.9999999991815441
Acylaminobenzoic acid and derivatives,0.005276326399798329,0.027201255517406916
Alcohols and polyols,0.9013340536266622,0.9999999991815441
Aldehydes,0.48517862678777807,0.7467531907951019
Alkaloids and derivatives,0.025360883598792835,0.088017184254633965
Alkanesulfonic acids,0.5804642833267115,0.8343437862983035
Alkanesulfonic acids and derivatives,0.25460863749959667,0.45349680968774025
Alkanolamines,0.027991379803392627,0.09289639172250928
Alkoxy-S-triazines,0.18488681289515696,0.3659705172724352
Alkyl-phenylketones,0.6036261573573808,0.8593176663720354
Alkyl aryl ethers,0.0035420125161169987,0.021419386416254817
Alkyl bromides,0.2430589183840593,0.44049244253220304
Alkyl chlorides,0.20569522389305533,0.39717877777168137
Alkyl glycosides,0.9967755297482713,0.9999999991815441
Alkyl halides,0.10386051429419288,0.2451108137342952
Alkyl phosphates,0.9841351733829731,0.9999999991815441
Alkylboranes,0.9942031664790953,0.9999999991815441
Alkylthiols,0.22291577574828741,0.4145006645930423
"Allyl-type 1,3-dipolar organic compounds",0.061472107967560356,0.173326630319769
Alpha-acyloxy carbonyl compounds,0.9908476503371604,0.9999999991815441
Alpha-acyloxy ketones,0.9978706497216365,0.9999999991815441
Alpha-amino ketones,0.0012170008146554097,0.00936561496495685
Alpha-chloroketones,0.7907181408559565,0.9999999991815441
Alpha-haloketones,0.6545099942063527,0.9101711061672557
Alpha amino acid amides,1.9911925133669774e-6,7.431533314061889e-5
Alpha amino acid esters,0.06403100368829122,0.17708574457543041
Alpha amino acids,0.0638285432796871,0.17708574457543041
Alpha amino acids and derivatives,2.0993031960626806e-6,7.431533314061889e-5
Alpha hydroxy acids and derivatives,0.11631416471410749,0.2684035007537568
"Alpha,beta-unsaturated carbonyl compounds",0.9999980264647661,0.9999999991815441
"Alpha,beta-unsaturated carboxylic esters",0.30622308928964537,0.5262280272258955
"Alpha,beta-unsaturated ketones",0.9999917297068869,0.9999999991815441
Amidines,4.019001398317213e-7,2.6616552981676868e-5
Amines,2.5892477392942744e-4,0.0027261873711428956
Amino acids,8.320568495471993e-4,0.0069034716735869184
Amino acids and derivatives,4.043799212334797e-7,2.6616552981676868e-5
"Amino acids, peptides, and analogues",2.6896254396593886e-7,2.380318514098559e-5
Amino fatty acids,0.1269560746272977,0.28089031511289614
Aminoglycosides,0.7600325458658335,0.9819398585273907
Aminoimidazoles,0.001767804109226781,0.01260536118039428
Aminopiperidines,0.01107817713094474,0.0463189925711154
Aminopyrimidines and derivatives,5.251446843494347e-4,0.0045713414326155714
Aminosaccharides,0.9898516123861298,0.9999999991815441
Aminosulfonyl compounds,0.06723490141539373,0.17962804965910634
Aminotriazines,0.06573220231813244,0.17848012227679816
Amphetamines and derivatives,0.08902266348249045,0.2198652758567555
Androgens and derivatives,0.9867235460713496,0.9999999991815441
Androstane steroids,0.8417486514838817,0.9999999991815441
Anilides,0.024531181858196843,0.0856977471493587
Aniline and substituted anilines,0.061306863357060544,0.173326630319769
Anisoles,0.008503913532646415,0.03953594402320129
Aralkylamines,1.3803345167167678e-4,0.001745137210420485
Aromatic alcohols,0.004112560703933631,0.022513090039059363
Aromatic hydrocarbons,0.8370237508129696,0.9999999991815441
Aryl alkyl ketones,0.08455552731108841,0.2117876651046601
Aryl bromides,0.7230041827721331,0.9550129876915489
Aryl chlorides,0.1860867036978484,0.3659705172724352
Aryl halides,0.09767267679389174,0.2357463244434387
Aryl ketones,0.1841971343451531,0.3659705172724352
Aryl thioethers,0.18023104863287953,0.35978453693255275
Asparagine and derivatives,0.026399538787520264,0.08907521616966435
Aspartic acid and derivatives,0.004945828806089705,0.02600232768350132
Azacyclic compounds,2.1033833434983489e-7,2.2337931107952465e-5
Azaspirodecane derivatives,0.14312560894505358,0.3080237991786661
Azepanes,0.01196231705683869,0.048595888326039054
Azetidines,0.056318502969283334,0.16567676296324302
Azo compounds,0.22964382041913944,0.4204857539398726
Azo imides,0.35457448458703267,0.5829072796152147
Azoles,1.2104017490805302e-5,3.060587279817912e-4
Azolidines,4.323901954686641e-4,0.003826653229897677
Azolines,0.010956745530510195,0.04629694735512695
Benzamides,0.0034050240981866784,0.021419386416254817
Benzene and substituted derivatives,0.009585716572246786,0.04172143852346757
Benzenesulfonyl compounds,0.3673336394342396,0.5964959099069762
Benzenoids,0.008781072482276818,0.03953594402320129
Benzimidazoles,0.026982037717798304,0.09010982407642075
Benzodiazines,0.09190363723290297,0.2238570246361077
Benzofuranones,0.01928853245889707,0.07162385129842198
Benzofurans,0.6951924694288047,0.9513323201154866
Benzoic acid esters,0.0320330612698179,0.1049972563844031
Benzoic acids,0.2526240257950021,0.4518631128698793
Benzoic acids and derivatives,0.011697727595640634,0.048151111265776564
Benzopyrans,0.035327330742099386,0.11438300380521203
Benzothiazoles,0.1030787020079976,0.2443517444921729
Benzoyl derivatives,0.018725120234967554,0.07002140031526599
Benzylamines,0.07824832729675629,0.20169835822610482
Beta-amino ketones,0.004094535510315755,0.022513090039059363
Beta-diketones,0.6667770465748133,0.9231330003460632
Beta amino acids and derivatives,1.0459595859606066e-5,2.923181790237274e-4
Beta hydroxy acids and derivatives,0.1167631048476795,0.2684035007537568
Beta lactams,0.11321385566075591,0.26251771771118515
Bicyclic monoterpenoids,0.3637467072055961,0.5924831335158636
"Bile acids, alcohols and derivatives",0.9986398324128994,0.9999999991815441
Boronic acid derivatives,0.15742001589343377,0.3271769825793016
Branched fatty acids,0.7465856065859202,0.9740465776342104
Branched unsaturated hydrocarbons,0.6547746940788921,0.9101711061672557
Butenolides,0.49863586400251425,0.7608495511072847
Butyrophenones,0.333104399759401,0.5579761396600692
C-nitro compounds,0.21911862036734087,0.4125957000533972
Carbamate esters,0.00566918708051608,0.028945560959173448
Carbamic acids and derivatives,8.501990261454934e-4,0.006945472044357799
Carbohydrates and carbohydrate conjugates,0.44486426372139376,0.6940303822065125
Carbonyl compounds,0.577348839222198,0.8343437862983035
Carboxamidines,1.3931142692976536e-5,3.3624712590775186e-4
Carboximidamides,1.0542191838531976e-4,0.0015670700792814922
Carboximidic acids,1.1731711762204898e-5,3.060587279817912e-4
Carboximidic acids and derivatives,2.893060866149151e-4,0.0029542602306253827
Carboxylic acid amides,1.2122289743888403e-7,1.6092339635011854e-5
Carboxylic acid derivatives,0.2232527120030322,0.4145006645930423
Carboxylic acid esters,0.9799134651865056,0.9999999991815441
Carboxylic acid hydrazides,6.332426898871881e-5,0.0011208395611003229
Carboxylic acid imides,0.0335022929617911,0.10913937155037469
Carboxylic acid salts,0.5753504526202757,0.8343437862983035
Carboxylic acids,0.015232961813225148,0.05991631646535225
Carboxylic acids and derivatives,0.06587966848635111,0.17848012227679816
Cardenolides and derivatives,0.8805160784874527,0.9999999991815441
Catechols,0.04505709040398529,0.1391006686309081
Chalcones and dihydrochalcones,0.8578143460696319,0.9999999991815441
Chloroalkenes,0.39787801800850675,0.6402219017045973
Chlorobenzenes,0.2527369953340003,0.4518631128698793
Cholestane steroids,0.9999380638886798,0.9999999991815441
Cholesterols and derivatives,0.9726904352384362,0.9999999991815441
Cholines,0.99918224397863,0.9999999991815441
Chromones,0.009221621399787947,0.040468437713119004
Cinnamaldehydes,0.9441978536394509,0.9999999991815441
Cinnamic acids and derivatives,0.4132812236794131,0.651044936380431
Coumarins and derivatives,0.17075047065662402,0.3447471479797238
Cyclic alcohols and derivatives,0.4102996518353307,0.6502465649863305
Cyclic ketones,0.9654413689599572,0.9999999991815441
Cyclic olefins,0.7040934120628743,0.9513323201154866
Cyclitols and derivatives,0.08364558410738919,0.2114643710908585
Cyclohexenones,0.9523806648393842,0.9999999991815441
Cysteine and derivatives,0.7936459516082697,0.9999999991815441
Delta-4-steroids,0.9783495733080567,0.9999999991815441
Delta-5-steroids,0.9853436045044712,0.9999999991815441
Delta lactams,9.296361473710761e-6,2.742426634744675e-4
Delta valerolactones,0.9148612746115747,0.9999999991815441
Depsipeptides,0.05869464209622264,0.16938508126681642
Diacylglycerols,0.9757076219787992,0.9999999991815441
Dialkyl ethers,0.9908840334533536,0.9999999991815441
Dialkyl peroxides,0.9999999925699561,0.9999999991815441
Dialkyl phosphates,0.99763898841219,0.9999999991815441
Dialkylamines,1.006179051612839e-8,2.6714053820320875e-6
Dialkylarylamines,1.2089052194318827e-4,0.0016410932401526137
Dialkyldisulfides,0.14550976677566244,0.3105677432426874
