variable,p_value,FDR
1-benzopyrans,0.4463815758276837,0.7500905593813293
1-hydroxy-2-unsubstituted benzenoids,0.009716018284963204,0.08705336885824459
1-hydroxy-4-unsubstituted benzenoids,0.05763706950586023,0.20819921025586244
"1,2-aminoalcohols",0.27149058408466176,0.563130859956857
"1,2-diacylglycerols",0.8047831317238812,0.9999999996246786
"1,2-diols",1.4105189716630194e-4,0.025609467875783557
"1,3-aminoalcohols",0.11870476595920268,0.33350386626633133
"1,3,4-oxadiazoles",0.09969050783075917,0.29309883197941816
"1,3,5-triazines",0.0021942133089172056,0.04161168810839415
16-hydroxysteroids,0.42424053089406116,0.7314016944959301
17-hydroxysteroids,0.7040741282006227,0.9890565134246841
17-oxosteroids,0.22570460964409367,0.5056684054547932
2-arylethylamines,0.7638147802910518,0.9999999996246786
"2,5-dioxopiperazines",0.003498116718504878,0.050202702095299735
"2,5-disubstituted thiazoles",0.6801421631616178,0.9787411616228158
3'-hydroxyflavonoids,0.8798895736313683,0.9999999996246786
3-alkylindoles,0.3878511381483471,0.691103873680444
3-hydroxysteroids,0.4007252425924467,0.6976560780871777
"3-oxo delta-1,4-steroids",0.1764736996689299,0.433831178352786
3-oxo delta-4-steroids,0.8675584537810834,0.9999999996246786
3-oxosteroids,0.6638603320469353,0.9641889203239937
4'-hydroxyflavonoids,0.06642199821679691,0.22582921570216494
5-hydroxyflavonoids,0.15044980751360212,0.3935411221168607
6-alkylaminopurines,0.5107921674624641,0.8219110330986923
6-aminopurines,0.03594299485816016,0.15773330801390945
6-oxopurines,0.013010737501071927,0.09730565652210131
7-hydroxyflavonoids,0.7535995139226317,0.9999999996246786
Acetals,0.4799871883737379,0.7915316677840212
Acetamides,0.02648765289182651,0.13937203313251975
Acryloyl compounds,0.9903143854424044,0.9999999996246786
Acylaminobenzoic acid and derivatives,0.003388140510330377,0.050102172437187606
Alcohols and polyols,0.00338470659250754,0.050102172437187606
Aldehydes,0.10425125017102908,0.3041616145099804
Alkaloids and derivatives,0.999783105988044,0.9999999996246786
Alkanesulfonic acids,0.7940710298387084,0.9999999996246786
Alkanesulfonic acids and derivatives,0.24491472958504046,0.5341159792957594
Alkanolamines,0.300161585243981,0.6060296645040072
Alkoxy-S-triazines,0.22456097604800812,0.5056684054547932
Alkyl-phenylketones,0.9063965419441373,0.9999999996246786
Alkyl aryl ethers,0.025351749342167086,0.13771373789231678
Alkyl bromides,0.4270049279089763,0.7319003106944374
Alkyl chlorides,0.24940679551135392,0.5361741231438418
Alkyl glycosides,0.982994518266638,0.9999999996246786
Alkyl halides,0.1285760987866487,0.3465680632269566
Alkyl phosphates,0.20087413737200815,0.47281230230750243
Alkylboranes,0.9909987659197754,0.9999999996246786
Alkylthiols,0.8697799477844947,0.9999999996246786
