variable,p_value,FDR
mz,5.173162761719851e-13,2.0692651046879404e-12
RT,7.6048251944411e-27,1.216772031110576e-25
C,9.188728012715534e-16,7.350982410172427e-15
H,5.336452483301195e-14,2.8461079910939703e-13
O,1.4423678587027012e-4,3.84631428987387e-4
N,0.9999999999998693,0.9999999999998693
S,0.999858408804585,0.9999999999998693
P,7.442535702952986e-4,0.0017011510178178253
Cl,0.32462042275042924,0.6050375153592662
Br,0.34033360238958726,0.6050375153592662
B,NaN,NaN
Se,NaN,NaN
I,NaN,NaN
H/C,0.9478177751108681,0.9999999999998693
O/C,0.9999999275996994,0.9999999999998693
N/C,0.9999999999996592,0.9999999999998693
AI-mod,0.7831513681024138,0.9999999999998693
DBE,1.6117411141733071e-7,5.157571565354584e-7
DBE/C,0.9930439370978479,0.9999999999998693
