variable,p_value,FDR
mz,3.5709490831833806e-13,1.4283796332733522e-12
RT,8.441413252999732e-29,1.3506261204799572e-27
C,1.219304411279312e-15,9.754435290234496e-15
H,4.2672576679682474e-14,2.275870756249732e-13
O,2.0576136739609756e-4,5.486969797229268e-4
N,0.9999999999749722,0.9999999999749722
S,0.9999992927462874,0.9999999999749722
P,0.0018050700643236321,0.00412587443273973
Cl,0.28835803599256515,0.5767160719851303
Br,0.3644109615224232,0.6478417093731967
B,NaN,NaN
Se,NaN,NaN
I,NaN,NaN
H/C,0.884728417083418,0.9999999999749722
O/C,0.9999999304895091,0.9999999999749722
N/C,0.9999999999594422,0.9999999999749722
AI-mod,0.7987689940870651,0.9999999999749722
DBE,5.789506994287143e-7,1.8526422381718858e-6
DBE/C,0.9958944354320294,0.9999999999749722
