variable,p_value,FDR
mz,1.5418261300837015e-44,9.25095678050221e-44
RT,2.303242338375842e-46,2.0729181045382577e-45
C,4.0031649655203525e-49,7.205696937936635e-48
H,1.2623894806298394e-33,4.544602130267422e-33
O,9.015145951751898e-26,2.704543785525569e-25
N,0.9998238873555922,1
S,0.9998766809802477,1
P,2.7237988237033e-4,7.004054118094201e-4
Cl,0.9930109070512239,1
Br,0.15845767020923127,0.28522380637661626
B,0.06566083727515155,0.1313216745503031
Se,0.24465977054773952,0.40035235180539197
I,NaN,NaN
H/C,0.9999999999999835,1
O/C,0.9999999999998586,1
N/C,1,1
AI-mod,0.04181661705796409,0.0940873883804192
DBE,8.14278427423666e-34,3.664252923406497e-33
DBE/C,0.4929205844811093,0.739380876721664
