variable,p_value,FDR
mz,0.9943516053439687,0.9999999999680279
RT,0.9999999999680279,0.9999999999680279
C,0.9998016214020251,0.9999999999680279
H,0.9999953416758447,0.9999999999680279
O,0.961840976228868,0.9999999999680279
N,2.4050653944613883e-6,3.848104631138221e-5
S,0.6140042389332652,0.9999999999680279
P,0.951418337025745,0.9999999999680279
Cl,0.9031450514959777,0.9999999999680279
Br,0.23837741337561807,0.6356731023349815
B,NaN,NaN
Se,NaN,NaN
I,NaN,NaN
H/C,0.883686096681886,0.9999999999680279
O/C,0.6910962366019229,0.9999999999680279
N/C,1.4371022493304211e-5,1.1496817994643369e-4
AI-mod,0.0341186338612246,0.1364745354448984
DBE,0.048401513185213844,0.1548848421926843
DBE/C,0.003087020493785777,0.016464109300190807
