variable,p_value,FDR
mz,0.995275701491678,0.9999999996288425
RT,0.9999999996288425,0.9999999996288425
C,0.9995269197463797,0.9999999996288425
H,0.999999998912743,0.9999999996288425
O,0.8494851331235279,0.9999999996288425
N,5.192464229364802e-4,0.0027693142556612276
S,0.5163077111397532,0.9178803753595611
P,0.9610511606787684,0.9999999996288425
Cl,0.5050284431047309,0.9178803753595611
Br,0.24689669611782394,0.6583911896475305
B,NaN,NaN
Se,NaN,NaN
I,NaN,NaN
H/C,0.9999581874571828,0.9999999996288425
O/C,0.4734428310350235,0.9178803753595611
N/C,7.558344245968361e-4,0.0030233376983873446
AI-mod,0.004661469497446525,0.014916702391828879
DBE,2.071499619566597e-4,0.0016571996956532776
DBE/C,4.239735847107613e-7,6.783577355372181e-6
