variable,p_value,FDR
mz,0.007528681715001376,0.02258604514500413
RT,0.9999999999829849,0.9999999999829849
C,0.6608652632091803,0.9150442105973265
H,0.9983551339994416,0.9999999999829849
O,7.481348441380323e-8,1.301253019459698e-6
N,0.003024497800708929,0.010888192082552145
S,0.7327207235478078,0.9420695017043244
P,0.09503377299770649,0.1710607913958717
Cl,0.26557954499056347,0.43458470998455845
Br,0.08979350823342332,0.1710607913958717
B,0.3062210370633265,0.4593315555949897
Se,0.9825995560521144,0.9999999999829849
I,NaN,NaN
H/C,0.9999994733513469,0.9999999999829849
O/C,0.0272140626463098,0.06997901823336806
N/C,0.07330852244574408,0.16494417550292417
AI-mod,0.0021056488607358536,0.00947541987331134
DBE,1.4458366882885534e-7,1.301253019459698e-6
DBE/C,3.39702699656324e-6,2.038216197937944e-5
