feature_number,variable,response,importance
9,mz,157.0836858,not
53,mz,181.1223708,not
116,mz,212.0907894,important
117,mz,212.1266437,not
147,mz,224.1291273,not
175,mz,231.171264,important
209,mz,244.2021391,important
231,mz,251.1849639,not
278,mz,266.1739585,not
307,mz,272.294648,not
308,mz,272.294649,not
310,mz,273.1667929,not
320,mz,277.1430028,important
321,mz,277.1790987,not
323,mz,277.1793728,not
336,mz,283.2259108,not
354,mz,288.2529645,not
355,mz,288.2529521,not
358,mz,289.1542713,not
385,mz,302.3048432,not
398,mz,309.2260885,not
399,mz,310.1938018,not
444,mz,332.3141796,not
449,mz,335.2205538,not
569,mz,386.2696953,not
575,mz,389.2515842,not
590,mz,394.3530835,not
626,mz,412.3058252,not
627,mz,413.2313593,not
646,mz,420.4049887,important
683,mz,438.2872621,important
684,mz,438.3792209,not
707,mz,448.2745182,not
717,mz,453.3439079,not
720,mz,454.2933638,not
738,mz,462.3410964,not
742,mz,464.3332457,important
747,mz,468.3897082,not
760,mz,473.3452063,not
780,mz,482.405342,not
788,mz,485.2884634,not
789,mz,485.3371694,not
791,mz,487.3623389,not
801,mz,492.3012345,not
807,mz,496.3400379,not
864,mz,524.3700088,important
868,mz,526.2695198,not
884,mz,537.8783406,not
930,mz,570.2969651,not
1180,mz,166.0864305,not
1183,mz,167.0895761,not
1184,mz,167.0888724,not
1193,mz,173.1325542,not
1195,mz,174.0551396,not
1201,mz,179.0657936,not
1202,mz,179.1067427,not
1213,mz,184.0969665,not
1224,mz,191.1430531,not
1234,mz,195.0876379,not
1244,mz,197.10364619999999,not
1259,mz,201.0732538,not
1261,mz,202.1802868,not
1262,mz,202.1802718,not
1269,mz,205.1224706,important
1280,mz,207.1381126,not
1305,mz,213.1120703,not
1307,mz,213.1119954,not
1344,mz,221.1902328,not
1356,mz,224.1483771,not
1360,mz,225.0873181,not
1389,mz,231.1380819,not
1391,mz,232.1180071,not
1429,mz,239.1028629,not
1430,mz,239.1277736,not
1432,mz,239.143816,not
1436,mz,239.1638295,not
1453,mz,242.1752143,not
1455,mz,243.0858686,not
1458,mz,243.1376227,not
1470,mz,245.1344807,not
1491,mz,249.1338849,not
1492,mz,249.1340451,not
1521,mz,253.1434304,not
1522,mz,253.1643025,important
1542,mz,258.1334891,not
1550,mz,259.0973853,not
1551,mz,259.114747,not
1552,mz,259.1152235,not
1554,mz,259.1502517,not
1555,mz,259.1503433,not
1560,mz,260.2217311,not
1562,mz,261.1102523,not
1585,mz,265.1286352,not
1586,mz,265.1288377,not
1602,mz,267.1443868,not
1603,mz,267.1452632,not
1605,mz,268.1536801,not
1611,mz,270.1334481,not
1618,mz,273.1294181,not
1628,mz,275.1398797,not
1632,mz,275.1632143,not
1633,mz,275.1632135,not
1650,mz,279.1338358,not
1664,mz,281.1600466,not
1677,mz,283.1374864,not
1678,mz,283.1536139,not
1685,mz,284.1853277,not
1688,mz,285.110276,important
1698,mz,287.145174,not
1699,mz,287.1460542,not
1709,mz,289.1584605,not
1720,mz,293.1949253,not
1733,mz,297.1032321,not
1734,mz,297.1036758,not
1745,mz,299.2000758,not
1747,mz,300.1800935,important
1753,mz,301.1603154,not
1765,mz,303.1579493,not
1766,mz,303.1950853,important
1782,mz,308.1167442,not
1783,mz,308.117517,important
1793,mz,311.164347,not
1794,mz,311.1845235,not
1795,mz,312.14366,important
1801,mz,313.1790405,not
1802,mz,313.1790147,not
1827,mz,317.1547377,not
1831,mz,317.193189,not
1839,mz,319.2263164,not
1850,mz,325.1267505,not
1855,mz,326.1596965,important
1857,mz,326.2532098,not
1862,mz,327.2526766,important
1882,mz,331.1339137,not
1900,mz,334.1850857,not
1906,mz,335.2576297,not
1925,mz,341.1760586,not
1928,mz,341.3532256,important
1951,mz,345.1881321,not
1952,mz,345.1882571,not
1961,mz,347.1658274,not
1966,mz,348.2017679,not
1967,mz,348.2016573,not
1992,mz,356.2596878,not
2014,mz,361.1820477,not
2023,mz,363.1795667,not
2035,mz,367.2101799,not
2036,mz,367.2693763,not
2058,mz,377.1768974,not
2067,mz,383.2605548,not
2070,mz,384.2592059,not
2071,mz,384.2589608,not
2072,mz,384.2957229,not
2089,mz,389.2143301,not
2105,mz,398.2745719,not
2116,mz,403.2306693,not
2118,mz,403.2466683,not
2120,mz,404.2797485,not
2141,mz,412.2902917,not
2146,mz,416.2486362,not
2150,mz,417.262307,not
2152,mz,421.204071,not
2168,mz,428.2852594,not
2177,mz,431.2617139,not
2178,mz,433.2412219,not
2185,mz,442.2999738,not
2186,mz,442.3005586,not
2191,mz,447.2554332,not
2200,mz,458.2950985,not
2209,mz,472.3117084,not
2221,mz,486.3271848,not
2231,mz,500.3795193,not
2237,mz,504.3035582,not
2239,mz,505.3348303,not
2244,mz,516.3383571,not
2253,mz,522.3288143,important
2261,mz,530.3533357,not
2264,mz,532.3342313,not
2266,mz,532.3651752,not
2278,mz,548.3287232,not
