category,term,df,sumsq,meansq,statistic,p.value,FDR
1-benzopyrans,Organism,4,0.03718748586795676,0.00929687146698919,10.51295229519729,1.0611495353955016e-5,1.8150163867961668e-5
1-hydroxy-2-unsubstituted benzenoids,Organism,4,0.11077953748025123,0.027694884370062806,21.866864515780417,4.0843174201089665e-9,2.2621711925894818e-8
"1,2-aminoalcohols",Organism,4,0.04412782109281258,0.011031955273203145,8.691721582698879,5.559396921676111e-5,8.182102446187765e-5
"1,2-diacylglycerols",Organism,4,0.02383936655748132,0.00595984163937033,7.0948061400572,2.712519686086753e-4,3.4931576190012545e-4
"1,2-diols",Organism,4,0.014824109028651717,0.003706027257162929,7.475421395762659,1.8363960250354706e-4,2.435698919433274e-4
"1,3,4-oxadiazoles",Organism,4,0.09628334353618265,0.024070835884045662,28.540515841102696,1.3814729242255997e-10,1.032596617022362e-9
17-hydroxysteroids,Organism,4,0.017252604949257185,0.004313151237314296,6.4811448063678805,5.176099033001263e-4,6.334286938175579e-4
17-oxosteroids,Organism,4,0.027173298641926136,0.006793324660481534,7.004790337410598,0.00029781786952289653,3.8021128587505235e-4
3-alkylindoles,Organism,4,0.1357058087393813,0.03392645218484532,11.897374458502487,3.30898746141166e-6,6.373397588718979e-6
"3-oxo delta-1,4-steroids",Organism,4,0.021429102494903006,0.0053572756237257515,6.427489522050012,5.482667822446655e-4,6.690969270919747e-4
3-oxo delta-4-steroids,Organism,4,0.016417876192476276,0.004104469048119069,4.931114867575368,0.002929459540823012,0.0033105882055729447
6-alkylaminopurines,Organism,4,0.09168196370131136,0.02292049092532784,20.58487881183539,8.494096692738007e-9,4.276005494185156e-8
6-aminopurines,Organism,4,0.09244157746832007,0.02311039436708002,18.70767021153347,2.6296482476683495e-8,1.1094611178257894e-7
6-oxopurines,Organism,4,0.08442179696189189,0.021105449240472973,16.439599337132975,1.1426915556552448e-7,3.8349421148126774e-7
Acetals,Organism,4,0.0425512899112551,0.010637822477813775,17.322753490262915,6.355807788410718e-8,2.2524982802127585e-7
Acetamides,Organism,4,0.15645581976771328,0.03911395494192832,60.95760671188432,2.75431801764038e-15,1.220162881814688e-13
Acryloyl compounds,Organism,4,0.018490741267846413,0.004622685316961603,9.095151355049381,3.802026186114582e-5,5.787964262710515e-5
