category,term,df,sumsq,meansq,statistic,p.value,FDR
1-hydroxy-2-unsubstituted benzenoids,Organism,4,0.257645969843264,0.064411492460816,39.420657387122795,1.6662440499828036e-12,3.802454370473577e-12
"1,3-aminoalcohols",Organism,4,0.006390666349523042,0.0015976665873807605,14.168236690517734,5.682473379802954e-7,7.284954222477024e-7
Acetamides,Organism,4,0.029683700322941885,0.007420925080735471,114.39965843859169,1.3788429743927426e-19,4.0905674906984695e-18
Acylaminobenzoic acid and derivatives,Organism,4,0.09801549485432279,0.024503873713580697,40.3998922628404,1.1764681957607229e-12,2.8298829573703874e-12
Alpha amino acid amides,Organism,4,0.14202183659804266,0.035505459149510664,47.081695989976126,1.2948236973972814e-13,3.553881989092975e-13
Alpha amino acids and derivatives,Organism,4,0.05201452366098332,0.01300363091524583,31.797820194665324,3.263798393451012e-11,6.314740369937828e-11
Amidines,Organism,4,0.03633893913973854,0.009084734784934635,15.402853158304405,2.3341718748347115e-7,3.1475954069740804e-7
Amines,Organism,4,0.03615132581817825,0.009037831454544563,11.485614815145874,4.643431871287039e-6,5.7397977297853675e-6
Amino acids,Organism,4,0.016041044508746456,0.004010261127186614,5.437281481383952,0.0016360022830805344,0.0017333833713591377
Amino acids and derivatives,Organism,4,0.06871085642364899,0.017177714105912248,37.497457549175834,3.370021897753654e-12,7.49829872250188e-12
"Amino acids, peptides, and analogues",Organism,4,0.06076641946797959,0.015191604866994897,32.420666387645966,2.5092763706109126e-11,5.075581749644801e-11
Aminoimidazoles,Organism,4,0.1144945272382467,0.028623631809561675,27.315506134592418,2.454566791921298e-10,4.4582947853264395e-10
Aminopyrimidines and derivatives,Organism,4,0.25653046125442414,0.06413261531360603,58.909889599649404,4.6221604407068455e-15,1.645489116891637e-14
Aralkylamines,Organism,4,0.06119182201858348,0.01529795550464587,11.333439211274886,5.271400395133821e-6,6.339927502255541e-6
Azacyclic compounds,Organism,4,0.5993593487939245,0.14983983719848112,78.68231897498288,5.368595214973715e-17,3.675422877943543e-16
