"","Aminoimidazoles","Benzenoids","Carboximidamides","Dialkylamines","Glycosylamines","Guanidines","Imidazoles","Lactams","Peptidomimetics","Pyrrolidines"
"1",0,0.02,0.01,0.02,0,0.06,0.06,0.09,0.01,0.02
"3",0,0.04,0.05,0.03,0,0.08,0.11,0.03,0,0.01
"6",0,0.01,0.83,0,0,0.01,0.03,0,0,0.04
"9",0.02,0.14,0.05,0.04,0.01,0.18,0.13,0.09,0.02,0.02
"11",0,0.13,0.02,0.01,0,0,0.05,0.12,0.01,0.21
"12",0.05,0.06,0.04,0.05,0,0.04,0.36,0,0,0.02
"13",0,0.04,0.11,0.01,0,0.09,0,0.02,0.01,0
"14",0,0.95,0.01,0.02,0,0,0.01,0.01,0,0.01
"15",0,0.97,0,0.03,0,0,0.01,0.01,0,0.01
"16",0,0.05,0.09,0.03,0,0.09,0.14,0.01,0,0.03
"17",0.02,0.04,0.05,0.02,0,0.06,0.18,0.01,0,0.03
"18",0,0.05,0,0.01,0,0,0.01,0,0,0
"21",0,0.95,0.02,0,0,0,0.01,0.01,0,0.01
"23",0,0.04,0.09,0.05,0,0.1,0.03,0.05,0.01,0.02
"24",0,0.17,0,0,0,0,0.02,0.02,0,0.06
"26",0,0.07,0.03,0.24,0,0.01,0.04,0.16,0,0.09
"28",0.01,0.12,0.01,0.02,0.01,0.12,0.1,0.15,0.01,0.05
"29",0.01,0.09,0.02,0.11,0,0.02,0.06,0.06,0.01,0.04
"31",0,0.07,0.01,0.07,0,0,0.02,0.01,0,0.03
"32",0,0.1,0.02,0,0,0,0.03,0.03,0,0.02
"33",0,0.13,0,0,0,0,0.02,0.04,0,0.05
"34",0,0.18,0,0,0,0,0.01,0.03,0,0.01
"35",0,0.03,0,0,0,0,0,0,0,0
"37",0,0.03,0.04,0.01,0,0.02,0.05,0.05,0.02,0.04
"38",0,0.07,0.01,0.01,0,0,0.02,0.02,0,0.03
"39",0,0.1,0.02,0.03,0,0.01,0.03,0.03,0.02,0.03
"40",0,0.03,0.08,0.06,0,0.09,0.06,0.15,0.05,0.04
"41",0.01,0.21,0.02,0,0,0.02,0.85,0,0,0
"42",0,0.99,0.02,0,0,0,0,0.01,0,0
"44",0,0.39,0.01,0.02,0,0,0.01,0.09,0.01,0.07
"45",0,0.86,0.03,0.14,0,0,0.05,0.13,0.03,0.07
"46",0,0.04,0.05,0.01,0,0.02,0.38,0.3,0,0.03
"49",0,0.08,0,0.75,0,0,0.01,0.01,0,0.05
"50",0,0.02,0,0.01,0,0,0,0,0,0
"51",0,0.04,0,0.16,0,0.02,0,0,0,0
"53",0,0.12,0.02,0.01,0,0,0.04,0.01,0,0.02
"54",0,0.02,0,0.01,0,0,0.01,0.01,0,0
"55",0,0.1,0.02,0.34,0,0,0,0.01,0,0.01
"56",0,0.17,0,0,0,0,0.04,0.06,0,0.06
"57",0,0.13,0,0,0,0,0.02,0.06,0,0.02
"58",0,0.14,0,0,0,0,0.01,0.03,0,0.01
"59",0,0.05,0,0,0,0,0,0.04,0,0.01
"60",0,0.15,0,0,0,0,0.02,0.02,0,0.02
"61",0,0.14,0.03,0.02,0,0,0.05,0.03,0,0.02
"62",0,0.04,0.02,0.11,0,0,0.07,0.03,0,0.08
"63",0,0.06,0,0.57,0,0,0,0,0,0
"64",0,0.06,0,0,0,0,0,0.01,0,0.01
"65",0,0.07,0.02,0.03,0,0.08,0.08,0.13,0.01,0.12
"66",0,0.02,0.02,0.01,0,0.04,0.14,0.14,0.01,0.01
"67",0,0.08,0.07,0.02,0,0.07,0.16,0.06,0.01,0.03
"68",0,0.05,0,0.04,0,0,0.04,0.02,0,0.05
"69",0,0.99,0.01,0,0,0,0.04,0.03,0,0.01
"70",0,0.06,0,0.02,0,0,0.01,0,0,0
"71",0,0.94,0,0.01,0,0,0,0.02,0.01,0
"72",0,0.98,0,0.02,0,0,0,0.01,0,0
"74",0,0.1,0,0,0,0,0.03,0.12,0,0.05
"75",0,0.02,0,0,0,0,0.02,0.01,0,0.02
"76",0,0.91,0.01,0.43,0,0,0.03,0.02,0,0.07
"77",0,0.47,0.01,0.07,0,0,0.04,0.11,0.01,0.22
"78",0.47,0.03,0.01,0.16,0.01,0.02,0.47,0.85,0,0.01
"79",0,0.06,0,0.01,0,0,0,0,0,0
"80",0,0.02,0,0,0,0,0,0,0,0
"81",0,0.24,0,0,0,0,0.03,0.05,0,0.09
"83",0.04,0.03,0.07,0.04,0,0.29,0.07,0,0,0.02
"86",0,0.02,0,0.02,0,0,0.01,0.01,0.05,0
"87",0,0.13,0.01,0.01,0,0,0.04,0.28,0.01,0.41
"88",0,0.05,0.01,0.05,0,0,0.12,0.18,0,0.16
"89",0,0.11,0,0.01,0,0,0.02,0.06,0,0.08
"91",0,0.79,0,0,0,0,0.01,0,0,0.01
"93",0,0.07,0,0.01,0,0.01,0,0.04,0,0.01
"94",0,0.98,0.01,0.05,0,0,0.01,0.01,0,0.03
"95",0,0.12,0.01,0.02,0,0,0.02,0.02,0,0.02
"96",0,0.03,0,0.05,0,0,0,0,0,0
"99",0,0.02,0.01,0.01,0,0,0.02,0.01,0,0.01
"100",0,0.06,0,0.01,0,0,0,0,0,0.01
"101",0,0.03,0.03,0.05,0,0.3,0.01,0.01,0,0.02
"103",0,0.12,0,0.01,0,0,0.01,0.03,0,0.01
"104",0,0.95,0,0.01,0,0,0,0.05,0.01,0.01
"105",0,0.96,0,0,0,0,0,0.01,0,0.01
"106",0,0.11,0.01,0.01,0,0,0.04,0.01,0,0.03
"108",0,0.53,0,0,0,0,0,0.04,0.01,0.01
"110",0,0.05,0.02,0.02,0,0,0.02,0.18,0.01,0.04
"111",0,0.06,0.01,0,0,0,0.01,0.01,0,0.06
"112",0,0.16,0.01,0.01,0,0,0.02,0.02,0,0.02
"113",0,0.13,0.01,0.23,0,0,0.01,0.35,0.01,0.02
"114",0,0.06,0,0.01,0,0,0.02,0.56,0,0.23
"116",0,0.1,0.05,0.12,0,0.05,0.06,0.05,0.02,0.06
"117",0,0.2,0.01,0.08,0,0.01,0.03,0.12,0.01,0.19
"118",0,0.09,0.01,0.27,0,0,0.05,0.2,0.01,0.18
"120",0,0.05,0,0,0,0,0.03,0,0,0.01
"121",0,0.11,0,0,0,0,0.02,0.03,0.02,0.15
"122",0,0.13,0,0.1,0,0,0.01,0,0,0.03
"123",0,0.08,0,0.06,0,0,0.01,0,0,0.01
"124",0.01,0.19,0.17,0.04,0,0.3,0.1,0.02,0,0.1
"125",0,0.18,0,0.17,0,0,0.01,0.02,0.01,0.01
"126",0,0.09,0.01,0.08,0,0,0.01,0.08,0,0.02
"128",0,0.95,0,0.01,0,0,0.01,0.04,0,0.02
"129",0,0.07,0.01,0.07,0,0.01,0.03,0.01,0,0.03
"130",0,0.06,0.02,0.1,0,0.01,0.03,0.03,0,0.01
"131",0,0.13,0,0.01,0,0,0.03,0.01,0,0.02
"132",0.02,0.32,0.27,0.1,0,0.19,0.08,0.04,0,0.11
"133",0,0.1,0.01,0.02,0,0,0.03,0.02,0,0.01
"135",0,0.1,0.01,0.14,0.01,0,0.02,0.06,0.02,0.07
"136",0,0.09,0,0.05,0,0,0.01,0,0,0.01
"138",0,0.17,0,0,0,0,0.02,0.01,0,0.02
"141",0,0.09,0,0,0,0,0.01,0.01,0,0.01
"142",0,0.08,0.01,0.01,0,0,0,0,0,0
"143",0,0.05,0,0.01,0,0,0,0,0,0
"144",0,0.24,0.01,0.01,0,0,0.04,0.01,0,0.01
"145",0,0.55,0.01,0,0,0,0.02,0.01,0,0.01
"146",0,0.09,0,0,0,0,0.01,0.02,0,0.03
"147",0,0.03,0,0,0,0,0.01,0.01,0,0.01
"148",0,0.94,0,0.56,0,0,0.02,0.02,0.02,0.01
"150",0,0.33,0.01,0.31,0,0,0.04,0.28,0.05,0.13
"151",0,0.27,0,0.1,0,0,0.02,0.09,0,0.08
"152",0,0.05,0.06,0.01,0,0,0.01,0.01,0,0.01
"153",0,0.06,0,0.01,0,0.01,0.01,0,0,0
"156",0,0.07,0.03,0.06,0,0,0.13,0.12,0,0.1
"157",0,0.6,0,0,0,0,0.09,0.05,0,0.06
"159",0,0.09,0.01,0.02,0,0,0.04,0.02,0,0.03
"160",0,0.12,0.02,0.03,0,0,0.06,0.03,0,0.02
"161",0,0.09,0,0.61,0,0,0.02,0.13,0.01,0.08
"162",0,0.07,0,0.63,0,0,0.01,0.29,0.01,0.07
"163",0,0.05,0,0.1,0,0,0.02,0.23,0.03,0.03
"164",0,0.29,0,0.03,0,0,0.02,0.04,0.01,0.02
"166",0,0.09,0.02,0.29,0,0.01,0.04,0.05,0.01,0.03
"167",0,0.06,0.03,0.13,0,0.01,0.04,0.04,0,0.06
"168",0,0.13,0.01,0.09,0,0,0.02,0.04,0.01,0.08
"169",0,0.11,0,0,0,0,0.01,0.03,0,0.01
"170",0,0.09,0,0.6,0,0,0,0,0,0
"171",0.01,0.05,0.09,0,0,0.1,0.13,0.04,0.01,0.04
"172",0,0.05,0,0.12,0,0.01,0.06,0.06,0,0.04
"173",0,0.06,0,0.05,0,0,0,0,0,0.01
