"","1-hydroxy-2-unsubstituted benzenoids","Alkyl aryl ethers","Alpha amino acid amides","Alpha amino acids and derivatives","Amidines","Amines","Amino acids","Amino acids and derivatives","Amino acids, peptides, and analogues","Aminoimidazoles","Aminopyrimidines and derivatives","Aralkylamines","Azacyclic compounds","Azoles","Carboximidamides","Carboximidic acids","Carboximidic acids and derivatives","Carboxylic acid amides","Dialkylamines","Diazinanes","Dihydropyridinecarboxylic acids and derivatives","Dipeptides","Fatty amides","Guanidines","Heteroaromatic compounds","Hydroxamic acids","Imidazoles","Imidazolyl carboxylic acids and derivatives","Imidolactams","Imines","Isoleucine and derivatives","Lactams","Methyl esters","N-acyl-alpha amino acids and derivatives","N-acyl amines","N-substituted imidazoles","Organic 1,3-dipolar compounds","Organic acids and derivatives","Organic nitrogen compounds","Organoheterocyclic compounds","Organonitrogen compounds","Organopnictogen compounds","Peptides","Peptidomimetics","Phenol ethers","Piperidines","Primary carboxylic acid amides","Propargyl-type 1,3-dipolar organic compounds","Pyrans","Pyridines and derivatives","Pyrrole carboxylic acids and derivatives","Pyrrolidine carboxylic acids and derivatives","Pyrrolidines","Secondary amines","Secondary carboxylic acid amides","Substituted imidazoles","Tertiary alkylarylamines","Tertiary carboxylic acid amides","Valine and derivatives","Vinylogous amides","Vinylogous esters"
"116",0.02,0.06,0.24,0.38,0.05,0.42,0.04,0.54,0.54,0,0.01,0.64,0.49,0.18,0.05,0.11,0.1,0.25,0.12,0.12,0.01,0.15,0.35,0.05,0.42,0,0.06,0.01,0.05,0.12,0.03,0.05,0.01,0.05,0.05,0.02,0.21,0.52,1,0.63,1,0.94,0.01,0.02,0.01,0.03,0.22,0.21,0.01,0.19,0.02,0.01,0.06,0.11,0.24,0.02,0.04,0.03,0.02,0.07,0
"175",0,0,0.96,0.98,0,0.99,0.98,0.99,1,0,0,0.01,0.02,0,0,0.03,0.03,0.82,0,0,0,0.81,0.89,0,0,0,0,0,0,0,0.49,0,0,0.99,0.92,0,0.04,1,1,0.04,1,1,0.96,0.01,0.01,0,0,0.03,0,0.02,0,0,0,0,0.89,0,0,0,0.97,0,0
"209",0.03,0.01,0.92,0.8,0,0.96,0,0.72,0.85,0,0,0.01,0.12,0.02,0.01,0.12,0.12,0.59,0.24,0.02,0,0.83,0.82,0,0.05,0,0.01,0,0,0.01,0.06,0.03,0,0.64,0.85,0.01,0.16,0.92,1,0.18,1,0.96,0.72,0,0.02,0.08,0.16,0.16,0,0.05,0,0,0.02,0.12,0.68,0,0.01,0.01,0.05,0.01,0
"320",0.04,0.11,0,0.01,0,0.02,0.01,0.04,0.03,0,0,0,0.05,0.04,0.01,0.02,0.02,0.05,0.01,0,0,0,0.01,0,0.15,0,0.02,0,0,0.02,0,0.02,0.04,0.06,0.02,0.01,0.04,0.79,0,0.84,0,0.14,0,0,0.06,0.01,0,0.03,0.04,0.06,0.04,0,0.02,0.01,0.05,0.02,0,0.01,0,0.03,0.03
"646",0.01,0.05,0.19,0.36,0.31,0.98,0,0.84,0.85,0,0,0.02,0.1,0.07,0.28,0.07,0.07,0.68,0.44,0.01,0,0.27,0.74,0.2,0.06,0,0.02,0,0.02,0.14,0.01,0.01,0,0.04,0.51,0,0.39,0.92,1,0.14,1,0.81,0.06,0,0.01,0,0.1,0.46,0,0.01,0,0,0.03,0.49,0.62,0.01,0,0.01,0.01,0.01,0
"683",0,0,0.07,0.24,0.01,0.46,0.12,0.62,0.67,0,0,0,0.07,0.03,0.01,0.1,0.1,0.47,0.01,0,0,0.19,0.15,0.02,0.01,0.03,0,0.01,0,0.01,0,0.03,0.04,0.11,0.16,0,0.39,0.86,1,0.04,1,0.96,0.27,0.09,0.01,0,0.1,0.17,0,0,0,0.03,0.02,0.02,0.37,0.01,0,0.03,0.01,0.01,0
"742",0,0.01,0.78,0.92,0.6,0.39,0,0.92,0.96,0.01,0.03,0.04,0.89,0.13,0.79,0.15,0.13,0.96,0.13,0.29,0,0.64,0.68,0.58,0.09,0,0.12,0,0.06,0.1,0.03,0.53,0,0.79,0.76,0.03,0.5,1,1,0.82,0.98,0.9,0.61,0.06,0,0.74,0.13,0.49,0,0.17,0.01,0.14,0.13,0.21,0.68,0.02,0.02,0.75,0.05,0.03,0
"747",0,0,0.01,0.05,0.02,0.05,0.01,0.2,0.23,0,0,0,0.03,0.05,0.15,0.06,0.08,0.38,0.02,0,0,0.21,0.38,0.79,0.03,0,0.02,0,0,0.1,0,0.05,0,0.11,0.26,0,0.23,0.96,1,0.04,1,0.83,0.07,0.01,0,0,0.16,0.19,0,0,0,0,0.01,0.03,0.27,0.01,0,0.01,0,0,0
"864",0,0,0,0.01,0,0.92,0,0.01,0.01,0,0,0,0.01,0.01,0,0.02,0.03,0.29,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.01,0,0.06,0.14,0,0.03,1,1,0.03,1,1,0,0,0,0,0,0.05,0,0,0,0,0,0,0.38,0,0,0.01,0,0,0
"1269",0,0.03,0,0,0,0.02,0.01,0.03,0.03,0,0,0,0.02,0.04,0.01,0.04,0.04,0.06,0.01,0,0,0,0.01,0,0.05,0,0.03,0,0,0.07,0,0.01,0.05,0,0,0.02,0.1,0.31,0.01,0.27,0,0.09,0,0,0.01,0,0.01,0.06,0.02,0.02,0.01,0,0.02,0.02,0.07,0.01,0,0.01,0,0,0
"1522",0,0.06,0.37,0.3,0.04,0.56,0.03,0.58,0.55,0.35,0.03,0.13,0.78,0.72,0.1,0.06,0.07,0.44,0.26,0.04,0.01,0.2,0.33,0.15,0.87,0.01,0.46,0.2,0.14,0.11,0.09,0.03,0.09,0.05,0.16,0.1,0.19,0.51,0.99,0.81,0.98,0.91,0.06,0.02,0.01,0.01,0.08,0.17,0.02,0.07,0.03,0.03,0.05,0.24,0.44,0.38,0.02,0.07,0.02,0.05,0.01
"1688",0.03,0.05,0.08,0.07,0.06,0.51,0,0.28,0.27,0.05,0.01,0.08,0.88,0.96,0.02,0.03,0.03,0.45,0.15,0,0,0.03,0.13,0.01,0.94,0,0.63,0,0.03,0.05,0.01,0.1,0,0.03,0.05,0.22,0.04,0.57,0.99,0.87,0.98,0.9,0.01,0,0.01,0,0.12,0.04,0,0.02,0.01,0,0.01,0.27,0.33,0.32,0.11,0.12,0,0.46,0
"1747",0,0.03,0,0.08,0.02,0.74,0.69,0.58,0.59,0.01,0.03,0.02,0.2,0.02,0.02,0.07,0.08,0.1,0.25,0.03,0,0.07,0.03,0.01,0.11,0.01,0.03,0,0.02,0.04,0.04,0.05,0.05,0.02,0,0.02,0.05,0.94,1,0.31,0.98,0.96,0,0.01,0.04,0.17,0.14,0.05,0.03,0.13,0.01,0.01,0.17,0.32,0.03,0.03,0.01,0.03,0.01,0.02,0.02
"1783",0.01,0.01,0.66,0.88,0,0.95,0.95,0.89,0.93,0.01,0.18,0.01,0.13,0.26,0.24,0.05,0.06,0.72,0.07,0.08,0,0.56,0.64,0.95,0.07,0,0.1,0.05,0.27,0.09,0.03,0.1,0.01,0.82,0.48,0.01,0.3,0.95,0.98,0.39,0.98,1,0.9,0.03,0.01,0,0.4,0.33,0.01,0.03,0,0,0.01,0.26,0.8,0.09,0.01,0.02,0.04,0.01,0
"1795",0,0.01,0,0.99,0,0.99,0.92,1,1,0,0,0,0.9,0.01,0,0.04,0.06,0.03,0.87,0,0,0,0,0,0,0,0,0,0,0.05,0,0.01,0,0.01,0,0,0.17,1,1,0.93,1,1,0,0,0,0,0,0.17,0,0.03,0.01,1,0.96,0.88,0.02,0,0,0.01,0,0,0
"1855",0,0.01,0,1,0,1,0.94,1,1,0,0,0.01,0.94,0,0,0.01,0.02,0.01,0.91,0,0,0,0,0,0,0,0,0,0,0.09,0.01,0,0.03,0,0,0,0.13,1,1,0.92,1,1,0,0,0,0,0,0.09,0,0.03,0.02,1,0.95,0.94,0.01,0,0,0,0,0,0
