"","Aminoimidazoles","Carboximidamides","Dialkylamines","Imidazoles","Imidolactams","Lactams","Peptidomimetics","Pyrrolidines"
"116",0,0.05,0.12,0.06,0.05,0.05,0.02,0.06
"175",0,0,0,0,0,0,0.01,0
"209",0,0.01,0.24,0.01,0,0.03,0,0.02
"320",0,0.01,0.01,0.02,0,0.02,0,0.02
"646",0,0.28,0.44,0.02,0.02,0.01,0,0.03
"683",0,0.01,0.01,0,0,0.03,0.09,0.02
"742",0.01,0.79,0.13,0.12,0.06,0.53,0.06,0.13
"747",0,0.15,0.02,0.02,0,0.05,0.01,0.01
"864",0,0,0,0,0,0.01,0,0
"1269",0,0.01,0.01,0.03,0,0.01,0,0.02
"1522",0.35,0.1,0.26,0.46,0.14,0.03,0.02,0.05
"1688",0.05,0.02,0.15,0.63,0.03,0.1,0,0.01
"1747",0.01,0.02,0.25,0.03,0.02,0.05,0.01,0.17
"1783",0.01,0.24,0.07,0.1,0.27,0.1,0.03,0.01
"1795",0,0,0.87,0,0,0.01,0,0.96
"1855",0,0,0.91,0,0,0,0,0.95
"1862",0,0.01,0.01,0.03,0,0.04,0,0.08
"1928",0,0,0.12,0.02,0.01,0.04,0,0.06
"2253",0,0.18,0.19,0.06,0.11,0.03,0,0.09
"2329",0,0,0.07,0,0,0.03,0.01,0.01
"2443",0,0.25,0.08,0.04,0.04,0.05,0.01,0.01
"2468",0,0,0,0.02,0.01,0.33,0,0.11
"2569",0,0,0.01,0,0,0,0,0
"2594",0,0.01,0.02,0.01,0,0.02,0,0.01
"2606",0,0,0.04,0.01,0,0.06,0.03,0.03
"2710",0.08,0.13,0.02,0.29,0.01,0.05,0,0.08
"2767",0,0.16,0.12,0.11,0.48,0.09,0.01,0.13
"2768",0,0.15,0.12,0.09,0.4,0.13,0.01,0.13
"2803",0,0.01,0.22,0.02,0.01,0.05,0.04,0.35
"2817",0,0,0.81,0.01,0,0.02,0,0.94
"2840",0,0,0.07,0.02,0.01,0.02,0.01,0.04
"2843",0.21,0.06,0.48,0.98,0.02,0.05,0.05,0.08
"2844",0.05,0.16,0.17,0.31,0.06,0.05,0,0.04
"2857",0,0.05,0.09,0.06,0.47,0.02,0,0.04
"2873",0,0.01,0.01,0.01,0,0,0,0.01
"3156",0,0.01,0.02,0,0,0.01,0,0
"3275",0,0.01,0.06,0.01,0,0.05,0.01,0.05
"3287",0,0.23,0.31,0.08,0.04,0.05,0.01,0.06
"3461",0,0.02,0.08,0.01,0,0.17,0.29,0.02
"3462",0,0.02,0.08,0.01,0,0.11,0.16,0.01
"3464",0,0,0.01,0,0,0.34,0.95,0.02
"3667",0,0.01,0,0.02,0,0.01,0,0.02
"3740",0,0.01,0.03,0.05,0.05,0.45,0.02,0.21
"3916",0,0.01,0,0.01,0,0.01,0,0.03
"3986",0,0.03,0.01,0.07,0.01,0.03,0,0.04
