sample,Alkanesulfonic acids,Alkyl phosphates,Aminoglycosides,Aminosaccharides,Cholestane steroids,Cholines,Diacylglycerols,Dialkyl phosphates,Disaccharides,Diterpene glycosides,Fatty acyl glycosides,Glycerolipids,Glycerophosphocholines,Glycerophospholipids,Hexoses,Macrolides and analogues,Organic phosphoric acids and derivatives,Organic thiophosphoric acids and derivatives,Organochlorides,Phosphate esters,Phosphocholines,Sphingolipids,Steroid esters,Steroidal glycosides,Thiophosphoric acid esters,Triacylglycerols,Triradylcglycerols,Triterpenoids
DOM_Pn delicatissima,0.344405434,0.423364207,-0.141889131,-0.483358727,-0.093214299,0.467533939,0.121242762,0.406527811,-0.357814747,0.219124624,0.074907062,0.271369811,0.41758696,0.363489111,0.038475448,0.032515974,0.389811564,-0.353321353,1.064586824,0.39204784,0.429545441,0.061638412,-0.182133734,-0.352143187,-0.580196534,-0.260714507,0.019463696,-0.063854146
WM_Pn delicatissima,0.291793361,0.811825936,1.350887814,1.121247749,0.920061312,0.897061702,1.224692242,0.840385489,0.992835434,1.011785823,1.027529975,0.994572415,0.90144815,0.832002982,1.040470559,1.219488252,0.81282341,1.26301163,1.205632218,0.80943748,0.934231347,1.134584306,0.99067553,1.117158981,1.373013881,1.290812444,1.17194004,0.945801587
DOM_Pn delicatissima,-0.547585159,-0.326034339,-0.606670343,-0.848969386,-0.14593418,-0.243160946,-0.43363133,-0.335914517,-1.178518798,-0.214120221,-0.539043525,-0.557861494,-0.277500999,-0.304961551,-0.450620847,-0.613880716,-0.367540799,-1.041993539,0.146248611,-0.348168903,-0.315933047,-0.222877976,-0.438397759,-0.752835718,-1.07252829,-0.692108606,-0.338063559,-0.267711595
WM_Pn delicatissima,1.044016792,0.791503348,1.520166647,1.297128819,1.042157232,0.891942492,1.347579929,0.826623767,1.074242765,1.041130802,1.246753217,1.113406366,0.906089396,0.803583258,1.218332802,1.180855633,0.795213051,1.335738601,0.904040478,0.785807741,0.923456382,1.351730261,1.102057815,1.088407281,1.373013881,1.487734136,0.936019325,1.120510377
DOM_Pn galaxiae,0.045912191,0.219604369,-0.12623594,-0.159427591,0.211486018,0.130701835,0.129657042,0.192640468,-0.094721163,0.241560288,0.088665843,0.187494649,0.122751437,0.142334121,0.003255035,0.236531077,0.19729461,-0.557607112,0.081199003,0.209387851,0.149274157,-0.311869113,0.040491716,0.001692987,-0.632683287,-0.227623235,-0.017318088,0.133737384
WM_Pn galaxiae,1.222168804,0.544393754,0.772668631,0.96425883,0.488193849,0.424800933,0.527275719,0.500760845,0.862166064,0.576916481,0.662802791,0.212732308,0.424496403,0.546425441,0.708187144,0.627602625,0.58681386,1.0471614,0.419246556,0.56256588,0.455231009,0.170939616,0.571546294,0.707267727,1.015300265,0.223827853,-0.292755872,0.614218713
DOM_Pn galaxiae,-0.049329988,0.176875809,-0.169874382,-0.151600502,-0.182296238,-0.054455061,-0.224722709,0.110836394,-0.27257968,-0.106276477,-0.006178433,-0.004022821,-0.087920858,0.087980354,-0.0173429,-0.038171514,0.15114952,-0.80583787,-0.441459376,0.165246338,-0.065015882,-0.299808435,-0.575944062,-0.658625564,-0.754138613,-0.492302813,-0.306505375,-0.547389001
WM_Pn galaxiae,0.707330295,0.54522043,0.966281256,1.058921345,0.895743962,0.302498818,1.031097978,0.517601372,1.011377567,0.89216116,0.921309104,0.783668656,0.381483082,0.553312628,0.857348892,0.97482938,0.587251698,1.335390519,-0.690258835,0.564569012,0.406470443,0.676227512,0.956123051,0.882089699,1.429050126,0.916025411,1.006921004,1.018443188
DOM_Pn hasleana,-0.06936994,0.263201701,-0.322472943,-0.092207275,-0.632043131,0.164335774,-0.419660142,0.255056921,-0.065322097,-0.403875982,-0.011802632,-0.145358543,0.128068363,0.212934857,0.006479131,-0.187934132,0.247141309,-0.828920247,-2.363250109,0.265756602,0.121373205,-0.547502652,-0.837106928,-0.346303417,-0.687649573,-0.526151,-0.624751662,-0.895911816
WM_Pn hasleana,0.644706024,0.80892944,0.621125982,1.005505325,0.751816737,0.787848178,0.774841235,0.793126287,0.900712897,0.886465739,0.78616531,0.44666585,0.796603301,0.803369077,0.671781666,0.89415088,0.827304159,1.299375115,0.75926007,0.815609304,0.810427495,0.534771136,0.934948511,0.872061962,1.429050126,0.553147973,-0.184366494,0.996347118
