sample,Alpha.amino.acid.amides,Alpha.amino.acids.and.derivatives,Amino.acids..peptides..and.analogues,Amino.acids.and.derivatives,Aminoimidazoles,Benzene.and.substituted.derivatives,Benzenoids,Carboximidamides,Carboximidic.acids,Carboximidic.acids.and.derivatives,Dialkylamines,Fatty.amides,Glycosylamines,Guanidines,Heteroaromatic.compounds,Hydroxamic.acids,Imidazoles,Isoleucine.and.derivatives,Lactams,Methyl.esters,N.acyl.amines,N.substituted.imidazoles,Organic.1.3.dipolar.compounds,Organic.acids.and.derivatives,Organoheterocyclic.compounds,Peptidomimetics,Phenol.ethers,Propargyl.type.1.3.dipolar.organic.compounds,Pyrrolidines,Substituted.imidazoles,Tertiary.alkylarylamines,Tertiary.amines,Tertiary.carboxylic.acid.amides,Valine.and.derivatives,Vinylogous.esters
Pn-delicatissima_A,-0.18761081440268557,1.6397266369089323,2.165659394793659,2.173147039192717,1.2961916068662152,1.1484351104805626,0.9500371723321299,-0.9999367348995134,0.7639506734995524,0.6858062621092536,0.7230392423943077,-0.148618284029794,1.2878028795559726,-1.5694306042714414,1.2477022970263905,-0.3715212222170089,0.967272124210836,-0.30107218041540806,-0.6046870363794334,1.0337427341631797,-0.024261160203008225,1.2137893225021668,0.24111274123223025,0.46756295328114933,0.4147222421181337,-0.715036530771527,1.7166769365760812,0.47403078629473494,-1.133537589196294,0.9047078606069527,-0.3634778425128257,-0.4916019159465046,-1.1465251237081542,1.0767593963952202,0.689191827656905
Pn-delicatissima_B,-0.20722530837523664,1.564268037106693,1.9829471319163319,1.864063518846201,1.0906867700701643,1.1544782700607255,0.8864036709198146,-0.8415867078216104,1.0471139728439902,0.8615840601485294,0.6653609888498067,-0.03715477519864806,1.178645440347223,-1.2478490310003847,1.0207796283735981,0.12259231917486813,0.9908261118950221,-0.36421813755467414,-0.7215986576569943,0.4907811711446411,-0.18001771501949418,1.2197781665677394,0.17844902518506198,0.4685766231934238,0.0971655631494441,-0.2475488978957354,1.3813754951055262,0.4002958232571656,-1.1165284480047926,0.9392318530418694,-0.47111479423711455,-0.7729977472719634,-1.2468685572894818,0.7043378147970041,0.43394923493204257
Pn-galaxiae_A,-0.43242514262413784,0.13530547201338058,0.3575190802156696,0.3915545811267419,0.7236885939839185,0.41564250114094636,0.4583743166098925,0.7297302213186994,1.2342944298028962,1.2221149052400038,0.2534716561990128,-0.5294112303975141,0.7057175756496568,0.0630388112093094,0.6599103950439895,-0.5827145435418393,0.7178197520984845,0.26686972806388864,1.161042327041819,0.7627968633904525,-0.5425947065080525,0.6401642914189787,0.7620758192343455,0.43819539597611595,1.0723270159712222,0.9958733943837275,0.6839209955886356,0.7403505628334752,0.4457925362758568,0.598541664263395,1.0063355799721392,1.1664676073674578,1.588058796806413,-0.10440050358742026,0.7416319576181472
Pn-galaxiae_B,-0.8157661110097089,-0.3793343087513038,-0.5573427093990703,-0.4115566170978928,0.46101769489749034,0.7117736864603881,0.7389453662310501,0.994962359014331,0.5378676236097664,0.6442040541826879,-0.3545547444824263,-1.0087060707306534,0.5770526197695764,0.5146505780424174,0.45012760576805927,-0.5397197528828968,0.31584034751109563,-0.5462156826544972,0.775745082543674,0.6356012903061778,-1.112424266486639,0.09905625687408841,0.5988308494855538,0.02237576945486547,0.8542896994352511,0.4406372064791204,0.6628048463440823,0.60403173651327835,0.34030137965194895,0.26534499056594835,0.8905875907500581,0.8552992262343826,0.7252949668467291,-0.7839236678434818,0.7348464427875177
Pn-hasleana_A,-0.5806703236092406,0.055199708001313935,-0.32887387054555817,-0.20158889112545908,-0.35155849521277704,0.9917442535677014,1.0769400949612835,1.4738480017988456,0.2338138485135443,0.370209665730861,-0.014299622514389102,-0.9567266349103984,0.05270844848323984,1.104515564252405,0.34831725701372973,-0.642188558578434,0.17641737311455874,-0.32071128969362606,0.4963799769325829,0.6554453647947269,-0.9801583951683497,-0.13817332216003964,0.7518555272420371,0.20193401877171563,1.0414886259448415,0.6054338361817778,0.8660904128732319,0.7454118493773076,0.4700248733726612,0.14266720784015588,1.158487549086804,1.0659913363890103,0.5919443416175717,-0.988980811818752,1.0283903956973959
Pn-hasleana_B,-1.0470942366107352,-0.8533308927870933,-0.3087961549827569,-0.3004404257177471,0.7407069562877151,-0.17919140087544383,0.22342765553025815,0.14936179898868263,1.1991397820526035,1.154762886493426,-0.48471460422050344,-0.8911457025689163,0.34395090476779444,-0.39403205654378765,0.3246841048233207,-0.4106613827098772,0.28422695950561594,-0.6028282201391963,1.1772057878057964,0.6885418021637418,-0.7462238135641956,0.21775110389192645,0.5774835442965751,-0.16637998451224403,0.8797996104723809,1.3749107367149644,0.05455011253736674,0.5284828943927391,0.6957986639120808,0.09946917988958437,1.2345190565428525,1.3193950005966095,1.943284488597575,-1.0260289557510953,0.5386224171855394
Pn-multiseries_A,1.1996073412237735,-0.18378034216571254,0.11012504967140788,-0.09646546634610575,-0.613175040530243,-1.2294285909097655,-1.1800772903911116,-0.7277491331892443,-0.601099261814529,-0.722500895247331,0.7774179015974538,1.4443438476087365,-0.8891103468624381,-0.0815001560431058,-1.0486174382064004,1.3541506228200777,-1.0513075556356097,1.6657637636269453,-0.5664950971506681,-0.9218965831700683,1.4755329843702496,-0.8815442895205872,-0.8988756436302244,-0.6138019177144903,-1.1258993187204605,0.1036412229381654,-0.8296804563562783,-0.8872655326749039,0.020657216273472813,-1.0571524180182923,-0.8891997699892373,-0.6168984234685626,-0.1004405557880794,1.0870207940016041,-1.0142522476617324
Pn-multiseries_B,1.2694086854470417,-0.03732309488121567,-0.02743789020733313,-0.20366623101656417,-0.5545296406358524,-0.8360871757875685,-0.8840285070221789,-0.517099577182975,-0.6629281486547858,-0.763856818169371,0.6023153639238976,1.3058457491650308,-0.9488734374869741,0.011109502674072208,-0.9360285289147481,1.2977154532591073,-0.9712591097829172,1.4679449168114462,-0.6674665502457549,-0.8255211316590088,1.2270211158862812,-1.0076640812924191,-0.9226391923330893,-0.8938945288819241,-1.0023734137307085,0.011291295707899777,-0.6971275877680676,-0.9168345887173193,0.05252687007541587,-1.0563852249019248,-0.817381526501618,-0.5905094623123579,-0.0973467075113359,0.999651629494613,-0.9346135076536226
Pn-subpacifica_A,0.5788433437461376,-1.093094104777359,-0.811353206762693,-0.8010983751608387,-0.6231267047433975,-1.0038735333941593,-1.072833693837428,-0.8986924231596369,-1.2908038173514313,-1.2744371439053512,0.37461257727556513,0.7796908786502954,-0.8091436086917039,-0.2161394071339761,-0.9835762822784098,0.4385289593462831,-1.0240733436005671,0.5113208016127807,-1.0345816485819221,-1.121032775731657,0.6996933278135675,-0.983713743067451,-1.3351471047777763,-1.2545936354168048,-1.1867447927779367,-0.9964590617251275,-0.8778524103600822,-1.3187253564527608,-0.02630520345923726,-1.0536238836337506,-0.7958912752251746,-0.43895389091962894,-0.7487460576992435,0.8740284759250784,-1.0814676472256761
Pn-subpacifica_B,0.6547707759671818,-0.8870325882790135,-0.7408103320219745,-0.7716769229795538,-0.8218663752061068,-0.9849477086700752,-1.0553170112005037,-0.8991974311615802,-1.2505796829885762,-1.3133975541594558,0.22573435368471087,0.9293489199861397,-1.4018306008648183,-0.06991133430519632,-1.1314603543829584,0.34343587617954985,-1.1658150111661856,0.7246438974930869,-1.1514392491917245,-1.1648506421720919,0.8369403760686562,-1.0952479632742618,-1.2618885497705725,-1.162740620570324,-1.3214932475909604,-0.9731651563399435,-0.7804658086571488,-1.2518568584676442,-0.3082056238816535,-1.2109727585948726,-0.9206912655766183,-0.7310685412574882,-0.6847628977836533,0.9501533102972646,-0.9477069054969145
