microbe,category,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative,FDR
1503;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,Acetamides,0.43017636864831116,1.3478033010824044,0.21464226519802868,8,-0.2735377206123047,0.8339319137336475,Pearson's product-moment correlation,two.sided,0.3559536685322147
1626;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella,Acetamides,0.4171114467485577,1.2980826206022997,0.23043032784599066,8,-0.28820432287411885,0.8290175600204988,Pearson's product-moment correlation,two.sided,0.3707207692657403
2321;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maribacter,Acetamides,0.2915519674670764,0.862086864905348,0.41373320070756403,8,-0.414087956697433,0.7783056449679469,Pearson's product-moment correlation,two.sided,0.5360048682706242
2568;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae,Acetamides,-0.6198583406965791,-2.2342213193521814,0.05592743418305306,8,-0.8987293477019065,0.016020379017865356,Pearson's product-moment correlation,two.sided,0.18275286145142944
2666;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,Acetamides,0.48160551491716674,1.5543183192509233,0.15871550026465645,8,-0.2124389738838353,0.8526741538214079,Pearson's product-moment correlation,two.sided,0.3009169818371882
2713;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudophaeobacter,Acetamides,0.4614702392997953,1.4712580405671547,0.1794297736647862,8,-0.23702440152940196,0.8454483184681589,Pearson's product-moment correlation,two.sided,0.3190803050548321
2747;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae;Oleiphilus,Acetamides,0.796269356890551,3.7229832970507424,0.0058463090579932795,8,0.3341898487713964,0.9497409897781173,Pearson's product-moment correlation,two.sided,0.04498078601762177
3023;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,Acetamides,0.4873493145341839,1.5785854408554847,0.15308415341843173,8,-0.2052608587307817,0.8547096993348657,Pearson's product-moment correlation,two.sided,0.294452682850759
3263;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae;Marinomonas,Acetamides,-0.6305547128573714,-2.29786767657568,0.050639107804439705,8,-0.9020533549761753,-0.0015396911518832394,Pearson's product-moment correlation,two.sided,0.17259440723156266
3349;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,Acetamides,0.4066256328845849,1.2588850942481087,0.24356301486581333,8,-0.29974102099342825,0.825026770347095,Pearson's product-moment correlation,two.sided,0.38259690251838174
3399;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Acetamides,0.17073645309859856,0.4901120615726802,0.6372123690261178,8,-0.5141623868091376,0.7226750671920348,Pearson's product-moment correlation,two.sided,0.7353950911923869
3485;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;OM43 clade,Acetamides,0.7335914187488826,3.053175416247937,0.015744912252770756,8,0.1932036555442195,0.9325046095138846,Pearson's product-moment correlation,two.sided,0.09132049106607038
376;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Acetamides,-0.5645451713001065,-1.9345416393445594,0.08909395046184565,8,-0.8810131543570454,0.10097181020321717,Pearson's product-moment correlation,two.sided,0.2270334345071355
4056;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter,Acetamides,-0.5629076296639326,-1.9263218913522628,0.09023131553044682,8,-0.8804747824441728,0.10334709935972794,Pearson's product-moment correlation,two.sided,0.2283033956709963
45;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter,Acetamides,0.7828212142444798,3.5583198469462105,0.007418869544098195,8,0.30209096750694875,0.9461195471941597,Pearson's product-moment correlation,two.sided,0.05484144741421607
4531;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Acetamides,-0.6296644513132352,-2.29248958625186,0.051066017042337694,8,-0.9017779202739129,-6.321122266191664e-5,Pearson's product-moment correlation,two.sided,0.17292115351761655
4616;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Litorimonas;uncultured marine bacterium,Acetamides,0.2948321916044,0.872703888627699,0.40825366053720546,8,-0.41111017740385003,0.7797165165929374,Pearson's product-moment correlation,two.sided,0.5307297586983671
493;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Acetamides,-0.2822753499298468,-0.8322395871586289,0.4294153567062049,8,-0.7742888531986555,0.42242827654654663,Pearson's product-moment correlation,two.sided,0.5512698847159112
4940;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae;Pseudohongiella,Acetamides,0.7338474511729709,3.0554840900938216,0.015689806371934116,8,0.19373749249356736,0.9325769109252131,Pearson's product-moment correlation,two.sided,0.09132049106607038
592;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,Acetamides,-0.2734545240864489,-0.8040943019535969,0.44457752725661825,8,-0.7704322915840305,0.43024964821309813,Pearson's product-moment correlation,two.sided,0.5643290497499834
5936;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Neptuniibacter,Acetamides,0.4994169790231467,1.630455789143898,0.14165195052985585,8,-0.18993300846176286,0.8589498721937645,Pearson's product-moment correlation,two.sided,0.284313492849519
6323;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae;Marinomonas,Acetamides,0.007527435480520203,0.021291405911279246,0.9835346678708476,8,-0.6250613251522437,0.6341482086006232,Pearson's product-moment correlation,two.sided,0.990541148140631
6355;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,Acetamides,-0.5644971337452545,-1.934300035894675,0.08912718383834498,8,-0.8809973727890353,0.10104159789043572,Pearson's product-moment correlation,two.sided,0.2270334345071355
6889;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;uncultured Thalassobacter sp.,Acetamides,-0.9735950659769048,-12.062901708081316,2.0601098876746833e-6,8,-0.9939369580418222,-0.8888106130605119,Pearson's product-moment correlation,two.sided,2.9124803537000833e-4
7037;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Polaribacter 4,Acetamides,0.6880879420980729,2.6821022163834654,0.027835174438520537,8,0.10315029779360523,0.9193964983816365,Pearson's product-moment correlation,two.sided,0.12394323736207373
