feature_number,Pn-delicatissima_DOM,Pn-delicatissima_Unfil,Pn-galaxiae_DOM,Pn-galaxiae_Unfil,Pn-hasleana_DOM,Pn-hasleana_Unfil,Pn-multiseries_DOM,Pn-multiseries_Unfil,Pn-subpacifica_DOM,Pn-subpacifica_Unfil,Pn-delicatissima,Pn-galaxiae,Pn-hasleana,Pn-multiseries,Pn-subpacifica,DOM,Unfil,Exp1_Pn-delicatissima,Exp1_Pn-multiseries,Exp1_Pn-subpacifica,Goleta_I,NewportBeach_I,NewportBeach_M,SantaMonica_I,Scripps_I,Scripps_M,Scripps_N,StearnWharf_I,mean_piers,139_D,140_D,145_D,146_D,47_D,49_D,59_D,61_D,71_D,73_D,mean_CCE,sum_xic_exp2,sum_xic_exp2env
53,1.0080726573056523e-5,3.587076122521412e-6,1.1707752228865934e-5,6.644746198591772e-6,6.7880547723685535e-6,2.666266715005466e-6,4.833254646251431e-5,9.197764231160995e-6,2.7391703226784675e-5,1.3571759053682426e-5,6.833901347788967e-6,9.176249213728853e-6,4.72716074368701e-6,2.876515534683765e-5,2.048173114023355e-5,2.0860156652718e-5,7.133522464192414e-6,5.871608741917455e-6,3.215562169921752e-5,5.4660811646143004e-5,0.005978259609756498,0.006978602599667591,0.00433624598174194,0.006133971103205991,0.006023645094872997,0.0029368006787132504,0.008881966926595644,0.006846838357582468,0.006014541294017048,6.023922172910736e-4,5.13449881112111e-4,6.932961928287836e-4,7.176263008234081e-4,5.124045446617908e-4,6.996599047156344e-4,5.079114756157545e-4,5.314213490049347e-4,5.505581973873914e-4,5.600948032646724e-4,5.781790713347333e-4,1575731823.5626,3366031823.5626
116,1.051722946896191e-7,2.3207967932040763e-7,1.6927665309242556e-7,1.7027353057194208e-7,5.595312578813597e-8,8.233722889981723e-8,5.871215295044113e-7,3.8114851826613655e-7,7.31836285780943e-7,2.948417945114755e-7,1.6862598700501337e-7,1.6977509183218383e-7,6.91451773439766e-8,4.841350238852739e-7,5.133390401462093e-7,3.2987197777110703e-7,2.321361503139558e-7,1.6500667447206493e-7,5.516439238119607e-7,1.484556335576315e-6,2.0348614215384087e-4,0.0010373456153240563,6.789135714137561e-5,2.3863922992276606e-4,3.817754710998906e-4,1.3541286378100983e-5,6.432137667567913e-5,5.311554531990432e-4,3.172694914868441e-4,1.5241796072697743e-6,1.2236331687138527e-6,1.9661252729929516e-6,1.2938257090717426e-6,1.0925297119670082e-6,2.100841723717523e-6,1.6139925692967453e-6,4.3726329135384194e-7,7.141940121780852e-7,8.113458752366058e-7,1.2217561328467462e-6,49769942.39624,121668373.54347
147,7.863788538449627e-6,4.887686261978046e-7,2.5505436656529293e-6,8.207119016892304e-7,9.320609214044488e-7,3.8760086732245975e-7,1.5062520072876145e-5,3.832741560218933e-6,5.0444238574927026e-5,1.5355182873136936e-5,4.176278582323716e-6,1.6856277836710797e-6,6.598308943634543e-7,9.447630816547538e-6,3.289971072403198e-5,1.5370630354662036e-5,4.177001165713073e-6,1.263706306562538e-6,5.766444503812793e-5,1.519834028286819e-5,2.414885794009734e-4,1.717412612863834e-4,1.0468616933497155e-4,7.95985579862286e-5,1.483015704236074e-4,5.6412235015789146e-5,4.942746463647693e-4,1.7271861104503703e-4,1.8365270385721998e-4,2.0646668627091253e-5,3.492905899048995e-5,7.921348207102742e-6,1.8510393944113927e-5,1.5056595345963586e-5,1.3668768575517132e-5,1.2796707837589646e-5,8.186791141183251e-6,1.0872887024444327e-5,1.5312358450345552e-5,1.4612230407430304e-5,427802387.556,473850182.1153
231,1.7066044095342614e-5,2.2004558278898465e-6,1.285057016884958e-5,2.0745493948204594e-6,6.126421852132229e-6,1.3993388999595156e-6,9.35503660271692e-5,1.4224323646102746e-5,3.155288837732562e-4,1.1187832586394632e-4,9.63324996161623e-6,7.4625597818350195e-6,3.7628803760458723e-6,5.388734483663597e-5,2.1370360481860125e-4,8.902445718334997e-5,2.6355398726543777e-5,2.5958790581425372e-5,7.926961734068088e-5,4.78931594298952e-4,3.498426632701396e-4,5.756788038395707e-4,0.0012485571170133738,3.201767066041225e-4,3.4255080705238066e-4,2.712787177476554e-4,0.008064640374954073,4.4837488916976703e-4,0.0014526375099563854,3.9001995998562124e-5,2.784465732162558e-5,8.203196353720463e-5,9.19868427452169e-5,2.3984806892952387e-4,2.0229735071415378e-4,1.0096096003857922e-4,3.822623798075974e-5,6.207108055700353e-5,1.0379954982964637e-4,1.084544972313714e-4,1967397638.6602001,2221680774.3572
268,3.995696387236338e-6,5.361510247709333e-7,4.937385418935647e-6,1.0369797559052327e-6,2.6484275271667896e-6,2.6680476561793103e-7,5.409641798782921e-5,9.450831662042243e-6,5.513596426684102e-5,3.428640504924065e-5,2.2659237060036355e-6,2.9871825874204396e-6,1.4576161463923604e-6,3.177362482493573e-5,4.471118465804084e-5,2.4162778317601802e-5,9.115434451515397e-6,1.914475615456372e-6,2.2835771313924884e-5,3.138679164510657e-5,0.002112737683451144,1.7462035888695873e-4,2.3813713205534452e-4,1.9838047215545529e-4,0.0013703233615379347,4.03681757655634e-4,9.378287886014188e-4,0.001215143266959985,8.313566026629844e-4,8.184708252396972e-6,8.664870959267332e-6,1.6050593998804175e-5,0,5.261848557728033e-7,3.7724272003522065e-6,2.280065487025302e-6,6.547061507859136e-7,1.5043755403246497e-6,1.426220082655427e-6,3.3267582402688175e-6,559235394.7962,769856813.23748
307,6.120758998848106e-6,5.932182828684045e-6,6.723457832381953e-6,4.308237769945637e-6,4.374353503039328e-6,2.5285561980331e-6,6.372734242454718e-5,3.7676345006073186e-5,1.7932724597171825e-5,3.846250932339576e-5,6.026470913766075e-6,5.515847801163795e-6,3.451454850536214e-6,5.0701843715310183e-05,2.8197616960283793e-5,1.9775727471197678e-5,1.7781566225226345e-5,7.661473427967875e-8,6.800848279178904e-7,2.4371363956765107e-6,2.1857027258848124e-5,4.568120950881284e-5,6.786439487358439e-5,3.0235461544914624e-5,5.9996926410763985e-5,5.071370641793683e-5,3.365221962667209e-4,4.675789484773598e-5,8.24536021411647e-5,0,0,0,0,0,0,1.2057430240631996e-6,0,0,0,1.5071787800789995e-7,1753771741.501,1767167766.41228
308,2.9668866727002136e-6,3.827888841334063e-6,3.27159675742487e-6,2.7555755472390076e-6,2.1225871189237173e-6,1.1949407576403628e-6,3.237027116089968e-5,1.8016114925986203e-5,1.1265386007545309e-5,1.8039040511930075e-5,3.3973877570171383e-6,3.013586152331939e-6,1.6587639382820401e-6,2.5193193043442943e-5,1.4652213259737694e-5,1.0399345543498759e-5,8.766712116825942e-6,7.273902799620023e-8,6.196637606175433e-7,1.8010954095176656e-6,2.9682247323777375e-05,6.728614695240723e-5,9.248622580697462e-5,2.7999787007306103e-5,5.928620939458287e-5,4.575241955273556e-5,2.7942124361146625e-4,3.450514985648544e-5,7.955242868821692e-5,0,0,0,0,4.466869670348634e-7,1.1804791884310077e-6,3.3163308350710276e-6,0,0,0,6.179371238171123e-7,994749849.913,1008514153.67739
310,6.179929224854418e-5,7.518304654665419e-6,3.892229329723759e-5,6.038276496120171e-6,2.010100993418219e-5,5.368096435288224e-6,3.6740288604500523e-4,5.843013792272418e-5,0.0011544066357009378,4.087983209008506e-4,3.46587984516048e-5,2.2480284896678878e-5,1.2734553184735207e-5,2.129165119838647e-4,7.816024783008943e-4,3.285264234451814e-4,9.723062728192972e-5,7.64764613281378e-5,2.9120317952673926e-4,0.0016763915131019253,0.0011741296915523365,0.0018319405173322961,0.0032912774485647053,9.123592456547269e-4,8.093813135609404e-4,7.602974293028329e-4,0.023507792395502592,0.0013863449733550021,0.004209190376853179,6.71450518050415e-5,1.391351626777057e-4,1.4065512470824002e-4,1.587484505509843e-4,3.4168884713181e-4,3.1535292372568847e-4,2.2087392806181193e-4,7.432864328543495e-5,8.612255786265868e-5,1.4688450361460457e-4,1.7976166231912428e-4,7039241979.034,7684881686.8077
320,2.2965189414650751e-7,1.18477123611157e-7,4.558302308176219e-6,8.40354420553238e-7,2.117241115590167e-6,4.6782572510121036e-7,2.7836102854169188e-6,4.6016329804970475e-7,2.8844382203038142e-6,1.9319800648318422e-6,1.7406450887883226e-7,2.6993283643647283e-6,1.2925334203456886e-6,1.621886791733312e-6,2.4082091425678284e-6,2.5146487647267254e-6,7.637601264294304e-7,2.0578691947569972e-7,1.92957894605689e-6,2.814094314883732e-6,1.53187988198749e-4,5.137230974713537e-4,2.2681327358579613e-4,1.2152194426748638e-4,4.694044190877835e-4,1.929097747840053e-4,4.382484173685137e-4,2.4412345048539409e-4,2.949915456561352e-4,3.858962451648291e-5,4.003421139325479e-5,5.4501424387919465e-5,8.611176039940855e-5,5.743026425153902e-5,4.852106757485382e-5,5.594467368928143e-5,4.0760804529532536e-5,6.478950497257258e-5,4.0650530178496644e-5,5.2214419443101113e-5,244546392.85576,339306554.70576
321,9.666101931950243e-7,2.7756318837153616e-6,3.1119287234028712e-6,1.1126257382739482e-6,1.6626102594752041e-6,8.560739318865278e-7,3.2796433123033287e-6,2.061713608098066e-6,2.4704566593377518e-6,5.323485091959482e-6,1.871121038455193e-6,2.1122772308384096e-6,1.259342095680866e-6,2.670678460200697e-6,3.896970875648617e-6,2.298249829542836e-6,2.4259060507866773e-6,1.8576893466740008e-6,5.991282160264277e-6,1.589873123417253e-5,3.4289064086424415e-4,0.0015789005620568844,5.004373210144988e-4,2.4570610683624796e-4,3.217996655387691e-4,1.444636095288441e-4,4.6179920883819943e-4,2.68492537618518e-4,4.830612065370257e-4,6.729581627451708e-4,2.0698736871737326e-4,3.951321563886324e-5,6.543712798245519e-5,7.918129067455639e-5,4.2223117736639654e-4,1.2112507859289519e-4,1.6338059139510742e-4,3.290079352071649e-4,4.8101659985911937e-4,2.6104882632964636e-4,593606236.353,895317577.5672
