sample_code,Acetamides,Alkyl.phosphates,Alpha.amino.acid.amides,Aminoglycosides,Beta.amino.acids.and.derivatives,Branched.fatty.acids,Cysteine.and.derivatives,Depsipeptides,Fatty.amides,Furazans,Gamma.amino.acids.and.derivatives,Hydroxamic.acids,Leucine.and.derivatives,Macrolactams,Macrolide.lactams,Monosaccharide.phosphates,Oligopeptides,Organic.oxoanionic.compounds,Organic.phosphoric.acids.and.derivatives,Organic.pyrophosphates,Peptidomimetics,Phosphate.esters,Phosphonic.acid.esters,Primary.carboxylic.acid.amides,Serine.and.derivatives,Steroid.esters,Steroidal.glycosides,Valine.and.derivatives,Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter dokdonensis,Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter sp. J10-4,Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Winogradskyella;sp,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hellea;sp,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hyphomonas;sp,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marivita;Rhodobacteraceae bacterium DG1240,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marivita;Rhodobacteraceae bacterium DG1295,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Oceanibulbus;Oceanibulbus indolifex,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Phaeobacter;marine bacterium ATAM407_56,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade AS-21 lineage;sp,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Seohaeicola;alpha proteobacterium AP-26,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Seohaeicola;marine alpha proteobacterium AS-11,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Seohaeicola;Roseobacter sp. DG869,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter;Antarctic seawater bacterium R7371,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thalassobacter;Thalassobacter stenotrophicus,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified;,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter;Limnobacter sp. MED105,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;sp,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;Alteromonas litorea,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;Alteromonas sp. 114Z-6,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;Alteromonas sp. A-1,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;Alteromonas sp. MR32a,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;sp,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Glaciecola;sp,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Candidatus Zinderia;Candidatus Zinderia insecticola CARI,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas;marine bacterium Tw-1,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas;Marinomonas posidonica IVIA-Po-181,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Neptuniibacter ;Neptuniibacter sp. CAR-SF,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Pseudospirillum;sp,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae;Oleiphilus;sp
delicatissima_A,1.1109796497567102,0.3487100546882422,1.6627138248488462,-0.3909606473293944,0.7475473964262016,1.469120308954971,-1.0221535711325778,-0.9994770403681512,2.095886810938137,-0.9954768139075524,0.5670788770236755,-0.10615419508956354,0.7989352430201553,0.46596948570554847,-1.3895972853574199,-1.1369218394919771,-0.27065101748670223,-0.63692060694813,0.522944211642682,-0.8152563993984665,0.48835683651497125,0.3854823920581271,-0.4025277663869001,1.648669609397194,-0.19446892803715002,-0.24444952342016496,-1.8917281558842904,0.7964987574977412,1.5487141452176956,-0.46521268107276126,0.7888920324920689,1.836535549372058,0.7302158444346731,-0.4576187059953358,-0.471560584557075,-0.743223231350231,-0.33435450148014295,-0.47352155418503417,2.016500088616924,0.8188496546009513,0.7353143905286098,-0.47352155418503417,0.8860778923577106,-0.46116215359177626,-0.5246751786996416,-0.7041039821474796,-0.00940656837253691,1.186741880622316,1.2138123730568822,2.7997786921983656,-0.3616287499385659,-0.133708891321445,-1.0460155666273607,-0.444936253737252,1.6537982603250148,-0.5698554551213568,-0.37652196147081285,0.6297388523919214
delicatissima_B,1.108867901913767,-0.012720419528960266,1.6693886489954262,-0.5273954050180812,0.7105667872647803,1.4758372507712907,-1.0439217899669442,-0.9646038996304108,2.093443821463861,-1.0104659389352337,0.5297796341016678,-0.08735460322462968,0.8079500554686628,0.5006575266021702,-1.3507887968452732,-1.4379963272850693,-0.2387131902324106,-0.8965840140777231,0.194890019877478,-1.069442201806808,0.5004504433168174,0.07499081572304078,-0.4839507664212158,1.6611570519046943,-0.24030658330109209,-0.305271875516537,-1.9634442229398847,0.7917931167470198,1.8572955627551293,-0.46521268107276126,1.0690292455091055,1.956675891936069,0.2547120945127023,-0.4576187059953358,-0.471560584557075,-0.743223231350231,-0.25745125380916317,-0.47352155418503417,-0.7611764311409532,0.985028293732845,0.42663596503470386,-0.47352155418503417,0.7407127127511939,-0.46116215359177626,-0.13006923193744674,-0.7041039821474796,0.21045067251808627,1.0185658028003624,1.258482491383417,-0.3745803816000114,-0.4085635656599145,-0.12796635732824882,-0.9024062401445467,-0.444936253737252,1.5400773588604473,-0.5698554551213568,-0.4759227901819007,0.07606402472941848
galaxiae_A,0.8601413209813994,0.6429401559274214,1.4340822410647824,-0.6594644465923659,0.5136675898792952,1.3401677768006623,-1.3676528780257597,-0.541767423845083,1.8726994864875854,-1.089183637640351,0.21532090248917363,-0.6824706624390559,0.5719957584116094,0.5630037880748348,-1.066197846212608,-0.5535995437223192,-0.46126602373898257,-0.15868541156166327,0.8386995692778482,-0.29405872912231623,0.4002801311337121,0.6864434348081829,-0.6152436031479264,1.4340512407024095,-0.39439556044639806,-0.5363373612004412,-2.1450137361519053,0.569694857408943,-0.8356598377081617,-0.46521268107276126,-0.8718634017084879,-0.47415143016351585,-1.125855250219237,1.2721716818953535,2.115616054777939,-0.743223231350231,-0.601000182054427,-0.47352155418503417,-0.7611764311409532,-1.0090645922995432,-0.9313720461680334,-0.47352155418503417,0.7419296244579149,-0.46116215359177626,-0.9353846443577447,-0.7041039821474796,-0.6349604934468142,-0.804090472834923,-0.8667870692310731,-0.3745803816000114,-0.07651004478615976,0.5835082633945277,0.4805363802054275,-0.444936253737252,0.03876004038774443,-0.5698554551213568,-0.8474523615936191,-1.0319913673535055
galaxiae_B,0.6879645221981991,0.6100820983077297,1.2513447208245052,-0.7114351983743573,0.40494216029747615,1.2863059869817672,-1.5176445096650863,-0.7567384083389461,1.7186019506847583,-1.1736527803550387,0.1266151942899894,-0.7942252293289322,0.44718029684428967,0.3973969709002727,-1.265087734064431,-0.5751117365482349,-0.6382027280146844,-0.23084656599409475,0.8080555233968001,-0.3762458047035617,0.21852980969939675,0.6553298659057151,-0.6838023327856405,1.2738142445295138,-0.4523639469319928,-0.7392104000088856,-2.289772368601332,0.43141163200012206,-0.8356598377081617,-0.46521268107276126,-0.8718634017084879,-0.47415143016351585,-1.125855250219237,2.388777966067333,1.6568686216786614,-0.743223231350231,-0.601000182054427,-0.47352155418503417,-0.7611764311409532,-1.0090645922995432,-0.9313720461680334,-0.47352155418503417,0.500743704288757,-0.46116215359177626,-0.9353846443577447,-0.7041039821474796,-0.6349604934468142,-0.8736712399363985,-0.8667870692310731,-0.3745803816000114,0.02145089054092394,0.6648238370649655,0.5252498045130573,-0.444936253737252,0.5377818702204721,-0.5698554551213568,-0.8474523615936191,-1.0319913673535055
hasleana_A,0.6170032895359077,0.47438077034990844,1.0929681045415212,-0.7114351983743573,0.3715372434161498,1.2081736730432704,-1.6009584705498483,-0.9319397203674492,1.6158604639761927,-1.2158495004383094,0.04303444380246393,-0.9326956293709283,0.3525412346370503,0.28423340214986015,-1.432360653270148,-0.5859539022841794,-0.7404188994069225,-0.29308898510262404,0.67253778860422,-0.4145575959421596,0.061199970878421196,0.5134083465288837,-0.7195937833242433,1.1552154783768054,-0.4997031415412582,-0.7996619418624241,-2.3285939732302934,0.33726211746180407,-0.8356598377081617,1.446672951611406,1.3366697982464688,-0.47415143016351585,-1.125855250219237,-0.4576187059953358,-0.471560584557075,-0.743223231350231,-0.601000182054427,-0.47352155418503417,-0.7611764311409532,-1.0090645922995432,-0.9313720461680334,-0.47352155418503417,1.0860491293073982,-0.46116215359177626,-0.9353846443577447,-0.7041039821474796,-0.6349604934468142,1.0931302879160985,1.0751371719796072,-0.3745803816000114,-0.6151497600303055,-0.9817860320792109,-0.23489165508656543,1.0444664267899375,-0.5559277652340663,-0.5698554551213568,-0.8474523615936191,-1.0319913673535055
hasleana_B,0.7237001669524087,0.5996278812396395,1.2697454155792929,-0.7094885294400805,0.41425460675315495,1.3159966859213001,-1.4656499475004665,-0.6120228348380742,1.7372294550133638,-1.243478498006187,0.16133215066696935,-0.7397691026577632,0.45062159285502074,0.4487550801941172,-1.066197846212608,-0.5751117365482349,-0.6592466279999183,-0.23222094405948654,0.794520442475036,-0.40456301791304944,0.291769813149774,0.6448060261399258,-0.6490395182360421,1.304447179915432,-0.46233354671424004,-0.818707181878186,-2.4109986526608895,0.42333162260022517,-0.8356598377081617,2.275028496970684,1.3626068988210454,-0.47415143016351585,-1.125855250219237,-0.4576187059953358,-0.471560584557075,-0.743223231350231,-0.601000182054427,-0.47352155418503417,-0.7611764311409532,-1.0090645922995432,-0.9313720461680334,-0.47352155418503417,0.5766395770934276,-0.46116215359177626,-0.9353846443577447,-0.7041039821474796,-0.6349604934468142,1.3115547960800977,1.061485326733787,-0.3745803816000114,-0.7376745131920497,-0.9817860320792109,0.012429364204720482,2.515023603108078,-0.5708943474777458,-0.5698554551213568,-0.8474523615936191,-1.0319913673535055
multiseries_A,1.137944995431761,0.6682688580268388,1.7997424064020222,-0.3227128170750879,0.7815982286596431,1.5206495585512765,-1.0752262208185053,-0.7811798650721581,2.175631745115785,-1.1567509625977075,0.7502924939775516,0.11103673859203238,0.9192718762663268,0.6058116588238973,-1.10260714210994,-0.4168109393642728,-0.12015021318324326,-0.23524433429269123,0.8741305356212975,-0.31970236346480485,0.7481179083215408,0.7556406138059621,-0.43463561510422627,1.7067109909252487,-0.16169989210017657,-0.6210418492416657,-2.3550970574859478,0.8168890967479083,0.3148969162560787,-0.46521268107276126,-0.5596167027913579,-0.47415143016351585,1.1724010109465979,-0.4576187059953358,-0.471560584557075,1.795823011256682,2.044067182730007,-0.47352155418503417,0.95832693220993,1.2837003606184656,2.0602871195278034,-0.47352155418503417,-1.3640908983605684,2.3412262637754324,1.1684597438693172,0.2865795338326883,-0.6349604934468142,-0.8736712399363985,-0.8667870692310731,-0.3745803816000114,-0.7376745131920497,-0.9817860320792109,1.4519520915722282,-0.444936253737252,-1.1726209361745974,1.9391605051751466,1.6487108261991472,1.7298268145451359
multiseries_B,1.1841460395220071,0.7099363460564256,1.8706483034966561,-0.28238982177655897,0.8194503716978317,1.5466387444815322,-1.1121320909270338,-0.6738253281340115,2.2349466403462026,-1.1140213715141296,0.8208871801069487,0.17206562107079085,1.00360181307661,0.6684023559615109,-1.0248983222493635,-0.42887105001503895,-0.08093832202967921,-0.2027930292093677,0.9385287920062518,-0.3524440811349828,0.8016781006381876,0.798300297449873,-0.3927337790420624,1.771028481112116,-0.09668659159938384,-0.5112665710521672,-2.184456890106393,0.8628113214509753,0.24964477482122233,-0.46521268107276126,-0.5445642519881779,-0.47415143016351585,0.5773735518924951,-0.4576187059953358,-0.471560584557075,1.1385566134847827,1.7068980915609049,-0.47352155418503417,1.0411183996254272,1.2582889970044069,0.6358312337726596,-0.47352155418503417,-1.3640908983605684,1.3480709649587777,1.517270070193538,0.6014206654284366,-0.6349604934468142,-0.8736712399363985,-0.8667870692310731,-0.3745803816000114,-0.7376745131920497,-0.9817860320792109,1.6126939752622043,-0.444936253737252,-1.1726209361745974,1.796629045687124,1.5940795755204407,0.9901959754959325
subpacifica_A,0.9743677800879769,0.5166107563792922,1.5240466593825428,-0.4178745844923344,0.5838978446965862,1.4396332758321622,-1.161429435242103,-1.3392057563178965,1.9293297879025713,-1.3152045259914913,0.5200492739823342,-0.23942301442321615,0.7115278619699715,0.07718930073947751,-1.5932179460635463,-0.4683432233666608,-0.45533216604188836,-0.3664090019927614,0.7249366356884137,-0.4605611713685367,0.3707183144100222,0.6116932809871893,-0.4977092767544634,1.4724512654175008,-0.31966176898529536,-0.6593897926443852,-2.231102866491384,0.619121149631839,-0.31606314626273574,-0.46521268107276126,-0.8374268151636898,-0.47415143016351585,0.711675321146234,-0.4576187059953358,-0.471560584557075,0.7914002938969091,-0.38934591138203656,1.7693995917806187,-0.026297023243315256,-0.21502255237562884,-0.33980970971977587,1.7693995917806187,-0.9486091685486361,-0.46116215359177626,0.6582772206828927,1.581530479276788,1.6922274330077094,-0.5749608328282179,-0.5314340185767809,-0.3745803816000114,1.9019784788651664,1.4232013530147356,-0.8595107538421305,-0.444936253737252,0.14479447395314463,-0.07698531538748879,0.5103542343076887,0.5943079363924509
subpacifica_B,0.988681025443974,0.39537268901048966,1.5674901377842956,-0.5004117468131862,0.5816699319629359,1.3997459496811673,-1.0832552816732908,-1.5379099041158313,1.9491635833883283,-1.3944472787027495,0.5845108358035447,-0.17243063911153353,0.7170553327412827,0.07493453473268578,-1.5474298869490368,-0.5219229783506162,-0.4243779129559307,-0.4247570310070194,0.5948505254283939,-0.5204172942677835,0.37358337229390953,0.5006066747817723,-0.5509219733995449,1.5070380496612292,-0.2112390749376729,-0.9818707030256898,-2.53485049903905,0.5662787815863232,-0.3118489019547433,-0.46521268107276126,-0.8718634017084879,-0.47415143016351585,1.0570431779442457,-0.4576187059953358,-0.471560584557075,0.7335594694630128,-0.3658128794018619,2.0187728416996547,-0.18376624150419937,-0.09458638438286703,0.20722918552813308,2.0187728416996547,-0.8553616749866294,-0.46116215359177626,1.0522759533223198,1.7550932143469644,1.9164914235276265,-0.6099277419465381,-0.6103350676526194,0.19686436060172557,1.7514462905850048,1.5172859234923086,-1.0400374000570352,-0.444936253737252,-0.443148018685816,-0.2396715047466412,0.48910956199991296,0.10783186585916352
