"","feature_number","variable","response","importance"
"1",9,"mz",157.0836858,"not"
"2",12,"mz",161.0822338,"not"
"3",53,"mz",181.1223708,"not"
"4",58,"mz",184.9856684,"not"
"5",66,"mz",186.9810491,"not"
"6",86,"mz",198.1203214,"not"
"7",135,"mz",218.1391712,"not"
"8",147,"mz",224.1291273,"not"
"9",175,"mz",231.171264,"not"
"10",186,"mz",237.1494014,"not"
"11",188,"mz",239.1272422,"not"
"12",189,"mz",239.1274809,"not"
"13",194,"mz",240.1581366,"not"
"14",209,"mz",244.2021391,"not"
"15",231,"mz",251.1849639,"not"
"16",235,"mz",254.1870162,"not"
"17",252,"mz",258.1108372,"not"
"18",310,"mz",273.1667929,"not"
"19",320,"mz",277.1430028,"important"
"20",321,"mz",277.1790987,"not"
"21",339,"mz",284.2944714,"not"
"22",354,"mz",288.2529645,"not"
"23",355,"mz",288.2529521,"important"
"24",398,"mz",309.2260885,"not"
"25",399,"mz",310.1938018,"not"
"26",407,"mz",312.3256749,"not"
"27",548,"mz",377.231957,"not"
"28",569,"mz",386.2696953,"not"
"29",574,"mz",388.3181984,"not"
"30",575,"mz",389.2515842,"not"
"31",608,"mz",404.2484171,"not"
"32",627,"mz",413.2313593,"not"
"33",640,"mz",417.2631293,"not"
"34",646,"mz",420.4049887,"not"
"35",668,"mz",429.320194,"not"
"36",684,"mz",438.3792209,"not"
"37",707,"mz",448.2745182,"not"
"38",717,"mz",453.3439079,"not"
"39",738,"mz",462.3410964,"not"
"40",747,"mz",468.3897082,"not"
"41",748,"mz",468.3898321,"not"
"42",755,"mz",471.3305525,"not"
"43",760,"mz",473.3452063,"not"
"44",761,"mz",473.3461279,"not"
"45",780,"mz",482.405342,"not"
"46",788,"mz",485.2884634,"important"
"47",789,"mz",485.3371694,"not"
"48",791,"mz",487.3623389,"not"
"49",801,"mz",492.3012345,"important"
"50",828,"mz",505.3148036,"not"
"51",835,"mz",509.2879871,"not"
"52",840,"mz",512.4157327,"not"
"53",849,"mz",518.3701059,"not"
"54",858,"mz",521.3452634,"not"
"55",864,"mz",524.3700088,"important"
"56",868,"mz",526.2695198,"not"
"57",869,"mz",526.4313573,"not"
"58",873,"mz",530.4050841,"not"
"59",884,"mz",537.8783406,"important"
"60",895,"mz",544.3840626,"not"
"61",913,"mz",556.4421265,"not"
"62",917,"mz",561.3977025,"not"
"63",930,"mz",570.2969651,"not"
"64",932,"mz",570.4577558,"not"
"65",933,"mz",572.4176718,"not"
"66",961,"mz",588.4106691,"not"
"67",975,"mz",600.4682105,"not"
"68",979,"mz",605.4241982,"not"
"69",987,"mz",616.4445884,"not"
"70",993,"mz",621.4004076,"not"
"71",994,"mz",623.4118174,"not"
"72",1005,"mz",632.4741406,"not"
"73",1022,"mz",646.4542924,"not"
"74",1023,"mz",646.4897012,"not"
"75",1036,"mz",660.4630143,"not"
"76",1040,"mz",667.4396623,"not"
"77",1049,"mz",674.4868877,"not"
"78",1064,"mz",690.4815508,"not"
"79",1081,"mz",706.5100624,"not"
"80",1092,"mz",720.5261803,"not"
"81",1100,"mz",725.4817414,"not"
"82",1105,"mz",734.5072799,"not"
"83",1106,"mz",734.5417949,"not"
"84",1112,"mz",748.524729,"not"
"85",1115,"mz",750.5355926,"not"
"86",1118,"mz",755.4902141,"not"
"87",1120,"mz",762.5410306,"not"
"88",1132,"mz",778.5674913,"not"
"89",1140,"mz",792.5499646,"not"
"90",1144,"mz",797.5047507,"not"
"91",1152,"mz",822.5944017,"not"
"92",1153,"mz",836.5773258,"not"
"93",1180,"mz",166.0864305,"not"
"94",1183,"mz",167.0895761,"not"
"95",1184,"mz",167.0888724,"not"
"96",1195,"mz",174.0551396,"not"
"97",1201,"mz",179.0657936,"not"
"98",1213,"mz",184.0969665,"not"
"99",1244,"mz",197.1036462,"not"
"100",1251,"mz",198.1853177,"not"
"101",1258,"mz",200.9726838,"not"
"102",1259,"mz",201.0732538,"not"
"103",1261,"mz",202.1802868,"not"
"104",1262,"mz",202.1802718,"not"
"105",1269,"mz",205.1224706,"important"
"106",1280,"mz",207.1381126,"not"
"107",1305,"mz",213.1120703,"not"
"108",1307,"mz",213.1119954,"important"
"109",1325,"mz",218.9819712,"not"
"110",1344,"mz",221.1902328,"not"
"111",1360,"mz",225.0873181,"not"
"112",1429,"mz",239.1028629,"not"
"113",1430,"mz",239.1277736,"not"
"114",1432,"mz",239.143816,"not"
"115",1436,"mz",239.1638295,"not"
"116",1453,"mz",242.1752143,"not"
"117",1455,"mz",243.0858686,"not"
"118",1470,"mz",245.1344807,"not"
"119",1491,"mz",249.1338849,"not"
"120",1492,"mz",249.1340451,"important"
"121",1494,"mz",249.1540163,"not"
"122",1522,"mz",253.1643025,"important"
"123",1542,"mz",258.1334891,"not"
"124",1550,"mz",259.0973853,"not"
"125",1551,"mz",259.114747,"not"
"126",1552,"mz",259.1152235,"not"
"127",1554,"mz",259.1502517,"not"
"128",1560,"mz",260.2217311,"not"
"129",1575,"mz",263.1638418,"not"
"130",1585,"mz",265.1286352,"not"
"131",1586,"mz",265.1288377,"not"
"132",1602,"mz",267.1443868,"not"
"133",1603,"mz",267.1452632,"not"
"134",1605,"mz",268.1536801,"not"
"135",1611,"mz",270.1334481,"not"
"136",1618,"mz",273.1294181,"important"
"137",1628,"mz",275.1398797,"not"
"138",1632,"mz",275.1632143,"not"
"139",1633,"mz",275.1632135,"not"
"140",1650,"mz",279.1338358,"not"
"141",1664,"mz",281.1600466,"not"
"142",1677,"mz",283.1374864,"not"
"143",1678,"mz",283.1536139,"not"
"144",1688,"mz",285.110276,"important"
"145",1698,"mz",287.145174,"not"
"146",1699,"mz",287.1460542,"not"
"147",1709,"mz",289.1584605,"not"
"148",1720,"mz",293.1949253,"not"
"149",1732,"mz",296.2427161,"not"
"150",1733,"mz",297.1032321,"not"
"151",1734,"mz",297.1036758,"not"
"152",1745,"mz",299.2000758,"not"
"153",1753,"mz",301.1603154,"not"
"154",1765,"mz",303.1579493,"not"
"155",1782,"mz",308.1167442,"not"
"156",1783,"mz",308.117517,"important"
"157",1793,"mz",311.164347,"not"
"158",1794,"mz",311.1845235,"not"
"159",1797,"mz",312.2001293,"not"
"160",1801,"mz",313.1790405,"important"
"161",1802,"mz",313.1790147,"not"
"162",1827,"mz",317.1547377,"important"
"163",1831,"mz",317.193189,"not"
"164",1857,"mz",326.2532098,"not"
"165",1862,"mz",327.2526766,"not"
"166",1882,"mz",331.1339137,"not"
"167",1900,"mz",334.1850857,"not"
"168",1925,"mz",341.1760586,"important"
"169",1928,"mz",341.3532256,"important"
"170",1951,"mz",345.1881321,"not"
"171",1952,"mz",345.1882571,"not"
"172",1960,"mz",347.1263787,"not"
"173",1967,"mz",348.2016573,"not"
"174",1992,"mz",356.2596878,"not"
"175",2014,"mz",361.1820477,"important"
"176",2023,"mz",363.1795667,"not"
"177",2036,"mz",367.2693763,"not"
"178",2067,"mz",383.2605548,"not"
"179",2070,"mz",384.2592059,"not"
"180",2071,"mz",384.2589608,"not"
"181",2072,"mz",384.2957229,"not"
"182",2076,"mz",386.2017479,"not"
"183",2089,"mz",389.2143301,"not"
"184",2105,"mz",398.2745719,"not"
"185",2116,"mz",403.2306693,"not"
"186",2120,"mz",404.2797485,"not"
"187",2141,"mz",412.2902917,"not"
"188",2168,"mz",428.2852594,"not"
"189",2177,"mz",431.2617139,"not"
"190",2178,"mz",433.2412219,"not"
"191",2185,"mz",442.2999738,"not"
"192",2186,"mz",442.3005586,"not"
"193",2191,"mz",447.2554332,"not"
"194",2200,"mz",458.2950985,"not"
"195",2209,"mz",472.3117084,"not"
"196",2213,"mz",474.2562023,"not"
"197",2221,"mz",486.3271848,"not"
"198",2231,"mz",500.3795193,"not"
"199",2235,"mz",504.2662388,"not"
"200",2239,"mz",505.3348303,"not"
"201",2261,"mz",530.3533357,"not"
"202",2264,"mz",532.3342313,"not"
"203",2266,"mz",532.3651752,"not"
"204",2287,"mz",558.421557,"not"
"205",2300,"mz",570.4577607,"not"
"206",2306,"mz",580.3543478,"important"
"207",2329,"mz",614.4842999,"not"
"208",2331,"mz",616.4635608,"not"
"209",2335,"mz",621.41842,"not"
"210",2347,"mz",674.5054562,"important"
"211",2350,"mz",679.4607883,"not"
"212",2392,"mz",197.117292,"not"
"213",2393,"mz",197.1172732,"not"
"214",2402,"mz",219.1014265,"not"
"215",2413,"mz",238.1075682,"not"
"216",2414,"mz",241.1435017,"not"
"217",2415,"mz",241.1433185,"not"
"218",2426,"mz",251.1269256,"not"
"219",2430,"mz",255.1588187,"not"
"220",2443,"mz",268.15373,"important"
"221",2445,"mz",271.1526293,"not"
"222",2453,"mz",285.1104007,"not"
"223",2463,"mz",301.1615222,"not"
"224",2468,"mz",306.2062535,"important"
"225",2474,"mz",311.2575221,"not"
"226",2480,"mz",321.1305876,"not"
"227",2481,"mz",321.1312318,"not"
"228",2482,"mz",321.1320103,"not"
"229",2513,"mz",361.1387352,"not"
"230",2520,"mz",372.1868051,"not"
"231",2531,"mz",398.274767,"not"
"232",2545,"mz",470.3326074,"not"
"233",2557,"mz",528.3718486,"not"
