sample_code,Alcohols and polyols,Aldehydes,Alkyl phosphates,"Alpha,beta-unsaturated carbonyl compounds","Alpha,beta-unsaturated ketones",Aminosaccharides,Androstane steroids,"Bile acids, alcohols and derivatives",Carbonyl compounds,Carboxylic acid derivatives,Carboxylic acid esters,Carboxylic acids and derivatives,Cholestane steroids,Cholesterols and derivatives,Cholines,Delta-5-steroids,Dialkyl phosphates,Dicarboxylic acids and derivatives,Disaccharides,Diterpene glycosides,Diterpenoids,Fatty acid esters,Fatty Acyls,Glycerophosphocholines,Glycerophospholipids,Lipids and lipid-like molecules,Long-chain fatty acids,Naphthalenes,O-glycosyl compounds,Organic cations,Organic oxides,Organic phosphoric acids and derivatives,Organic salts,Phosphate esters,Phosphatidylcholines,Phosphocholines,Quaternary ammonium salts,Secondary alcohols,Steroid esters,Tetraalkylammonium salts,Triterpenoids
Exp2_Pn-delicatissima_A_DOM_I,0.20400000000000001,0.049999999999999996,0.004,0.074,0.026000000000000002,0,0.008,0,0.9259999999999999,0.368,0.21000000000000002,0.576,0,0,0,0,0.002,0.172,0,0,0.018,0.006,0.21600000000000003,0,0,0.42800000000000005,0.01,0.006,0,0.03,0.97,0.004,0.044,0.002,0.008,0.002,0.002,0.078,0,0.002,0
Exp2_Pn-delicatissima_A_DOM_II,0.2425,0.025,0.005,0.027499999999999997,0.027500000000000004,0,0.0075,0,0.9299999999999999,0.445,0.26,0.6925,0,0,0,0,0.0025,0.215,0,0,0.0025,0.0075,0.265,0,0,0.35500000000000004,0.0125,0.005,0,0.034999999999999996,0.9824999999999999,0.005,0.055,0.0025,0.01,0.0025,0.0025,0.095,0,0.0025,0
Exp2_Pn-delicatissima_A_Unfil_I,0.5780000000000001,0.038545454545454556,0.435818181818182,0.07727272727272723,0.0589090909090909,0.066,0.05254545454545452,0.00890909090909091,0.8672727272727273,0.7096363636363634,0.6118181818181819,0.790181818181818,0.007454545454545455,0.005090909090909091,0.2123636363636364,0.011272727272727273,0.368909090909091,0.25799999999999995,0.044,0.008545454545454547,0.06218181818181817,0.45836363636363636,0.5667272727272729,0.22018181818181815,0.4114545454545455,0.8207272727272729,0.0405454545454545,0.012181818181818184,0.08054545454545455,0.09127272727272726,0.9129090909090906,0.4390909090909092,0.14036363636363627,0.43745454545454554,0.08799999999999997,0.2227272727272727,0.21872727272727271,0.5161818181818183,0.029090909090909087,0.21545454545454545,0.025636363636363634
Exp2_Pn-delicatissima_A_Unfil_II,0.5946753246753246,0.03493506493506493,0.3663636363636365,0.06506493506493502,0.0601298701298701,0.05766233766233766,0.05103896103896101,0.009350649350649352,0.8629870129870132,0.7196103896103897,0.6181818181818182,0.8120779220779217,0.008701298701298701,0.004805194805194805,0.15142857142857144,0.01246753246753247,0.303896103896104,0.28805194805194795,0.06181818181818179,0.011948051948051952,0.058051948051948035,0.44012987012987004,0.5679220779220778,0.15844155844155844,0.3425974025974026,0.813896103896104,0.03545454545454541,0.013636363636363643,0.12441558441558441,0.06519480519480517,0.9203896103896104,0.37857142857142867,0.10038961038961032,0.3763636363636365,0.06571428571428567,0.1601298701298701,0.15597402597402596,0.5348051948051948,0.03402597402597402,0.15350649350649348,0.05571428571428569
Exp2_Pn-delicatissima_B_DOM_I,0.20400000000000001,0.049999999999999996,0.004,0.074,0.026000000000000002,0,0.008,0,0.9259999999999999,0.368,0.21000000000000002,0.576,0,0,0,0,0.002,0.172,0,0,0.018,0.006,0.21600000000000003,0,0,0.42800000000000005,0.01,0.006,0,0.03,0.97,0.004,0.044,0.002,0.008,0.002,0.002,0.078,0,0.002,0
Exp2_Pn-delicatissima_B_DOM_II,0.20400000000000001,0.049999999999999996,0.004,0.074,0.026000000000000002,0,0.008,0,0.9259999999999999,0.368,0.21000000000000002,0.576,0,0,0,0,0.002,0.172,0,0,0.018,0.006,0.21600000000000003,0,0,0.42800000000000005,0.01,0.006,0,0.03,0.97,0.004,0.044,0.002,0.008,0.002,0.002,0.078,0,0.002,0
Exp2_Pn-delicatissima_B_Unfil_I,0.6126666666666665,0.03426666666666666,0.3726666666666668,0.07213333333333331,0.06359999999999998,0.06346666666666666,0.054399999999999976,0.009600000000000001,0.8576000000000001,0.7190666666666666,0.6256,0.7971999999999998,0.0096,0.0052,0.1686666666666667,0.014800000000000004,0.30866666666666676,0.2671999999999999,0.0768,0.01146666666666667,0.060933333333333325,0.44386666666666663,0.5586666666666666,0.17346666666666666,0.3421333333333334,0.8268000000000002,0.03466666666666662,0.011333333333333338,0.1428,0.0717333333333333,0.9115999999999996,0.3757333333333334,0.11066666666666658,0.3741333333333335,0.06986666666666663,0.17719999999999997,0.17346666666666666,0.5410666666666666,0.03493333333333334,0.1708,0.060133333333333316
Exp2_Pn-delicatissima_B_Unfil_II,0.6134328358208955,0.03492537313432835,0.43208955223880613,0.07134328358208952,0.05940298507462686,0.05626865671641791,0.04208955223880595,0.009402985074626868,0.857313432835821,0.7328358208955225,0.6402985074626868,0.8082089552238805,0.008656716417910448,0.004925373134328359,0.18880597014925377,0.010447761194029851,0.35507462686567176,0.2783582089552238,0.05119402985074627,0.008955223880597017,0.057910447761194,0.4844776119402984,0.5949253731343283,0.19417910447761194,0.3974626865671642,0.8159701492537315,0.038208955223880556,0.01104477611940299,0.10343283582089549,0.07895522388059699,0.9198507462686566,0.4353731343283583,0.12328358208955216,0.4343283582089553,0.07805970149253727,0.1977611940298507,0.19417910447761194,0.5411940298507462,0.030298507462686558,0.19104477611940296,0.03567164179104477
Exp2_Pn-galaxiae_A_DOM_I,0.20400000000000001,0.049999999999999996,0.004,0.074,0.026000000000000002,0,0.008,0,0.9259999999999999,0.368,0.21000000000000002,0.576,0,0,0,0,0.002,0.172,0,0,0.018,0.006,0.21600000000000003,0,0,0.42800000000000005,0.01,0.006,0,0.03,0.97,0.004,0.044,0.002,0.008,0.002,0.002,0.078,0,0.002,0
Exp2_Pn-galaxiae_A_DOM_II,0.20400000000000001,0.049999999999999996,0.004,0.074,0.026000000000000002,0,0.008,0,0.9259999999999999,0.368,0.21000000000000002,0.576,0,0,0,0,0.002,0.172,0,0,0.018,0.006,0.21600000000000003,0,0,0.42800000000000005,0.01,0.006,0,0.03,0.97,0.004,0.044,0.002,0.008,0.002,0.002,0.078,0,0.002,0
