sample_code,Acetamides,Alpha.amino.acid.amides,Aminoglycosides.x,Benzoic.acids,Benzoic.acids.and.derivatives,Beta.amino.acids.and.derivatives,Br.x,Branched.fatty.acids,Disaccharides.x,Gamma.amino.acids.and.derivatives,Glucuronides,Halogenated.fatty.acids,Hydroxamic.acids,Leucine.and.derivatives,Macrolactams,Macrolide.lactams,Methyl.branched.fatty.acids,N.acyl.amines,O.glucuronides,Organic.oxoanionic.compounds,Organobromides,Organohalogen.compounds,p.Hydroxybenzoic.acid.esters,Peptidomimetics,Phenylketones,Primary.carboxylic.acid.amides,Pyrrole.carboxylic.acids,Pyrrolidine.carboxylic.acids,Steroidal.glycosides.x,Tricarboxylic.acids.and.derivatives,Alkanesulfonic.acids,Alkyl.phosphates,Aminoglycosides.y,Aminosaccharides,Br.y,Cholestane.steroids,Cholines,Cl,Diacylglycerols,Dialkyl.phosphates,Disaccharides.y,Diterpene.glycosides,Fatty.acyl.glycosides,Glycerolipids,Glycerophosphocholines,Glycerophospholipids,Hexoses,Organic.phosphoric.acids.and.derivatives,Organochlorides,Phosphate.esters,Phosphocholines,Sphingolipids,Steroid.esters,Steroidal.glycosides.y,Thiophosphoric.acid.esters,Triacylglycerols,Triradylcglycerols,Triterpenoids
Exp2_Pn-delicatissima_A_DOM_I,1.325853200985143,1.453731516083861,0.8188340898063566,0.9521071469085313,1.2197321765355074,1.135191442878149,0.3010299956639812,1.319377852534485,0.4127798368864584,1.0896215585735456,1.1962235476074032,0.69574236246911,0.9172745995230572,1.0982583915675657,1.067546974624238,0.5056495726988564,1.181700185034138,1.581021071157173,1.1613044350046098,0.6598353232651006,0.4770598202320367,0.8970410519019715,0.5188586505182052,1.0696919952734114,1.098679904034617,1.437025539571444,0.5157977130654953,1.078762781461981,0.40486681687682585,1.4315731726789094,0.9719243503244385,2.4943511972422336,1.7308246506078055,1.5304560863426306,0.9030899869919435,1.1569124718861925,2.063696898379036,1,1.8373931134005381,2.370471188090331,1.435316343001996,1.7396137705797299,2.0709548461331115,2.2659686840669506,2.110898606105928,2.3680835365335633,1.9460889196648499,2.5067521756822977,1.0812386249703099,2.49864319092735,2.207104561693318,1.3860509792012736,1.6522544314688483,1.1228306092654552,0.7290399609771098,1.6995959458063474,1.6306174832856628,1.9022148768717102
Exp2_Pn-delicatissima_A_DOM_II,1.3299424294977713,1.4669861733024396,0.8297421662604331,0.9451710689058926,1.2137866010803968,1.1467728496580443,0.3010299956639812,1.319377852534485,0.43597142350365703,1.0957290353535183,1.187718666471262,0.69574236246911,0.9172745995230572,1.111457221411677,1.067546974624238,0.5056495726988564,1.181700185034138,1.5838190224915547,1.1510575041479816,0.7881645059363682,0.4770598202320367,0.8970410519019715,0.5054827528554833,1.076084170872902,1.0880067683708168,1.443601871527431,0.4965876131089549,1.0669477479532283,0.40486681687682585,1.4209311537540517,0.890252233522692,2.4949487853976953,1.7304069205984831,1.5388132117779758,0.8450980400142568,1.121160709060361,2.035095722963256,1,1.8371100757828889,2.366049269062129,1.4358547710247156,1.7249851046044467,2.070880212359782,2.265644364491534,2.0872898794920656,2.367509659027327,1.9455146307129902,2.5081324616585183,1.0848317668780938,2.499249650339465,2.1860111351072145,1.3956615155897294,1.6283672209601026,1.1007158490466125,0.7128425161348166,1.702168003434665,1.6375403835466045,1.8874686798785414
Exp2_Pn-delicatissima_A_Unfil_I,1.2931254866757929,1.4208429686361608,0.7822806082659318,0.9083407727838582,1.17706404485258,1.086946464477884,0,1.2783615838068836,0.4127798368864584,1.0438496761184761,1.1342284578452828,0.6545762899040078,0.8874543096894203,1.0670194352883147,1.0216855542894294,0.46287411325142797,1.1343803514027673,1.5488161964338143,1.1013917900770038,0.5359170719766737,0.25931122582217375,0.8679018124287338,0.4916817618333454,1.0388679308395752,1.045877685531588,1.4067094433364729,0.48842241611992826,1.0223459193927307,0.3691896419536599,1.3963069942676596,0.9514202102592197,2.529828523903743,1.8362064568135086,1.715275328267047,0.9030899869919435,1.263113712412282,2.10641940209481,1.0413926851582251,1.902595450403814,2.4135904659864185,1.689001054584393,1.7900599864307876,2.139279136120516,2.296630899123518,2.1653104824159657,2.427017383093387,2.024089898955643,2.547031175719352,1.1027366467511388,2.5386067881097283,2.2537394230926617,1.4732479911180751,1.7865276089779365,1.3525842681773765,0.9074390590229051,1.8037691484242302,1.6625664710711503,1.9849987305287577
Exp2_Pn-delicatissima_A_Unfil_II,1.294090092010583,1.429551913332698,0.7750388160362034,0.923301241750205,1.18900832329727,1.0877539893045758,0,1.289892437341218,0.4127798368864584,1.033689307534786,1.147464861784775,0.6545762899040078,0.8930551483900256,1.0778806539449393,1.0102727811867187,0.44762520196975736,1.1502167212780297,1.5509495618504257,1.1147764665577515,0.6199776536846721,0.23468169457377447,0.8679018124287338,0.4916817618333454,1.028064356497623,1.0465036480318464,1.412857890244054,0.5023257255325116,1.0478665118888637,0.3691896419536599,1.4053166099735097,0.9022461175654034,2.542761528907296,1.8380896205069202,1.7214828131784192,0.9542425094393249,1.2593177750534568,2.116550347315218,1,1.9039749119739264,2.4331758727882518,1.7117562199783718,1.7938119027011568,2.1482853924031824,2.2981622026184616,2.176236983441755,2.4403968361858634,2.0360665786976067,2.560328995814798,1.0812386249703099,2.5520735319532624,2.262088379581481,1.492973495729501,1.786153776646727,1.3657241747277715,0.9074390590229051,1.8147537227553072,1.6710197868542058,1.9894108941339825
Exp2_Pn-delicatissima_B_DOM_I,1.315520823731346,1.463372761840636,0.7894036226433984,0.9664881975593786,1.2272053870194115,1.1171145305064807,0.3010299956639812,1.3059503425730843,0.3882795940818577,1.0678663914228794,1.1987440824396376,0.69574236246911,0.9172745995230572,1.1021435063977478,1.067546974624238,0.4918539669325573,1.1656534209078762,1.5820906872440526,1.1711336531906473,0.617758231617794,0.46230936798879924,0.8970410519019715,0.5445614023564967,1.0612689448887924,1.1002236038835889,1.43960252701244,0.528864337195757,1.1045971645347261,0.379902881228009,1.4338656744865266,0.8377194599516076,2.4027643574547954,1.6929845081028085,1.4846795277342477,0.8450980400142568,1.1345019396197065,1.921785047120175,0.9542425094393249,1.8001430588322127,2.255063295903958,1.2708538740063717,1.701201502098341,2.0223294045345375,2.2257280027476747,1.9737483736374868,2.2557703363661714,1.9051989606761337,2.4150172755935952,1.0247463893844801,2.405605418077636,2.088619147332803,1.3568545186410514,1.609592374702829,1.049363086105019,0.6739320691020315,1.663805603306727,1.617817481128841,1.8785314923388057
Exp2_Pn-delicatissima_B_DOM_II,1.3248385663781048,1.452678271982446,0.7762059387278756,0.9549810403197724,1.2150008627561506,1.108433027972853,0,1.3215653044122346,0.4127798368864584,1.0640295007431173,1.1793376090715721,0.673528769532819,0.9185419351785605,1.101241413248821,1.0682981732337193,0.5056495726988564,1.1839662352003815,1.5762559773993476,1.1492774782429283,0.5605352823481927,0.2826186222442256,0.8679018124287338,0.5189931644744872,1.06706346012084,1.0829452686681362,1.4398374677000938,0.5102359938457166,1.0742534802979877,0.38739448523582237,1.4165467749010772,0.88017335335032,2.4258571004305964,1.7019086996672603,1.5008571916058429,0.7781512503836436,1.1308574834849234,1.9715446046294276,0.9542425094393249,1.807949611233969,2.292798038379053,1.278521475770792,1.6982063199634156,2.0255852868656246,2.233442167926738,2.018498608243657,2.2917476362868427,1.9041301241003346,2.4343009244435714,1.0247463893844801,2.427734116696113,2.1232368116698725,1.3759311548562998,1.6072129309876562,1.039257121984412,0.6739320691020315,1.6776896411405222,1.6300428470970032,1.8738544156021533
Exp2_Pn-delicatissima_B_Unfil_I,1.2883026857353386,1.4127870505192575,0.7657644593964023,0.9158854233992966,1.1651562316910313,1.0827958642395321,0,1.277633729237713,0.4127798368864584,1.0472292861388932,1.136858992713745,0.6273123101776473,0.8874543096894203,1.0556494133487913,1.0080174885501034,0.4776057183158635,1.142062668722652,1.5453855878763119,1.1008222775013354,0.6094142433541341,0.18824396289079595,0.8619647152366096,0.47742776867001524,1.033196108931156,1.0392726489198019,1.4015889360471685,0.48842241611992826,1.005956801618171,0.38739448523582237,1.3920474013445407,0.9975533939289609,2.531578095474295,1.856892078407485,1.7415932649132695,0.9542425094393249,1.2916927809577927,2.1093009330362236,1.0413926851582251,1.9104344749362914,2.4191528179452084,1.7137003513406996,1.7986561630869546,2.1632393365578104,2.3071225111444877,2.17154637548613,2.428406874970589,2.0471977405277877,2.5489398942183983,1.1027366467511388,2.5400924564960774,2.2573961462996786,1.4956012715555242,1.80451711583921,1.3514719943118576,0.9074390590229051,1.8293086952896342,1.6687964221267022,2.005883796471023
Exp2_Pn-delicatissima_B_Unfil_II,1.2786511720858456,1.4074210860468295,0.7361833701701949,0.9105731697915831,1.1589882609061448,1.0624229957651468,0,1.265830754475482,0.4127798368864584,1.0238506440238382,1.1264413778733853,0.6061791496466439,0.8817802955618922,1.0586833012255839,0.9845120252026809,0.41542056431730556,1.129185382782019,1.5357634810435403,1.0920658153795635,0.6094142433541341,0.14633572911214388,0.7486719203104593,0.47742776867001524,1.0139030987233695,1.0211828441363877,1.391589262098082,0.5023257255325116,1.0091273441304693,0.3691896419536599,1.3872617039968402,0.9777886933978381,2.5366545916719017,1.8415652180527924,1.735445364186743,0.9030899869919435,1.260182968170853,2.112188844991044,1,1.9108437917562722,2.4241165832920855,1.718976510065348,1.7896313125621117,2.157861323093266,2.2980521010048913,2.1713762042287836,2.431011173085682,2.0428782461173847,2.5545704386621555,1.0429533346030377,2.5453348729299945,2.255811772046353,1.507961689396616,1.795901329491012,1.3571548128205022,0.9074390590229051,1.816725482456959,1.6513961441059086,2.000490454155634
Exp2_Pn-galaxiae_A_DOM_I,1.238145439639296,1.365575631421913,0.7171920383649022,0.9569866418584452,1.2225514262306303,1.03267666150999,0.3010299956639812,1.2426721530822864,0.43597142350365703,0.942119179564366,1.1855571301064212,0.6550957474607471,0.6962157176915963,1.0255569026549638,1.0000131252428512,0.43182132728416955,1.1229222353300077,1.4896585715340176,1.1565919422403401,0.875663463385265,0.4623093679887992,0.8801756609376198,0.5445614023564967,0.9351774562515183,1.0958619713906408,1.3410693099462505,0.49658761310895483,1.0734467581028042,0.36137442592401176,1.4163100915036764,0.9069469327382986,2.480180145733231,1.7341377411081433,1.577802003627656,0.9030899869919435,1.1860731947317948,2.006763711871215,0.9542425094393249,1.8482822905164507,2.3480221846786518,1.4882182388733876,1.7379463690924575,2.073150628806302,2.2681671922578284,2.063154606438986,2.3470999499274874,1.94793303245819,2.494528641925421,1.020617557544483,2.4859054984196676,2.1682433971304715,1.3575613414502021,1.6725385595117075,1.1853756572605145,0.7190168063250248,1.709531747294739,1.6373758342654177,1.9127982719637182
Exp2_Pn-galaxiae_A_DOM_II,1.231588904965533,1.3499045715927331,0.7137023994291507,0.9452214766175591,1.2246195706294931,1.0167021963580993,0.3010299956639812,1.2276763987418466,0.43597142350365703,0.9307822980987353,1.1855571301064212,0.645362163961708,0.6760418653351445,0.9949076072420617,0.99380666322155,0.43182132728416955,1.1060384214317538,1.4642000454742126,1.153547975123628,0.8698322398472589,0.4623093679887992,0.8801756609376198,0.5445614023564967,0.9266439000683807,1.0967560772136473,1.3236367116351322,0.528864337195757,1.082084535219235,0.29960239870005934,1.4225244575705602,0.9069469327382986,2.465431694650976,1.7293280147830457,1.5656543803464016,0.9542425094393249,1.165480540536431,1.9946502372364812,0.9542425094393249,1.8272279680212993,2.334148194232879,1.4861111341810376,1.7300284368376457,2.0707892077860595,2.2561183976321693,2.0476796527820036,2.3262690960802463,1.9377458345450387,2.478269448026035,1.020617557544483,2.4713812562335598,2.1567255990180527,1.359920983643941,1.6635225677545145,1.1573189869196734,0.7128425161348166,1.6968552789272462,1.6286938569957352,1.913036524454352
