sample_code,Acetamides,Alpha.amino.acid.amides,Alpha.amino.acids.and.derivatives,Amino.acids..peptides..and.analogues,Amino.acids.and.derivatives,Aminoimidazoles,Azacyclic.compounds,Beta.amino.acids.and.derivatives,Carboximidamides,Carboximidic.acids,Carboximidic.acids.and.derivatives,Dialkylamines,Dialkylarylamines,Diazines,Fatty.amides,Guanidines,Heteroaromatic.compounds,Hydroxamic.acids,Imidazoles,Imidolactams,Imines,Indolines,Isoleucine.and.derivatives,N.acyl.amines,N.arylamides,N.carbamoyl.alpha.amino.acids.and.derivatives,N.substituted.imidazoles,Oligopeptides,Organic.1.3.dipolar.compounds,Peptidomimetics,Phenol.ethers,Propargyl.type.1.3.dipolar.organic.compounds,Pyrroles,Pyrrolines,Substituted.imidazoles,Tertiary.alkylarylamines,Tertiary.amines,Tertiary.carboxylic.acid.amides,Valine.and.derivatives
Exp2_Pn-delicatissima_A_DOM_I,0.1768976994976338,0.29843689118407785,0.5221075533308558,0.7210269409238268,0.7259030285734246,0.20299777368848096,0.7579650469624516,0.12077631093126469,0.20217941821068713,0.30637936332370197,0.3201341647377209,0.3190526644725471,0.106456896303494,0.3904199658421373,0.35025298929796134,0.1613429564344707,0.6481990417887837,0.05960362467733231,0.421543262651848,0.3212125339295542,0.2515117266577431,0.1508399285889032,0.12211753313194415,0.32496262644655105,0.21022760900935664,0.059603624677332316,0.36014619219297184,0.07190406446177364,0.4485551383661145,0.1166619876797641,0.3041286040947702,0.4624368309109812,0.22991378716136748,0.13721348313119375,0.38303194849435096,0.12344447158741596,0.24128367552302366,0.24336084960634866,0.17782643908405282
Exp2_Pn-delicatissima_A_DOM_II,0.1832721250813639,0.34316932276986944,0.5595854490517908,0.7818267044560319,0.7861124493546886,0.2137561324724348,0.8104085918003334,0.1444261554963572,0.21202676823336367,0.3276565652743962,0.3420406158976646,0.33231677213337735,0.11203764265090962,0.41297615362907275,0.3855511690808014,0.1709149235593373,0.682531174369158,0.0946322980143836,0.449659763488902,0.3397737699867633,0.2621103384168626,0.1576324330002829,0.13267647479882505,0.37361703805387214,0.22138139717592858,0.06271942914892506,0.3809169144762438,0.07799843543419524,0.4751564327019896,0.13801891989574055,0.31332210582037023,0.49336029844341395,0.24291711717159292,0.14567469376230377,0.4076058725762147,0.12711518869376018,0.25268025514207865,0.25488461316789873,0.20586660567178516
Exp2_Pn-delicatissima_A_Unfil_I,0.17561917030027926,0.26569330553409476,0.6108199461345896,0.7601242440464769,0.7696060642456244,0.26045323018747185,0.9011666147487009,0.09748719502546907,0.2314773639701784,0.35130521757854594,0.35937332443443343,0.37508062334493425,0.11724798219927937,0.5070283258890517,0.32350085918470595,0.1786534972866044,0.7796085603376914,0.022943586282549198,0.5193340633593206,0.4057432265934246,0.28285286948627075,0.09748719502546907,0.13808787135156367,0.2738886323126063,0.21056011872274158,0.0562247671977374,0.4503556493983085,0.06073503030936141,0.5434322215803005,0.1280831948899351,0.32697738152379563,0.5663532115384708,0.20135792079033082,0.154510807303071,0.474092860038303,0.13614436810242497,0.2373020806428167,0.1874744792636944,0.17097098972561967
Exp2_Pn-delicatissima_A_Unfil_II,0.17933625936771608,0.2255134058981312,0.5616402805091614,0.7302866384035749,0.737141462886808,0.24166256590779256,0.8708129979620005,0.10016742116155979,0.22024193903253073,0.32250736675674957,0.3351491719358285,0.3530416492697931,0.1189856949477195,0.5167482362558582,0.2808380159963594,0.17139855035163792,0.7885800030547393,0.030155704681365976,0.5303955444719969,0.43220377738123816,0.295844321213272,0.10680329224901837,0.12646810088400684,0.2632755648755957,0.19186756148569106,0.052247063829097495,0.4709937631715137,0.05643756351840665,0.4860074251323199,0.12089884292800995,0.31794331211968796,0.5039509048880314,0.19064977991231777,0.1466885439992994,0.4893017347112695,0.13180706636749268,0.2512682924001607,0.19307804087187896,0.1587802146457607
Exp2_Pn-delicatissima_B_DOM_I,0.20945923450973922,0.32903304147892465,0.5167793591347802,0.733244820909767,0.7341319137402225,0.19371597350669686,0.7438798796856476,0.16794452067099125,0.22618722081318285,0.31830330994112926,0.3299936646937492,0.3323848900790372,0.10450865451874371,0.38094734946069037,0.38518930182396294,0.20210706008800514,0.6250148814891074,0.12156702187092941,0.42027120652371197,0.31432379922869064,0.258392901628631,0.14398298296535164,0.12636121071792236,0.36973670513743256,0.20285358463739828,0.08585472672555397,0.34643829921443975,0.08585472672555397,0.4562533932382038,0.15302783311398224,0.2862140304258325,0.4713243010005561,0.22618722081318285,0.13545193574572378,0.3783839939513212,0.11909906739683175,0.24056711533761652,0.23865348054608582,0.1960381951554929
Exp2_Pn-delicatissima_B_DOM_II,0.1778264390840528,0.31578904915865474,0.5711608142812814,0.7624869206426196,0.7566726866431964,0.20299777368848096,0.7734615457166528,0.12861816159271702,0.19466801413357226,0.33183081342000675,0.34318750221744626,0.3228242868379015,0.10177571445318692,0.43688823941144217,0.35818560049138076,0.15617687097849725,0.6691935819365394,0.06725283584044395,0.4591972119394944,0.3674219046198017,0.2600777186534777,0.1166619876797641,0.12861816159271705,0.3102839228921272,0.1833042680768338,0.04753699805846368,0.3999529610988705,0.09170959614620595,0.4636476090008061,0.14074039287146117,0.2990103335221547,0.4803763453422561,0.21414481952493278,0.1383988480699607,0.42111108768730154,0.11804906206697283,0.22625232955594032,0.2313632884167428,0.1613429564344707
Exp2_Pn-delicatissima_B_Unfil_I,0.18878230402733723,0.2437803172454008,0.5575988266995365,0.7326919117775753,0.7405554637158717,0.236248357441902,0.8350449201485041,0.11822880719914552,0.22047357828701547,0.3373698661966778,0.3510572649296325,0.3408348503964718,0.11822880719914554,0.4592854563865555,0.32963892923978405,0.16759500054291193,0.7479719196208032,0.03612361178894319,0.4786974130616258,0.3733656391188981,0.2867565522115484,0.11445779521136369,0.13391425916506947,0.27781791949658996,0.20246441800874904,0.05109762464690857,0.4109235360613987,0.05519575046208453,0.5084017968061507,0.12007071295877898,0.321750554396642,0.5305993221699998,0.19459410093302137,0.14946495736985224,0.43644907940134203,0.13554747542609505,0.25290468488729356,0.1968731656748483,0.15947495575642517
Exp2_Pn-delicatissima_B_Unfil_II,0.17771060084511175,0.21575727785531126,0.5350708071951542,0.6974452793155902,0.703786261639241,0.23118256200971368,0.7853981633974484,0.09588959105300496,0.20867454544196695,0.31966139554663947,0.33337693544265834,0.33270261741822377,0.11203764265090964,0.4430098572746989,0.2943469199332248,0.1587802146457607,0.710535434897665,0.0353627089012539,0.4610383242271592,0.36136712390670783,0.2710116581766573,0.10626590455271714,0.1433776361654604,0.2890521822831718,0.1847611263463593,0.050020856805770016,0.4000279091483777,0.054032460004250014,0.4703846063460258,0.11753079218475225,0.3118982756215468,0.4882052633969171,0.18009009337888351,0.14040128631988713,0.42109307316520295,0.12448513619272555,0.23763777673515366,0.18705486668181986,0.1574403498701171
Exp2_Pn-galaxiae_A_DOM_I,0.1398218439669199,0.29824920965559676,0.5045088499229131,0.6995930059944853,0.6992026303391548,0.19589011832940334,0.8401227412836143,0.1274424798113853,0.2941159542850094,0.3346704646932521,0.35017599275732036,0.33714226532255376,0.18766784510407206,0.3722811240530825,0.3321831217494424,0.26090031410167264,0.6392891539087069,0.07344595244368056,0.4133497024420689,0.26776332715719386,0.32271086385660785,0.16601188915039652,0.1398218439669199,0.31853158834663853,0.17238406325087974,0.06939320398671887,0.30803654688532206,0.08445309458924957,0.5155671068102636,0.20331169723898584,0.2707630335238655,0.5173585130815462,0.2700159230600965,0.17632383881575175,0.3633976477373892,0.2303188262358458,0.3287369845685622,0.326211262674308,0.13194118565984506
Exp2_Pn-galaxiae_A_DOM_II,0.13571249097422788,0.2593397266214949,0.48533558658787457,0.6629927062487044,0.6624685358885327,0.15796397632507336,0.8084571839232971,0.12588183461614766,0.28831468134163424,0.32847021350538413,0.34504679297885266,0.30910668306165157,0.17703967323507422,0.39983098839917475,0.2981157298607951,0.24959970730366143,0.5934282973590277,0.06769984510435793,0.3991214485232881,0.2966031573835123,0.3093990013994576,0.15741754531062002,0.12519964343876236,0.29079228275108465,0.1638585103690766,0.06769984510435793,0.3143322763556686,0.07927382748223963,0.49917207440309636,0.19116668953899094,0.25728089281653127,0.5029938128811746,0.2569362951762797,0.1700641604441002,0.35608229121634555,0.21680178608353223,0.3088141242330651,0.30998291936662464,0.12313087274575092
