sample_code_16S,1503;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,1626;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella,2321;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maribacter,2568;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae,2666;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,2713;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudophaeobacter,2747;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae;Oleiphilus,3023;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,3263;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae;Marinomonas,3349;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,3399;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,3485;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;OM43 clade,376;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,4056;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter,45;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter,4531;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,4616;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Litorimonas;uncultured marine bacterium,493;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,4940;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae;Pseudohongiella,592;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,5936;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Neptuniibacter,6323;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae;Marinomonas,6355;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,6889;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;uncultured Thalassobacter sp.,7037;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Polaribacter 4,7259;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Umboniibacter;uncultured bacterium,7920;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella,8714;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,9037;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hyphomonas
Exp2_Pn-delicatissima_A_I,0,0.3445996733636865,0.03301316173824693,0,0,0,0.09708905926830902,0,0,0.6155278562085598,0.325971257321637,0,0,0,0.050889420299411126,0,0.07836354476043964,0.4669419582452177,0.04813438349218912,0.19510872601784007,0,0.31434593539321837,0,0,0.26588660143305337,0,0,0.10522221474974626,0.03301316173824693
Exp2_Pn-delicatissima_B_I,0,0.3997976521434,0.03969197908238804,0,0,0,0.07430575593951326,0,0,0.5954498711011548,0.3247193622367535,0,0,0,0.08015438004740326,0,0.10409861911824755,0.43102474034881005,0.03969197908238804,0.20260550737685026,0,0.3093405963817885,0,0,0.29990626170190177,0,0,0.1018991231002499,0.018370025049924275
Exp2_Pn-galaxiae_A_I,0,0,0,0,0,0,0,0,0,0,0.7087366272487475,0,0.27090307220952303,0.05699132343502324,0,0,0,0,0,0,0,0.1744562256393824,0.09999258270091346,0.7467734327108505,0,0,0,0,0
Exp2_Pn-galaxiae_B_I,0,0,0,0,0,0,0,0,0,0,0.7439475087517915,0,0.30945293214562686,0.057584015409058636,0,0,0,0,0,0,0,0.23229222673636504,0.11924611286596984,0.6623595071451218,0,0,0,0,0
Exp2_Pn-hasleana_A_I,0,0,0,0.23600696331756196,0,0,0,0,0.11129425436122453,0,0,0,0,0,0,0.13410202210117117,0,0.45652696620761474,0,0.18739093146893915,0,0.0812424365096987,0,0.7128038513917107,0,0.04090872494644279,0.4738668828346482,0,0
Exp2_Pn-hasleana_B_I,0,0,0,0.33796686057942665,0,0,0,0,0.13794859972179657,0,0,0,0,0,0,0.16855950976317544,0,0.5289142937175456,0,0.1945618490081199,0,0,0,0.5886254265421542,0,0.0555107192888249,0.5115813210077474,0,0
Exp2_Pn-multiseries_A_I,0.24342083287902486,0.0934007046887754,0,0,0,0.21757911037432562,0.23395463389295937,0,0,0,0,0.11029420404985975,0,0,0.32898149615671485,0,0,0,0.23326490994766758,0,0.8695160569731534,0,0,0,0.19265055506978096,0,0,0.19835637683314755,0.06109424978451468
Exp2_Pn-multiseries_B_I,0.1815633387168383,0.10291467212489357,0,0,0,0.22013542909952377,0.18679726862504958,0,0,0,0,0.14710801841071558,0,0,0.3993067063156249,0,0,0,0.25399101681128805,0,0.8333419342985029,0,0,0,0.17342999968050832,0,0,0.18987154991924118,0.06443595810096749
Exp2_Pn-subpacifica_A_I,0,0,0,0,0.3650041311966699,0,0.09933503002720008,0.1305099900343575,0,0.12916385696748534,0.9912422997284356,0.18186022204752808,0,0,0.18326821099475882,0,0,0.07184746084296141,0.10169545655018648,0,0.11690941903961231,0.15709862757244603,0,0,0.06469110546470254,0,0,0.04485919223772221,0.04520853338284183
Exp2_Pn-subpacifica_B_I,0,0,0,0,0.32959836775084045,0.01895233173994956,0.07385007267397425,0.1424993414880374,0,0.14965312958571153,1.0163353718649837,0.19383986699909256,0,0,0.2171666165422273,0,0,0.05964806143991194,0.10223331151047502,0,0.07833875292737806,0.0895386393701281,0,0,0.05980667841461404,0,0,0.05536550382318238,0.04744563700908119
