sample_code,val
Exp2_Pn-delicatissima_A_DOM_I,30
Exp2_Pn-delicatissima_A_DOM_II,27
Exp2_Pn-delicatissima_A_Unfil_I,20
Exp2_Pn-delicatissima_A_Unfil_II,20
Exp2_Pn-delicatissima_B_DOM_I,33
Exp2_Pn-delicatissima_B_DOM_II,29
Exp2_Pn-delicatissima_B_Unfil_I,22
Exp2_Pn-delicatissima_B_Unfil_II,23
Exp2_Pn-galaxiae_A_DOM_I,55
Exp2_Pn-galaxiae_A_DOM_II,62
Exp2_Pn-galaxiae_A_Unfil_I,38
Exp2_Pn-galaxiae_A_Unfil_II,54
Exp2_Pn-galaxiae_B_DOM_I,55
Exp2_Pn-galaxiae_B_DOM_II,59
Exp2_Pn-galaxiae_B_Unfil_I,28
Exp2_Pn-galaxiae_B_Unfil_II,33
Exp2_Pn-hasleana_A_DOM_I,46
Exp2_Pn-hasleana_A_DOM_II,46
Exp2_Pn-hasleana_A_Unfil_I,29
Exp2_Pn-hasleana_A_Unfil_II,19
Exp2_Pn-hasleana_B_DOM_I,45
Exp2_Pn-hasleana_B_DOM_II,47
Exp2_Pn-hasleana_B_Unfil_I,25
Exp2_Pn-hasleana_B_Unfil_II,18
Exp2_Pn-multiseries_A_DOM_I,150
Exp2_Pn-multiseries_A_DOM_II,147
Exp2_Pn-multiseries_A_Unfil_I,118
Exp2_Pn-multiseries_A_Unfil_II,112
Exp2_Pn-multiseries_B_DOM_I,152
Exp2_Pn-multiseries_B_DOM_II,165
Exp2_Pn-multiseries_B_Unfil_I,123
Exp2_Pn-multiseries_B_Unfil_II,76
Exp2_Pn-subpacifica_A_DOM_I,145
Exp2_Pn-subpacifica_A_DOM_II,134
Exp2_Pn-subpacifica_A_Unfil_I,131
Exp2_Pn-subpacifica_A_Unfil_II,141
Exp2_Pn-subpacifica_B_DOM_I,122
Exp2_Pn-subpacifica_B_DOM_II,114
Exp2_Pn-subpacifica_B_Unfil_I,113
Exp2_Pn-subpacifica_B_Unfil_II,131
