Feature ID,Taxon,Confidence
24a26143ba9613c73c2c51d49b5d48f7,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Cryomorphaceae;D_5__uncultured;D_6__uncultured bacterium,0.880054635
0a3a0f447ec834c0457e23ddd5105ecd,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae;D_5__Candidatus Nitrosopumilus,0.999290649
3c1e4e5bca3bcb765c5ff1bb724d94d4,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Nitrosococcales;D_4__Nitrosococcaceae;D_5__Cm1-21,0.930578444
afede5e04b410d29779cd4365baf2c50,D_0__Bacteria;D_1__Planctomycetes;D_2__OM190,0.999997257
d872e4284e4d0d238139976c21dfbd15,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Oligoflexales;D_4__0319-6G20,0.981863613
8eeeb50e499916decfb8bf0ed4778915,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae;D_5__uncultured marine archaeon;D_6__uncultured marine archaeon,0.710889923
abbbe4740b1ef7f74e9d3d25d9a82e02,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Pseudohongiellaceae;D_5__Pseudohongiella,0.999983624
dc1047d8491012d3cfeb729101fcdb56,D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Phycisphaerales;D_4__Phycisphaeraceae;D_5__FS140-16B-02 marine group;D_6__uncultured organism,0.977954164
718873b4126b03995c050be48c365f48,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Ascidiaceihabitans,0.73732485
703468ee026c3bec8e703a689048f7e9,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Arctic97B-4 marine group,0.999999997
07cbb4b08197efe6360e984894445b12,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__SAR324 clade(Marine group B),0.999999971
9cac1a3a4e9aa66aa2acb39264982b6c,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Midichloriaceae;D_5__MD3-55,0.965899867
0cf5aa3cf0a6eb27d527627cdbab762a,D_0__Bacteria;D_1__Planctomycetes;D_2__SGST604;D_3__uncultured planctomycete;D_4__uncultured planctomycete;D_5__uncultured planctomycete;D_6__uncultured planctomycete,1
b8cce7191782bbc247e8fc7755478df7,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II,0.945304092
14c6704c457d08374ee4b5df92c5cf7e,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,0.826242995
4e9b88c27d4515234bd681ed606bc87d,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS7 marine group,0.999984167
848a177f38fad8a87302da79c132bc84,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__DTB120;D_4__uncultured delta proteobacterium;D_5__uncultured delta proteobacterium;D_6__uncultured delta proteobacterium,0.976694398
67fe34ad0cc560a3fb61d5ba4c65a837,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae,0.999998976
a56472b6299d252d0b1856c2afe3e22b,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfobacterales;D_4__Desulfobulbaceae;D_5__uncultured;D_6__uncultured gamma proteobacterium,0.980890024
bab89f498b71ab90157bcc97c059a484,D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia;D_3__SAR202 clade;D_4__uncultured deep-sea bacterium;D_5__uncultured deep-sea bacterium;D_6__uncultured deep-sea bacterium,0.881353664
a3af388384cbbb642fa460b4a9b3c809,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__UBA10353 marine group,0.908538125
08f169a3bfa63fef877667ed794ebc25,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__SAR324 clade(Marine group B),0.999999928
2a9fa3d3b247ead3e615b3e1ac9b7047,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__SAR324 clade(Marine group B);D_4__bacterium associated with Parathyasira sp.;D_5__bacterium associated with Parathyasira sp.;D_6__bacterium associated with Parathyasira sp.,0.9149758
