#Scan#,Adduct,CAS_Number,Charge,Compound_Name,Compound_Source,Data_Collector,ExactMass,FileScanUniqueID,INCHI,INCHI_AUX,Instrument,IonMode,Ion_Source,LibMZ,LibraryName,LibraryQualityString,Library_Class,MQScore,MZErrorPPM,MassDiff,NumberHits,Organism,PI,Precursor_MZ,Pubmed_ID,RT_Query,SharedPeaks,Smiles,SpecCharge,SpecMZ,SpectrumFile,SpectrumID,TIC_Query,UpdateWorkflowName,tags,internalFilename,Important_DOM,Important_Org
75,M+H,1139306,1,(-)-Caryophyllene oxide,Isolated,NIST,0,spectra/specs_ms.mgf75,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3/t11-,12-,13-,15-/m1/s1",N/A,HCD,Positive,ESI,221.19,lib-00052.mgf,Bronze,3,0.937832,126729,28.0312,1,NIST17,NIST,221.19,N/A,0,7,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,1,193.159,specs_ms.mgf,CCMSLIB00003421940,251506,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
1322,M+H,1139306,1,(-)-Caryophyllene oxide,Isolated,NIST,0,spectra/specs_ms.mgf1322,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3/t11-,12-,13-,15-/m1/s1",N/A,HCD,Positive,ESI,221.19,lib-00052.mgf,Bronze,3,0.915375,18224.6,4.0311,1,NIST17,NIST,221.19,N/A,0,9,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,1,217.159,specs_ms.mgf,CCMSLIB00003421942,234839,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
1333,M+H,1139306,1,(-)-Caryophyllene oxide,Isolated,NIST,0,spectra/specs_ms.mgf1333,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3/t11-,12-,13-,15-/m1/s1",N/A,HCD,Positive,ESI,221.19,lib-00052.mgf,Bronze,3,0.843134,9111.61,2.0154,1,NIST17,NIST,221.19,N/A,0,8,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,1,219.175,specs_ms.mgf,CCMSLIB00003421942,605812,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
7253,M+H,1139306,1,(-)-Caryophyllene oxide,Isolated,NIST,0,spectra/specs_ms.mgf7253,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3/t11-,12-,13-,15-/m1/s1",N/A,HCD,Positive,ESI,221.19,lib-00052.mgf,Bronze,3,0.884787,18224.2,4.03101,1,NIST17,NIST,221.19,N/A,0,8,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,1,217.159,specs_ms.mgf,CCMSLIB00003421942,1160000,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,7253,
9373,M+H,1139306,1,(-)-Caryophyllene oxide,Isolated,NIST,0,spectra/specs_ms.mgf9373,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3/t11-,12-,13-,15-/m1/s1",N/A,HCD,Positive,ESI,221.19,lib-00052.mgf,Bronze,3,0.847108,0.896805,0.000198364,1,NIST17,NIST,221.19,N/A,0,7,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,1,221.19,specs_ms.mgf,CCMSLIB00003421941,337905,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
1340,M+H-C6H6O3,18829704,1,(-)-Catechin,Isolated,NIST,0,spectra/specs_ms.mgf1340,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m1/s1",N/A,HCD,Positive,ESI,165.055,lib-00052.mgf,Bronze,3,0.815254,339749,56.0772,1,NIST17,NIST,165.055,N/A,0,4,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,1,221.132,specs_ms.mgf,CCMSLIB00003421723,748708,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
3738,M+H-H2O,1139179,1,(-)-Isolongifolol,Isolated,NIST,0,spectra/specs_ms.mgf3738,N/A,N/A,Q-TOF,Positive,ESI,205.195,lib-00048.mgf,Bronze,3,0.825321,156077,32.0263,1,NIST14,NIST,205.195,N/A,0,7,N/A,1,237.221,specs_ms.mgf,CCMSLIB00000351880,102454,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
1645,M-H-H2O,131486,1,(-)-N-Acetylneuraminic acid,Isolated,NIST,0,spectra/specs_ms.mgf1645,"InChI=1S/C11H19NO9/c1-4(14)12-8(5(15)2-6(16)11(20)21)10(19)9(18)7(17)3-13/h5,7-10,13,15,17-19H,2-3H2,1H3,(H,12,14)(H,20,21)/t5-,7+,8+,9+,10+/m0/s1",N/A,IT-FT/ion trap with FTMS,Negative,ESI,290.088,lib-00052.mgf,Bronze,3,0.922137,41249.5,11.966,1,NIST17,NIST,290.088,N/A,0,5,CC(=O)NC(C(CC(=O)C(=O)O)O)C(C(C(CO)O)O)O,1,278.122,specs_ms.mgf,CCMSLIB00003644759,351939,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
1509,M+H,72877-50-0,0,(-)-Neplanocin A,Isolated,N/A,0,spectra/specs_ms.mgf1509,"InChI=1S/C11H13N5O3/c12-10-7-11(14-3-13-10)16(4-15-7)6-1-5(2-17)8(18)9(6)19/h1,3-4,6,8-9,17-19H,2H2,(H2,12,13,14)/t6-,8-,9+/m1/s1",N/A,LC-ESI-QTOF,Positive-10eV,LC-ESI,264.109,lib-00037.mgf,Bronze,3,0.831231,45382.7,11.986,1,METLIN,Metlin,264.109,N/A,0,4,N/A,1,252.123,specs_ms.mgf,CCMSLIB00000509280,329243,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
3554,M+H,83885,1,(-)-Riboflavin,Isolated,NIST,0,spectra/specs_ms.mgf3554,"InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/t11-,12+,14-/m0/s1",N/A,HCD,Positive,ESI,377.146,lib-00052.mgf,Bronze,3,0.871671,137894,52.0062,1,NIST17,NIST,377.146,N/A,0,5,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,1,325.139,specs_ms.mgf,CCMSLIB00003445517,545422,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
2163,M+H,34675495,1,(.+/-.)-11-Hydroxy-.DELTA.9-tetrahydrocannabinol,Isolated,NIST,0,spectra/specs_ms.mgf2163,"InChI=1S/C21H30O3/c1-4-5-6-7-14-11-18(23)20-16-10-15(13-22)8-9-17(16)21(2,3)24-19(20)12-14/h10-12,16-17,22-23H,4-9,13H2,1-3H3/t16-,17-/m1/s1",N/A,HCD,Positive,ESI,331.227,lib-00052.mgf,Bronze,3,0.835851,286866,95.0177,1,NIST17,NIST,331.227,N/A,0,4,CCCCCC1=CC2=C(C3C=C(CCC3C(O2)(C)C)CO)C(=C1)O,1,426.245,specs_ms.mgf,CCMSLIB00003489086,688584,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
3839,M+H,34675495,1,(.+/-.)-11-Hydroxy-.DELTA.9-tetrahydrocannabinol,Isolated,NIST,0,spectra/specs_ms.mgf3839,"InChI=1S/C21H30O3/c1-4-5-6-7-14-11-18(23)20-16-10-15(13-22)8-9-17(16)21(2,3)24-19(20)12-14/h10-12,16-17,22-23H,4-9,13H2,1-3H3/t16-,17-/m1/s1",N/A,HCD,Positive,ESI,331.227,lib-00052.mgf,Bronze,3,0.92159,169324,56.0847,1,NIST17,NIST,331.227,N/A,0,4,CCCCCC1=CC2=C(C3C=C(CCC3C(O2)(C)C)CO)C(=C1)O,1,275.142,specs_ms.mgf,CCMSLIB00003489086,153541,UPDATE-SINGLE-ANNOTATED-BRONZE,,specs_ms.mgf,,
