FeatureID,mz,RT,DBE,C,H,O,N,S,P,Cl,Br,B,Se,I,H/C,O/C,N/C,AI-mod,DBE,DBE/C,C_log10,H_log10,H/C_log2
9,157.0836858,1.912408037,3.5,6,10,2,3,0,0,0,0,0,0,0,1.666666667,0.333333333,0.5,0.5,3.5,0.583333333,0.77815125,1,0.736965594
12,161.0822338,0.44843438,7,8,8,0,4,0,0,0,0,0,0,0,1,0,0.5,1.25,7,0.875,0.903089987,0.903089987,0
53,181.1223708,7.832916163,4,11,16,2,0,0,0,0,0,0,0,0,1.454545455,0.181818182,0,0.3,4,0.363636364,1.041392685,1.204119983,0.540568382
58,184.9856684,0.537179033,3.5,4,5,4,1,0,1,0,0,0,0,0,1.25,1,0.25,0,3.5,0.875,0.602059991,0.698970004,0.321928095
66,186.9810491,0.521291752,2.5,3,6,2,3,1,0,0,0,0,0,0,2,0.666666667,1,0,2.5,0.833333333,0.477121255,0.77815125,1
86,198.1203214,4.532365517,-0.5,6,17,5,2,0,0,0,0,0,0,0,2.833333333,0.833333333,0.333333333,0,-0.5,-0.083333333,0.77815125,1.230448921,1.50250034
135,218.1391712,2.654673384,2,10,19,4,1,0,0,0,0,0,0,0,1.9,0.4,0.1,0,2,0.2,1,1.278753601,0.925999419
147,224.1291273,5.539411438,2,10,19,3,1,0,0,0,0,0,0,0,1.9,0.3,0.1,0,2,0.2,1,1.278753601,0.925999419
175,231.171264,2.294692319,2,11,22,3,2,0,0,0,0,0,0,0,2,0.272727273,0.181818182,0,2,0.181818182,1.041392685,1.342422681,1
186,237.1494014,4.761145328,5,14,20,3,0,0,0,0,0,0,0,0,1.428571429,0.214285714,0,0.28,5,0.357142857,1.146128036,1.301029996,0.514573173
188,239.1272422,4.170446241,5,13,18,4,0,0,0,0,0,0,0,0,1.384615385,0.307692308,0,0.272727273,5,0.384615385,1.113943352,1.255272505,0.469485284
189,239.1274809,4.206434557,5,13,18,4,0,0,0,0,0,0,0,0,1.384615385,0.307692308,0,0.272727273,5,0.384615385,1.113943352,1.255272505,0.469485284
194,240.1581366,5.760829923,4,13,21,3,1,0,0,0,0,0,0,0,1.615384615,0.230769231,0.076923077,0.19047619,4,0.307692308,1.113943352,1.322219295,0.691877704
209,244.2021391,1.124262644,2,12,25,2,3,0,0,0,0,0,0,0,2.083333333,0.166666667,0.25,0,2,0.166666667,1.079181246,1.397940009,1.058893689
231,251.1849639,4.558321813,0,12,26,5,0,0,0,0,0,0,0,0,2.166666667,0.416666667,0,0,0,0,1.079181246,1.414973348,1.115477218
235,254.1870162,6.85075288,8,18,23,0,1,0,0,0,0,0,0,0,1.277777778,0,0.055555556,0.441176471,8,0.444444444,1.255272505,1.361727836,0.353636955
252,258.1108372,7.282770804,9,15,15,3,1,0,0,0,0,0,0,0,1,0.2,0.066666667,0.56,9,0.6,1.176091259,1.176091259,0
310,273.1667929,4.566579718,5,13,22,1,4,0,0,0,0,0,0,0,1.692307692,0.076923077,0.307692308,0.294117647,5,0.384615385,1.113943352,1.342422681,0.7589919
320,277.1430028,4.817543339,7,16,20,4,0,0,0,0,0,0,0,0,1.25,0.25,0,0.357142857,7,0.4375,1.204119983,1.301029996,0.321928095
321,277.1790987,8.863201756,6,17,24,3,0,0,0,0,0,0,0,0,1.411764706,0.176470588,0,0.290322581,6,0.352941176,1.230448921,1.380211242,0.49749966
339,284.2944714,9.969337142,1,18,37,1,1,0,0,0,0,0,0,0,2.055555556,0.055555556,0.055555556,0,1,0.055555556,1.255272505,1.568201724,1.039528364
354,288.2529645,9.158633357,1,16,33,3,1,0,0,0,0,0,0,0,2.0625,0.1875,0.0625,0,1,0.0625,1.204119983,1.51851394,1.044394119
355,288.2529521,9.674373168,1,16,33,3,1,0,0,0,0,0,0,0,2.0625,0.1875,0.0625,0,1,0.0625,1.204119983,1.51851394,1.044394119
398,309.2260885,5.434190885,0,15,32,6,0,0,0,0,0,0,0,0,2.133333333,0.4,0,0,0,0,1.176091259,1.505149978,1.093109404
399,310.1938018,11.05366399,9.5,21,25,2,0,0,0,0,0,0,0,0,1.19047619,0.095238095,0,0.425,9.5,0.452380952,1.322219295,1.397940009,0.251538766
407,312.3256749,10.43621124,1,20,41,1,1,0,0,0,0,0,0,0,2.05,0.05,0.05,0,1,0.05,1.301029996,1.612783857,1.03562391
548,377.231957,10.79156732,7,22,32,5,0,0,0,0,0,0,0,0,1.454545455,0.227272727,0,0.230769231,7,0.318181818,1.342422681,1.505149978,0.540568382
569,386.2696953,4.725984556,4,19,35,5,3,0,0,0,0,0,0,0,1.842105263,0.263157895,0.157894737,0,4,0.210526316,1.278753601,1.544068044,0.881355503
574,388.3181984,4.249354858,2,20,41,4,3,0,0,0,0,0,0,0,2.05,0.2,0.15,0,2,0.1,1.301029996,1.612783857,1.03562391
575,389.2515842,6.262668137,5,19,34,3,4,0,0,0,0,0,0,0,1.789473684,0.157894737,0.210526316,0.111111111,5,0.263157895,1.278753601,1.531478917,0.839535328
608,404.2484171,3.29273645,4,17,33,6,5,0,0,0,0,0,0,0,1.941176471,0.352941176,0.294117647,0,4,0.235294118,1.230448921,1.51851394,0.956931278
627,413.2313593,10.88008626,10,25,32,5,0,0,0,0,0,0,0,0,1.28,0.2,0,0.333333333,10,0.4,1.397940009,1.505149978,0.35614381
640,417.2631293,9.410521677,8,25,36,5,0,0,0,0,0,0,0,0,1.44,0.2,0,0.244444444,8,0.32,1.397940009,1.556302501,0.526068812
646,420.4049887,12.67700342,-0.5,22,51,3,4,0,0,0,0,0,0,0,2.318181818,0.136363636,0.181818182,0,-0.5,-0.022727273,1.342422681,1.707570176,1.212993723
668,429.320194,10.86688391,3,24,44,6,0,0,0,0,0,0,0,0,1.833333333,0.25,0,0,3,0.125,1.380211242,1.643452676,0.874469118
684,438.3792209,11.06401692,-0.5,21,49,5,4,0,0,0,0,0,0,0,2.333333333,0.238095238,0.19047619,0,-0.5,-0.023809524,1.322219295,1.69019608,1.222392421
707,448.2745182,3.561155682,4,19,37,7,5,0,0,0,0,0,0,0,1.947368421,0.368421053,0.263157895,0,4,0.210526316,1.278753601,1.568201724,0.961525852
717,453.3439079,2.854648341,5,24,44,4,4,0,0,0,0,0,0,0,1.833333333,0.166666667,0.166666667,0.055555556,5,0.208333333,1.380211242,1.643452676,0.874469118
738,462.3410964,9.887673182,2,24,47,7,1,0,0,0,0,0,0,0,1.958333333,0.291666667,0.041666667,0,2,0.083333333,1.380211242,1.672097858,0.969626351
747,468.3897082,10.84407504,-0.5,22,51,6,4,0,0,0,0,0,0,0,2.318181818,0.272727273,0.181818182,0,-0.5,-0.022727273,1.342422681,1.707570176,1.212993723
748,468.3898321,10.86908852,-0.5,22,51,6,4,0,0,0,0,0,0,0,2.318181818,0.272727273,0.181818182,0,-0.5,-0.022727273,1.342422681,1.707570176,1.212993723
755,471.3305525,10.75896114,4,26,46,7,0,0,0,0,0,0,0,0,1.769230769,0.269230769,0,0.022222222,4,0.153846154,1.414973348,1.662757832,0.823122238
760,473.3452063,10.81979737,5,25,46,3,4,0,0,0,0,0,0,0,1.84,0.12,0.16,0.076923077,5,0.2,1.397940009,1.662757832,0.879705766
761,473.3461279,10.8680925,3,26,48,7,0,0,0,0,0,0,0,0,1.846153846,0.269230769,0,0,3,0.115384615,1.414973348,1.681241237,0.884522782
780,482.405342,11.05046708,-0.5,23,53,6,4,0,0,0,0,0,0,0,2.304347826,0.260869565,0.173913043,0,-0.5,-0.02173913,1.361727836,1.72427587,1.204358498
788,485.2884634,10.5338576,1,22,45,9,0,0,1,0,0,0,0,0,2.045454545,0.409090909,0,0,1,0.045454545,1.342422681,1.653212514,1.032421477
789,485.3371694,10.67614112,1,18,44,7,8,0,0,0,0,0,0,0,2.444444444,0.388888889,0.444444444,0,1,0.055555556,1.255272505,1.643452676,1.289506617
791,487.3623389,11.03553975,4,23,46,5,6,0,0,0,0,0,0,0,2,0.217391304,0.260869565,0,4,0.173913043,1.361727836,1.662757832,1
801,492.3012345,3.795509728,4,21,41,8,5,0,0,0,0,0,0,0,1.952380952,0.380952381,0.238095238,0,4,0.19047619,1.322219295,1.612783857,0.965234582
828,505.3148036,9.3163701,0,24,50,7,0,1,0,0,0,0,0,0,2.083333333,0.291666667,0,0,0,0,1.380211242,1.698970004,1.058893689
835,509.2879871,5.10545578,8,26,40,8,2,0,0,0,0,0,0,0,1.538461538,0.307692308,0.076923077,0.15,8,0.307692308,1.414973348,1.602059991,0.621488376
840,512.4157327,10.85626959,-0.5,24,55,7,4,0,0,0,0,0,0,0,2.291666667,0.291666667,0.166666667,0,-0.5,-0.020833333,1.380211242,1.740362689,1.196397213
849,518.3701059,11.32380764,3,27,51,8,1,0,0,0,0,0,0,0,1.888888889,0.296296296,0.037037037,0,3,0.111111111,1.431363764,1.707570176,0.91753784
858,521.3452634,10.77932816,8,26,44,5,6,0,0,0,0,0,0,0,1.692307692,0.192307692,0.230769231,0.142857143,8,0.307692308,1.414973348,1.643452676,0.7589919
864,524.3700088,10.72023103,1,26,54,7,1,0,1,0,0,0,0,0,2.076923077,0.269230769,0.038461538,0,1,0.038461538,1.414973348,1.73239376,1.054447784
868,526.2695198,10.96033203,4,25,45,6,1,0,0,2,0,0,0,0,1.8,0.24,0.04,0.023809524,4,0.16,1.397940009,1.653212514,0.847996907
869,526.4313573,11.0292043,-0.5,25,57,7,4,0,0,0,0,0,0,0,2.28,0.28,0.16,0,-0.5,-0.02,1.397940009,1.755874856,1.189033824
873,530.4050841,10.9311074,3,29,55,7,1,0,0,0,0,0,0,0,1.896551724,0.24137931,0.034482759,0,3,0.103448276,1.462397998,1.740362689,0.923378718
884,537.8783406,10.53870831,9.5,11,10,15,0,0,5,0,0,0,0,0,0.909090909,1.363636364,0,0,9.5,0.863636364,1.041392685,1,-0.137503524
895,544.3840626,11.26464328,4,29,53,8,1,0,0,0,0,0,0,0,1.827586207,0.275862069,0.034482759,0,4,0.137931034,1.462397998,1.72427587,0.86993946
913,556.4421265,10.84095212,-0.5,26,59,8,4,0,0,0,0,0,0,0,2.269230769,0.307692308,0.153846154,0,-0.5,-0.019230769,1.414973348,1.770852012,1.182203331
917,561.3977025,10.84126917,12,37,52,4,0,0,0,0,0,0,0,0,1.405405405,0.108108108,0,0.285714286,12,0.324324324,1.568201724,1.716003344,0.490986352
930,570.2969651,10.95094532,4,27,49,7,1,0,0,2,0,0,0,0,1.814814815,0.259259259,0.037037037,0,4,0.148148148,1.431363764,1.69019608,0.859822342
932,570.4577558,11.028936,-0.5,27,61,8,4,0,0,0,0,0,0,0,2.259259259,0.296296296,0.148148148,0,-0.5,-0.018518519,1.431363764,1.785329835,1.175849835
933,572.4176718,10.7455086,4,31,57,8,1,0,0,0,0,0,0,0,1.838709677,0.258064516,0.032258065,0,4,0.129032258,1.491361694,1.755874856,0.878693703
961,588.4106691,10.46521002,4,31,57,9,1,0,0,0,0,0,0,0,1.838709677,0.290322581,0.032258065,0,4,0.129032258,1.491361694,1.755874856,0.878693703
975,600.4682105,10.82422939,-0.5,28,63,9,4,0,0,0,0,0,0,0,2.25,0.321428571,0.142857143,0,-0.5,-0.017857143,1.447158031,1.799340549,1.169925001
979,605.4241982,10.82653971,12,39,56,5,0,0,0,0,0,0,0,0,1.435897436,0.128205128,0,0.260273973,12,0.307692308,1.591064607,1.748188027,0.521952703
987,616.4445884,10.75826292,4,33,61,9,1,0,0,0,0,0,0,0,1.848484848,0.272727273,0.03030303,0,4,0.121212121,1.51851394,1.785329835,0.886343218
993,621.4004076,10.77205684,0,30,62,9,0,1,0,0,0,0,0,0,2.066666667,0.3,0,0,0,0,1.477121255,1.792391689,1.047305715
994,623.4118174,10.83098838,4,33,60,9,0,0,0,0,0,0,0,0,1.818181818,0.272727273,0,0,4,0.121212121,1.51851394,1.77815125,0.862496476
1005,632.4741406,10.97882229,8,35,61,5,5,0,0,0,0,0,0,0,1.742857143,0.142857143,0.142857143,0.109090909,8,0.228571429,1.544068044,1.785329835,0.801454321
1022,646.4542924,10.54532658,4,34,63,10,1,0,0,0,0,0,0,0,1.852941176,0.294117647,0.029411765,0,4,0.117647059,1.531478917,1.799340549,0.889817082
1023,646.4897012,11.13834554,8,36,63,5,5,0,0,0,0,0,0,0,1.75,0.138888889,0.138888889,0.105263158,8,0.222222222,1.556302501,1.799340549,0.807354922
1036,660.4630143,10.78831074,4,35,65,10,1,0,0,0,0,0,0,0,1.857142857,0.285714286,0.028571429,0,4,0.114285714,1.544068044,1.812913357,0.893084796
1040,667.4396623,10.81357277,4,35,64,10,0,0,0,0,0,0,0,0,1.828571429,0.285714286,0,0,4,0.114285714,1.544068044,1.806179974,0.870716983
1049,674.4868877,10.91883917,4,36,67,10,1,0,0,0,0,0,0,0,1.861111111,0.277777778,0.027777778,0,4,0.111111111,1.556302501,1.826074803,0.896164189
1064,690.4815508,10.51092555,4,36,67,11,1,0,0,0,0,0,0,0,1.861111111,0.305555556,0.027777778,0,4,0.111111111,1.556302501,1.826074803,0.896164189
1081,706.5100624,10.7787193,8,38,67,7,5,0,0,0,0,0,0,0,1.763157895,0.184210526,0.131578947,0.06779661,8,0.210526316,1.579783597,1.826074803,0.818161677
1092,720.5261803,10.92175335,8,39,69,7,5,0,0,0,0,0,0,0,1.769230769,0.179487179,0.128205128,0.06557377,8,0.205128205,1.591064607,1.838849091,0.823122238
1100,725.4817414,10.91777844,4,38,70,11,0,0,0,0,0,0,0,0,1.842105263,0.289473684,0,0,4,0.105263158,1.579783597,1.84509804,0.881355503
1105,734.5072799,10.58066089,4,38,71,12,1,0,0,0,0,0,0,0,1.868421053,0.315789474,0.026315789,0,4,0.105263158,1.579783597,1.851258349,0.901819606
1106,734.5417949,11.07244161,8,40,71,7,5,0,0,0,0,0,0,0,1.775,0.175,0.125,0.063492063,8,0.2,1.602059991,1.851258349,0.827819025
1112,748.524729,10.76747175,4,39,73,12,1,0,0,0,0,0,0,0,1.871794872,0.307692308,0.025641026,0,4,0.102564103,1.591064607,1.86332286,0.90442234
1115,750.5355926,10.75663039,8,40,71,8,5,0,0,0,0,0,0,0,1.775,0.2,0.125,0.048387097,8,0.2,1.602059991,1.851258349,0.827819025
1118,755.4902141,10.72516921,4,39,72,12,0,0,0,0,0,0,0,0,1.846153846,0.307692308,0,0,4,0.102564103,1.591064607,1.857332496,0.884522782
1120,762.5410306,10.93211135,4,40,75,12,1,0,0,0,0,0,0,0,1.875,0.3,0.025,0,4,0.1,1.602059991,1.875061263,0.906890596
1132,778.5674913,11.03052317,8,42,75,8,5,0,0,0,0,0,0,0,1.785714286,0.19047619,0.119047619,0.045454545,8,0.19047619,1.62324929,1.875061263,0.836501268
1140,792.5499646,10.76474891,4,41,77,13,1,0,0,0,0,0,0,0,1.87804878,0.317073171,0.024390244,0,4,0.097560976,1.612783857,1.886490725,0.909234536
1144,797.5047507,10.66667397,0,38,78,13,0,1,0,0,0,0,0,0,2.052631579,0.342105263,0,0,0,0,1.579783597,1.892094603,1.037474705
1152,822.5944017,11.01096207,8,44,79,9,5,0,0,0,0,0,0,0,1.795454545,0.204545455,0.113636364,0.028985507,8,0.181818182,1.643452676,1.897627091,0.844349129
1153,836.5773258,10.76550011,4,43,81,14,1,0,0,0,0,0,0,0,1.88372093,0.325581395,0.023255814,0,4,0.093023256,1.633468456,1.908485019,0.913585248
1180,166.0864305,1.456997547,5,9,11,2,1,0,0,0,0,0,0,0,1.222222222,0.222222222,0.111111111,0.5,5,0.555555556,0.954242509,1.041392685,0.289506617
1183,167.0895761,0.645632723,4.5,9,12,2,1,0,0,0,0,0,0,0,1.333333333,0.222222222,0.111111111,0.428571429,4.5,0.5,0.954242509,1.079181246,0.415037499
1184,167.0888724,0.85893416,4.5,9,12,2,1,0,0,0,0,0,0,0,1.333333333,0.222222222,0.111111111,0.428571429,4.5,0.5,0.954242509,1.079181246,0.415037499
1195,174.0551396,0.952692398,8,10,7,2,1,0,0,0,0,0,0,0,0.7,0.2,0.1,0.8125,8,0.8,1,0.84509804,-0.514573173
1201,179.0657936,4.327395228,1,7,15,1,0,1,1,0,0,0,0,0,2.142857143,0.142857143,0,0,1,0.142857143,0.84509804,1.176091259,1.099535674
1213,184.0969665,3.981099524,4,9,13,3,1,0,0,0,0,0,0,0,1.444444444,0.333333333,0.111111111,0.307692308,4,0.444444444,0.954242509,1.113943352,0.530514716
1244,197.1036462,0.624477934,5,8,12,2,4,0,0,0,0,0,0,0,1.5,0.25,0.5,0.666666667,5,0.625,0.903089987,1.079181246,0.584962501
1251,198.1853177,11.31808778,2,12,23,1,1,0,0,0,0,0,0,0,1.916666667,0.083333333,0.083333333,0.095238095,2,0.166666667,1.079181246,1.361727836,0.938599456
1258,200.9726838,0.527195141,2.5,3,5,4,2,1,0,1,0,0,0,0,1.666666667,1.333333333,0.666666667,0,2.5,0.833333333,0.477121255,0.698970004,0.736965594
1259,201.0732538,2.108605725,1,7,14,5,0,0,0,0,0,0,0,0,2,0.714285714,0,0,1,0.142857143,0.84509804,1.146128036,1
1261,202.1802868,0.624215954,1,11,23,2,1,0,0,0,0,0,0,0,2.090909091,0.181818182,0.090909091,0,1,0.090909091,1.041392685,1.361727836,1.064130337
1262,202.1802718,0.840768468,1,11,23,2,1,0,0,0,0,0,0,0,2.090909091,0.181818182,0.090909091,0,1,0.090909091,1.041392685,1.361727836,1.064130337
1269,205.1224706,7.868352994,6,13,16,2,0,0,0,0,0,0,0,0,1.230769231,0.153846154,0,0.416666667,6,0.461538462,1.113943352,1.204119983,0.299560282
1280,207.1381126,9.97744591,5,13,18,2,0,0,0,0,0,0,0,0,1.384615385,0.153846154,0,0.333333333,5,0.384615385,1.113943352,1.255272505,0.469485284
1305,213.1120703,3.176525407,1,9,18,4,0,0,0,0,0,0,0,0,2,0.444444444,0,0,1,0.111111111,0.954242509,1.255272505,1
1307,213.1119954,6.903894056,4.5,9,14,3,3,0,0,0,0,0,0,0,1.555555556,0.333333333,0.333333333,0.333333333,4.5,0.5,0.954242509,1.146128036,0.637429921
1325,218.9819712,0.544552342,2,4,9,2,2,1,1,0,0,0,0,0,2.25,0.5,0.5,0,2,0.5,0.602059991,0.954242509,1.169925001
