SampleID,Pn_multiseries_A_DOM_I,Pn_multiseries_A_DOM_II,Pn_multiseries_B_DOM_I,Pn_multiseries_B_DOM_II,Pn_delicatissima_A_DOM_I,Pn_delicatissima_A_DOM_II,Pn_delicatissima_B_DOM_I,Pn_delicatissima_B_DOM_II,Pn_subpacifica_A_DOM_I,Pn_subpacifica_A_DOM_II,Pn_subpacifica_B_DOM_I,Pn_subpacifica_B_DOM_II,Pn_galaxiae_A_DOM_I,Pn_galaxiae_A_DOM_II,Pn_galaxiae_B_DOM_I,Pn_galaxiae_B_DOM_II,Pn_hasleana_A_DOM_I,Pn_hasleana_A_DOM_II,Pn_hasleana_B_DOM_I,Pn_hasleana_B_DOM_II,Pn_multiseries_A_Unfil_I,Pn_multiseries_A_Unfil_II,Pn_multiseries_B_Unfil_I,Pn_multiseries_B_Unfil_II,Pn_delicatissima_A_Unfil_I,Pn_delicatissima_A_Unfil_II,Pn_delicatissima_B_Unfil_I,Pn_delicatissima_B_Unfil_II,Pn_subpacifica_A_Unfil_I,Pn_subpacifica_A_Unfil_II,Pn_subpacifica_B_Unfil_I,Pn_subpacifica_B_Unfil_II,Pn_galaxiae_A_Unfil_I,Pn_galaxiae_A_Unfil_II,Pn_galaxiae_B_Unfil_I,Pn_galaxiae_B_Unfil_II,Pn_hasleana_A_Unfil_I,Pn_hasleana_A_Unfil_II,Pn_hasleana_B_Unfil_I,Pn_hasleana_B_Unfil_II
9,5798973,5398148,5512218,5349220,5278370,5566219,8752297,6339069,5543803,6084845,1.91e+7,2e+7,9178382,8924684,1.26e+7,1.23e+7,4680941,3824097,6162809,5651877,4735073,5010155,4912002,447896,4948866,5191326,3778902,3640516,5502007,4263634,1.76e+7,1.59e+7,3888660,4565028,4245702,4248879,4315897,3917838,1.31e+7,6176863
12,768380,374352,2923369,2239532,2331513,5473567,5634674,5197759,2266524,5477487,5163309,5069647,2376576,5317872,2394837,5224528,2334959,5548691,4929555,5350986,2494709,5597803,5275213,5187586,2065125,5622895,5372805,5738596,547200,5723329,5648034,5907839,2151273,5682067,634700,5811940,434662,5846087,5663029,748332
43,300717,84296.2,102625,208482,81317,171954,147130,306198,156007,996620,179125,209374,58748.1,259772,309410,389844,275210,225553,275209,241510,620553,707832,356976,3956347,332394,982706,624242,30293.9,216937,110433,294951,234051,606025,670068,873376,365282,924000,1021080,875139,1353935
53,1.77e+7,1.38e+7,1.22e+7,1.59e+7,3.2e+7,2.97e+7,3.85e+7,3.56e+7,9255227,6305962,9727911,9262141,3.11e+7,2.27e+7,4.95e+7,4.14e+7,3.46e+7,2.43e+7,5.62e+7,3.97e+7,1.87e+7,1.08e+7,1.26e+7,617893,6.94e+7,1.14e+8,7.74e+7,8.84e+7,5745643,8428883,5896023,8192141,5.9e+7,1.07e+8,5.95e+7,6.7e+7,7.51e+7,6.46e+7,1.06e+8,8.79e+7
58,445938,618546,2050145,913561,2005770,1803698,1262316,3383876,7626752,680787,377508,611672,748277,3338967,434628,4586162,457452,645197,732276,558371,452450,598598,274301,656590,677449,2482278,185501,426737,609018,702754,691787,802893,706154,281056,356198,1199390,724854,7772021,555157,2.87e+7
66,218408,410901,826285,458269,532483,621846,195830,1350146,2931053,280974,239413,273492,193151,1331039,165402,1563728,170659,270260,266606,267490,172933,238644,252861,253186,179430,762825,265341,338439,270222,290564,270747,278366,137176,305986,259562,474049,319412,2963517,309719,1.13e+7
86,1280114,1143032,1040335,1336400,3761294,4963487,4328847,4495481,642678,547387,519164,464689,3530606,3404591,1.05e+7,1.19e+7,8636451,7683040,6775053,7307672,2.04e+7,2.78e+7,2.07e+7,1899950,1.99e+8,2.52e+8,3.57e+8,2.82e+8,6175408,3975187,4772753,4462550,1.56e+8,2.45e+8,1.59e+8,2.08e+8,3.89e+8,3.36e+8,2.82e+8,3.51e+8
135,1197557,1443039,898349,1230020,1451166,1017788,1226872,1314975,1083447,516528,1191320,1197581,119103,108106,193655,205337,171744,72789.8,499654,249749,960641,1865125,561371,15717.5,1324752,706449,1307348,809489,1462434,691277,1330710,1104490,338767,291795,499213,367025,140793,259724,308919,137371
147,5069552,5336283,5188645,3004965,4.75e+7,3.82e+7,1.63e+7,3018396,2.42e+7,1724516,2.2e+7,1.86e+7,1.26e+7,4575676,2794163,2762678,5242648,2263739,1.17e+7,2203532,5044259,505381,1.11e+7,266371,1.16e+7,8771483,1.2e+7,1.4e+7,6157819,8734567,2155218,1.56e+7,1.67e+7,3888001,2.42e+7,6940409,1.67e+7,6175210,1.54e+7,7578876
175,1480778,3909101,3517792,3259291,9709047,9893891,9742770,9636248,6490482,1.17e+7,1.16e+7,1.21e+7,156240,60549.7,2554402,2218826,2838226,1997358,68732.9,297829,1253801,3033260,3050527,185899,1.04e+7,1.05e+7,1.02e+7,1.06e+7,7012605,8323797,1.33e+7,1.29e+7,8910026,8464146,1.15e+7,1.05e+7,8707609,8316349,1.12e+7,9929083
186,4806363,4530274,9212873,6133103,9167725,1.04e+7,1.05e+7,1.46e+7,2.64e+7,2.62e+7,3.01e+7,3.03e+7,1.13e+7,1.2e+7,8662195,7049908,6589259,5894112,1.1e+7,1.28e+7,4503454,4612465,4356589,445729,9521801,7989923,1.91e+7,9366113,3.34e+7,2.94e+7,3.06e+7,2.83e+7,1.65e+7,1.04e+7,8663448,8856144,7171161,6959091,1.81e+7,5159868
188,2438727,2554061,1334984,2874949,1809061,1569109,1032204,2812039,2044249,2190633,3191945,2758968,1708565,2349871,1250249,818663,2179531,795574,2254075,944033,1979755,586553,1484998,47042,936267,1462256,3132932,2245504,1357631,1313407,2229040,1516416,2281542,1156391,2913847,1491844,1840113,1084779,1328155,1485544
189,1.46e+7,2554061,9080813,1.44e+7,1809061,1569109,1032204,2812039,1862974,2190633,9933329,2758968,1708565,1.07e+7,1250249,2394022,2179531,795574,2254075,944033,1979755,586553,1484998,47042,936267,1462256,3132932,2245504,1357631,1313407,2229040,1516416,2281542,1156391,2913847,1491844,1.26e+7,7190633,5781879,1485544
194,649870,451578,470809,894230,6295129,894364,3674986,1137814,7556805,1014256,3505188,3021464,498299,1606144,2446144,1314725,1375868,572377,1606508,517286,1549479,316853,5114278,85416.7,1243296,350530,3324398,447507,776876,1.14e+7,1012152,8283514,2397363,961321,3774546,412420,1652600,503013,807655,533553
209,1.42e+7,1.41e+7,1.23e+7,1.31e+7,1.23e+7,1.33e+7,1.33e+7,1.78e+7,5939356,6100179,5052725,5267370,3106348,2702714,2078919,1619074,2117544,2120825,2995524,2477112,1.35e+7,1.46e+7,1.4e+7,1550811,2.12e+7,2.18e+7,1.92e+7,1.9e+7,6651996,5215106,6466344,5386957,2754610,2419637,3165012,2578969,1972717,2113390,2647687,2163717
231,3.59e+7,3.49e+7,2.18e+7,2.52e+7,4.75e+7,5.3e+7,6.48e+7,6.5e+7,4.66e+7,4.53e+7,1.8e+8,1.92e+8,2.71e+7,2.43e+7,6.33e+7,5.65e+7,4.48e+7,3.67e+7,3.83e+7,3.31e+7,2.24e+7,2.34e+7,2.35e+7,497639,6.31e+7,6.69e+7,4.37e+7,3.96e+7,4.47e+7,3.95e+7,8.37e+7,8.7e+7,2.06e+7,2.07e+7,3.81e+7,3.7e+7,4.16e+7,4.05e+7,4.31e+7,5.17e+7
235,93800.8,43254.3,99565.8,177297,83191.9,143678,186034,343836,57432.3,50646.3,88512.6,105016,573235,906974,1712697,2602796,2659839,1605127,1739599,1245811,99346.2,284492,101514,1270.54,106703,111527,236979,94184.1,69376.7,53932.2,34790.1,43688.4,762024,709052,522720,795046,2770347,2437653,1683184,2049578
252,1059441,921271,838966,771519,1748859,1849719,1820519,2999632,319737,214866,452667,293043,852919,634769,1469885,768468,1181867,1255049,1656911,951600,480650,762459,776837,22258.5,2414074,1519236,2251516,1509342,177695,140733,252500,128543,729023,274056,768831,993309,1391889,1825875,527049,1106550
260,0,27991,0,0,0,0,0,0,0,0,0,0,0,0,0,258.575,0,0,0,0,4615.21,498905,0,0,1254.04,0,0,0,0,0,191716,0,0,0,1501.37,0,691.515,0,45112.8,0
268,1.58e+7,1.4e+7,1.65e+7,1.86e+7,1.13e+7,1.19e+7,1.47e+7,1.61e+7,1.52e+7,1.42e+7,2.05e+7,2.09e+7,1.27e+7,1.28e+7,1.55e+7,1.38e+7,7892504,6110439,2.27e+7,1.91e+7,1.2e+7,1.27e+7,1.67e+7,865784,1.44e+7,1.42e+7,1.16e+7,1.14e+7,1.57e+7,1.51e+7,2.25e+7,2.2e+7,1.05e+7,1.15e+7,1.63e+7,1.73e+7,7194578,6744020,8928070,1.13e+7
310,1.45e+8,1.43e+8,8.67e+7,9.06e+7,1.69e+8,1.86e+8,2.39e+8,2.4e+8,1.71e+8,1.72e+8,6.62e+8,6.87e+8,6.66e+7,6.36e+7,2.22e+8,2.11e+8,1.71e+8,1.41e+8,8.9e+7,1.2e+8,8.75e+7,9e+7,8.72e+7,4541979,2.14e+8,2.29e+8,1.49e+8,1.37e+8,1.64e+8,1.46e+8,3.1e+8,3.1e+8,5.16e+7,5.19e+7,1.32e+8,1.25e+8,1.45e+8,1.38e+8,2.09e+8,1.83e+8
320,971911,1317215,545475,702446,566594,1141802,249143,1201356,707596,886193,853119,1199505,1.2e+7,7017666,2.13e+7,1.98e+7,1.74e+7,1.01e+7,1.33e+7,1.19e+7,411740,782148,888596,35647.1,1537211,2537368,2680818,4662890,1339013,869144,1006080,850760,1.26e+7,8484959,1.24e+7,1.13e+7,1.22e+7,1.08e+7,1.93e+7,1.67e+7
321,1293623,413120,1310504,926421,4360486,5383801,1014705,2350668,432317,1108780,556820,865838,3548448,4645984,3.05e+7,1.2e+7,1.66e+7,1.72e+7,7193275,6024191,2643568,3423353,2834421,221186,3.13e+7,1.02e+8,3.84e+7,1.06e+8,2058918,2787420,2753950,3918376,1.91e+7,7336064,1.81e+7,2.11e+7,1.48e+7,3.47e+7,2.66e+7,3.58e+7
339,2113912,1195335,634450,77497.9,625734,63525.1,333983,98247.5,396586,1847748,55044.3,1393747,827995,137133,2462785,785516,178077,38553.4,1.84e+7,2340049,197270,330937,1704048,27519,9688371,9720408,1.81e+7,1.27e+7,303487,3420780,169058,626213,3799682,620059,3198174,2495327,2.57e+7,2502385,1.61e+7,4188982
348,1440706,113242,278107,1065632,56547.2,64503.3,17835.5,465582,41117,1.16e+7,50664.1,9376.99,277402,171128,29157.1,166966,155344,87413.2,209221,21513,4065515,1.13e+7,436781,4064641,165170,5001866,646289,69227.9,1.33e+7,10285.5,1.36e+7,74797.1,37493.5,172649,478640,224071,234578,81332.5,2783231,89637
