#Scan#,inchi_combined,inchi_key
31,"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2",VYFYYTLLBUKUHU-UHFFFAOYSA-N
53,"InChI=1S/C11H16O2/c1-10(2)5-4-6-11(3)8(10)7-9(12)13-11/h7H,4-6H2,1-3H3",IMKHDCBNRDRUEB-UHFFFAOYSA-N
72,"InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3",MMOXZBCLCQITDF-UHFFFAOYSA-N
80,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2",UWHCKJMYHZGTIT-UHFFFAOYSA-N
130,"InChI=1S/C19H36N2O3/c22-18(23)15-11-6-4-2-1-3-5-7-12-16-20-19(24)21-17-13-9-8-10-14-17/h17H,1-16H2,(H,22,23)(H2,20,21,24)",HPTJABJPZMULFH-UHFFFAOYSA-N
192,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2",JLFNLZLINWHATN-UHFFFAOYSA-N
274,"InChI=1S/C20H37NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19(22)21-18-20(23)24/h9-10H,2-8,11-18H2,1H3,(H,21,22)(H,23,24)/b10-9-",HPFXACZRFJDURI-KTKRTIGZSA-N
332,"InChI=1S/C19H38O3/c1-3-4-5-12-15-18(20)16-13-10-8-6-7-9-11-14-17-19(21)22-2/h18,20H,3-17H2,1-2H3",RVWOWEQKPMPWMQ-UHFFFAOYSA-N
335,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2",JLFNLZLINWHATN-UHFFFAOYSA-N
337,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h7-8H,2-6,9-17H2,1H3,(H,19,20)/b8-7+",UWHZIFQPPBDJPM-BQYQJAHWSA-N
340,"InChI=1S/C18H37NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H2,19,20)",LYRFLYHAGKPMFH-UHFFFAOYSA-N
354,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",AOMUHOFOVNGZAN-UHFFFAOYSA-N
355,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",AOMUHOFOVNGZAN-UHFFFAOYSA-N
356,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",AOMUHOFOVNGZAN-UHFFFAOYSA-N
357,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",AOMUHOFOVNGZAN-UHFFFAOYSA-N
429,"InChI=1S/C22H42O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H,23,24)/b10-9-",DPUOLQHDNGRHBS-KTKRTIGZSA-N
433,"InChI=1S/C18H15O4P/c19-23(20-16-10-4-1-5-11-16,21-17-12-6-2-7-13-17)22-18-14-8-3-9-15-18/h1-15H",XZZNDPSIHUTMOC-UHFFFAOYSA-N
434,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2",JLFNLZLINWHATN-UHFFFAOYSA-N
697,"InChI=1S/C28H30N2O3/c1-5-29(6-2)19-13-15-23-25(17-19)33-26-18-20(30(7-3)8-4)14-16-24(26)27(23)21-11-9-10-12-22(21)28(31)32/h9-18H,5-8H2,1-4H3/p+1",CVAVMIODJQHEEH-UHFFFAOYSA-O
864,"InChI=1S/C26H54NO7P/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-31-23-26(34-25(2)28)24-33-35(29,30)32-22-20-27(3,4)5/h26H,6-24H2,1-5H3/t26-/m1/s1",HVAUUPRFYPCOCA-AREMUKBSSA-N
1017,"InChI=1S/C42H58O6/c1-29(18-14-19-31(3)22-23-37-38(6,7)26-35(47-33(5)43)27-40(37,10)46)16-12-13-17-30(2)20-15-21-32(4)36(45)28-42-39(8,9)24-34(44)25-41(42,11)48-42/h12-22,34-35,44,46H,24-28H2,1-11H3/b13-12+,18-14+,20-15+,29-16+,30-17+,31-19+,32-21+",SJWWTRQNNRNTPU-BWRPRJLXSA-N
1180,"InChI=1S/C17H17NO3/c19-16(12-14-9-5-2-6-10-14)18-15(17(20)21)11-13-7-3-1-4-8-13/h1-10,15H,11-12H2,(H,18,19)(H,20,21)/t15-/m0/s1",LIIPHJDKZNTNII-HNNXBMFYSA-N
1193,"InChI=1S/C15H24O4/c1-2-3-4-5-10(16)6-7-11-12-8-15(18)19-14(12)9-13(11)17/h6-7,10-14,16-17H,2-5,8-9H2,1H3/b7-6+/t10-,11+,12+,13+,14-/m0/s1",UMDQPEMZJHAFNL-FNLFQXNBSA-N
