ID_16S,ID_16S_new
P1706_089,CCE-P1706_139_D_I
P1706_090,CCE-P1706_140_D_I
P1706_095,CCE-P1706_145_D_I
P1706_096,CCE-P1706_146_D_I
P1706_035,CCE-P1706_47_D_I
P1706_036,CCE-P1706_49_D_I
P1706_041,CCE-P1706_59_D_I
P1706_042,CCE-P1706_61_D_I
P1706_047,CCE-P1706_71_D_I
P1706_048,CCE-P1706_73_D_I
Irina_6_c,Exp1_Pn-delicatissima_A_I
Irina_6_d,Exp1_Pn-delicatissima_A_II
Irina_14_c,Exp1_Pn-delicatissima_B_I
Irina_14_d,Exp1_Pn-delicatissima_B_II
Irina_C,Exp1_Pn-multiseries_A_I
Irina_D,Exp1_Pn-multiseries_A_II
Irina_5_c,Exp1_Pn-subpacifica_A_I
Irina_5_d,Exp1_Pn-subpacifica_A_II
Irina_13_c,Exp1_Pn-subpacifica_B_I
Irina_13_d,Exp1_Pn-subpacifica_B_II
Irina_d1,Exp2_Pn-delicatissima_A_I
Irina_d2,Exp2_Pn-delicatissima_B_I
Irina_g1,Exp2_Pn-galaxiae_A_I
Irina_g2,Exp2_Pn-galaxiae_B_I
Irina_h1,Exp2_Pn-hasleana_A_I
Irina_h2,Exp2_Pn-hasleana_B_I
Irina_m1,Exp2_Pn-multiseries_A_I
Irina_m2,Exp2_Pn-multiseries_B_I
Irina_s1,Exp2_Pn-subpacifica_A_I
Irina_s2,Exp2_Pn-subpacifica_B_I
Irina_Goleta,Piers_Goleta_I_I
Irina_Newport,Piers_NewportBeach_I_I
Irina_Newport_M,Piers_NewportBeach_M_I
Irina_SantaMonica,Piers_SantaMonica_I_I
Irina_Scripps,Piers_Scripps_I_I
Irina_Scripps_M,Piers_Scripps_M_I
Irina_SantaBarbara,Piers_StearnWharf_I_I
