ID_MS,ID_new,ID_16S,ID_16S_new
Blank_Fieldtrip,Piers_PPLBlank_D_Unfil_I,,
CCE_P1706_1_MSMS,CCE-P1706_PPLBlank_D_Unfil_I,,
CCE_P1706_139_MSMS,CCE-P1706_139_D_Unfil_I,P1706_089,CCE_P1706_139_D
CCE_P1706_140_MSMS,CCE-P1706_140_D_Unfil_I,P1706_090,CCE_P1706_140_D
CCE_P1706_145_MSMS,CCE-P1706_145_D_Unfil_I,P1706_095,CCE-P1706_145_D
CCE_P1706_146_MSMS,CCE-P1706_146_D_Unfil_I,P1706_096,CCE-P1706_146_D
CCE_P1706_2_MSMS,CCE-P1706_PPLBlank_D_Unfil_II,,
CCE_P1706_47_MSMS,CCE-P1706_47_D_Unfil_I,P1706_035,CCE-P1706_47_D
CCE_P1706_48_MSMS,CCE-P1706_47_D_Unfil_II,P1706_035,CCE-P1706_47_D
CCE_P1706_49_MSMS,CCE-P1706_49_D_Unfil_I,P1706_036,CCE-P1706_49_D
CCE_P1706_50_MSMS,CCE-P1706_49_D_Unfil_II,P1706_036,CCE-P1706_49_D
CCE_P1706_59_MSMS,CCE-P1706_59_D_Unfil_I,P1706_041,CCE-P1706_59_D
CCE_P1706_60_MSMS,CCE-P1706_59_D_Unfil_II,P1706_041,CCE-P1706_59_D
CCE_P1706_61_MSMS,CCE-P1706_61_D_Unfil_I,P1706_042,CCE-P1706_61_D
CCE_P1706_62_MSMS,CCE-P1706_61_D_Unfil_II,P1706_042,CCE-P1706_61_D
CCE_P1706_71_MSMS,CCE-P1706_71_D_Unfil_I,P1706_047,CCE-P1706_71_D
CCE_P1706_72_MSMS,CCE-P1706_71_D_Unfil_II,P1706_047,CCE-P1706_71_D
CCE_P1706_73_MSMS,CCE-P1706_73_D_Unfil_I,P1706_048,CCE-P1706_73_D
CCE_P1706_74_MSMS,CCE-P1706_73_D_Unfil_II,P1706_048,CCE-P1706_73_D
Goleta_I,Piers_Goleta_I_DOM_I,Irina_Goleta,Piers_Goleta_I
Goleta_II,Piers_Goleta_I_DOM_II,Irina_Goleta,Piers_Goleta_I
Goleta_III,Piers_Goleta_I_DOM_III,Irina_Goleta,Piers_Goleta_I
Media_Blank_100mL,Exp1_MediaBlank_A_DOM_100,,
Media_Blank_A_DOM_I,Exp2_MediaBlank_A_DOM_I,,
Media_Blank_A_DOM_II,Exp2_MediaBlank_A_DOM_II,,
Media_Blank_A_Unfil_I,Exp2_MediaBlank_A_Unfil_I,,
Media_Blank_A_Unfil_II,Exp2_MediaBlank_A_Unfil_II,,
Newport_Beach_I,Piers_NewportBeach_I_DOM_I,Irina_Newport,Piers_NewportBeach_I
