FeatureID,mz,RT,C,H,O,N,S,P,Cl,Br,B,Se,I,H/C,O/C,N/C,AI-mod,DBE,DBE/C,Formula,ZodiacScore
1,150.0142901,13.19087302,2,3,5,3,0,0,0,0,0,0,0,1.5,2.5,1.5,0,3,1.5,C2H3N3O5,0.998598599
2,150.0267532,8.921623993,4,5,2,3,0,0,0,0,0,0,0,1.25,0.5,0.75,0,4,1,C4H5N3O2,0.69009009
3,151.0345273,0.554069103,4,6,2,3,0,0,0,0,0,0,0,1.5,0.5,0.75,0,3.5,0.875,C4H6N3O2,0.9998999
4,151.947781,0.554883772,2,0,6,0,0,1,0,0,0,0,0,0,3,0,0,3.5,1.75,C2O6P,0.485285285
5,152.995025,13.12784791,2,4,4,2,1,0,0,0,0,0,0,2,2,1,0,2,1,C2H4N2O4S,0.83973974
6,153.1386887,13.06331397,9,16,0,2,0,0,0,0,0,0,0,1.777777778,0,0.222222222,0.285714286,3,0.333333333,C9H16N2,1
7,154.9903045,13.13013352,4,7,1,1,0,1,0,0,0,0,0,1.75,0.25,0.25,0.666666667,2.5,0.625,C4H7NOP,0.975875876
8,156.9899492,13.10100461,4,5,2,1,0,0,1,0,0,0,0,1.25,0.5,0.25,0.75,3,0.75,C4H5ClNO2,0.978378378
9,157.0836858,1.912408037,6,10,2,3,0,0,0,0,0,0,0,1.666666667,0.333333333,0.5,0.5,3.5,0.583333333,C6H10N3O2,1
10,158.0030093,13.21458919,4,5,0,3,0,2,0,0,0,0,0,1.25,0,0.75,0,5,1.25,C4H5N3P2,0.643143143
11,158.1540927,8.071138828,9,19,1,1,0,0,0,0,0,0,0,2.111111111,0.111111111,0.111111111,0,1,0.111111111,C9H19NO,1
12,161.0822338,0.44843438,8,8,0,4,0,0,0,0,0,0,0,1,0,0.5,1.25,7,0.875,C8H8N4,1
13,163.0459178,13.24279125,3,6,4,4,0,0,0,0,0,0,0,2,1.333333333,1.333333333,0,3,1,C3H6N4O4,1
14,163.075461,7.356050133,10,10,2,0,0,0,0,0,0,0,0,1,0.2,0,0.555555556,6,0.6,C10H10O2,1
15,163.0754399,7.526940563,10,10,2,0,0,0,0,0,0,0,0,1,0.2,0,0.555555556,6,0.6,C10H10O2,1
16,163.0979096,11.27579044,8,10,0,4,0,0,0,0,0,0,0,1.25,0,0.5,1,6,0.75,C8H10N4,1
17,163.0979119,11.48743095,8,10,0,4,0,0,0,0,0,0,0,1.25,0,0.5,1,6,0.75,C8H10N4,1
18,163.1330055,4.852841316,8,18,3,0,0,0,0,0,0,0,0,2.25,0.375,0,0,0,0,C8H18O3,1
20,163.9905954,13.09170266,3,11,1,0,0,2,0,0,0,0,0,3.666666667,0.333333333,0,0,-0.5,-0.166666667,C3H11OP2,0.837437437
21,164.1435073,3.812843716,11,17,0,1,0,0,0,0,0,0,0,1.545454545,0,0.090909091,0.35,4,0.363636364,C11H17N,1
22,167.0129089,8.989045722,4,6,1,3,1,0,0,0,0,0,0,1.5,0.25,0.75,0,3.5,0.875,C4H6N3OS,0.622422422
23,167.0129383,13.10079877,4,6,1,3,1,0,0,0,0,0,0,1.5,0.25,0.75,0,3.5,0.875,C4H6N3OS,0.998998999
24,167.9986556,13.1317007,5,8,1,1,0,1,0,0,0,0,0,1.6,0.2,0.2,0.6,3,0.6,C5H8NOP,0.9997998
26,170.1177373,4.014163186,9,15,2,1,0,0,0,0,0,0,0,1.666666667,0.222222222,0.111111111,0.214285714,3,0.333333333,C9H15NO2,1
27,171.0345567,9.041780635,5,6,1,4,1,0,0,0,0,0,0,1.2,0.2,0.8,0,5,1,C5H6N4OS,0.921721722
28,171.100994,3.115800639,7,12,2,3,0,0,0,0,0,0,0,1.714285714,0.285714286,0.428571429,0.333333333,3.5,0.5,C7H12N3O2,1
29,171.1492953,5.51502733,9,18,1,2,0,0,0,0,0,0,0,2,0.111111111,0.222222222,0.076923077,2,0.222222222,C9H18N2O,1
31,172.1334552,5.757727339,9,17,2,1,0,0,0,0,0,0,0,1.888888889,0.222222222,0.111111111,0.071428571,2,0.222222222,C9H17NO2,1
32,172.1696588,8.328887049,10,21,1,1,0,0,0,0,0,0,0,2.1,0.1,0.1,0,1,0.1,C10H21NO,1
33,172.169661,9.008057243,10,21,1,1,0,0,0,0,0,0,0,2.1,0.1,0.1,0,1,0.1,C10H21NO,1
34,172.9564651,13.11171963,3,4,3,1,1,0,0,0,0,0,0,1.333333333,1,0.333333333,0,2.5,0.833333333,C3H4NO3S,0.9998999
35,172.9772088,0.786003219,2,6,5,0,0,2,0,0,0,0,0,3,2.5,0,0,1,0.5,C2H6O5P2,1
36,173.0290416,0.552269438,2,7,2,4,0,1,0,0,0,0,0,3.5,1,2,0,2,1,C2H7N4O2P,0.97977978
37,173.0302826,13.1125601,4,4,4,4,0,0,0,0,0,0,0,1,1,1,0,5,1.25,C4H4N4O4,1
38,173.0797445,1.001098498,8,12,4,0,0,0,0,0,0,0,0,1.5,0.5,0,0.166666667,3,0.375,C8H12O4,1
39,173.0807845,4.591181391,8,12,4,0,0,0,0,0,0,0,0,1.5,0.5,0,0.166666667,3,0.375,C8H12O4,1
40,176.0136506,9.183991298,4,5,3,3,1,0,0,0,0,0,0,1.25,0.75,0.75,0,4,1,C4H5N3O3S,1
41,176.1057313,11.42065037,9,11,0,4,0,0,0,0,0,0,0,1.222222222,0,0.444444444,0.9,6.5,0.722222222,C9H11N4,1
42,177.0547095,8.922389247,10,8,3,0,0,0,0,0,0,0,0,0.8,0.3,0,0.647058824,7,0.7,C10H8O3,1
43,177.9512069,0.675917444,1,5,1,3,2,0,0,0,0,0,0,5,1,3,0,1,1,CH5N3OS2,0.393193193
44,178.1227512,0.641047344,11,15,1,1,0,0,0,0,0,0,0,1.363636364,0.090909091,0.090909091,0.421052632,5,0.454545455,C11H15NO,1
45,178.1227516,14.65220066,11,15,1,1,0,0,0,0,0,0,0,1.363636364,0.090909091,0.090909091,0.421052632,5,0.454545455,C11H15NO,1
46,179.0927785,11.38207063,8,10,1,4,0,0,0,0,0,0,0,1.25,0.125,0.5,1,6,0.75,C8H10N4O,1
47,179.990559,13.4221826,2,1,7,3,0,0,0,0,0,0,0,0.5,3.5,1.5,0,4,2,C2HN3O7,0.502402402
48,180.0394282,8.924077904,6,12,2,0,1,1,0,0,0,0,0,2,0.333333333,0,0,1.5,0.25,C6H12O2PS,0.965565566
49,180.1747408,7.329335529,12,21,0,1,0,0,0,0,0,0,0,1.75,0,0.083333333,0.227272727,3,0.25,C12H21N,1
50,180.9898836,13.12382047,1,6,5,2,1,0,0,0,0,0,0,6,5,2,0,0,0,CH6N2O5S,1
51,181.0145189,13.090396,1,8,4,3,1,0,0,0,0,0,0,8,4,3,0,-0.5,-0.5,CH8N3O4S,0.994894895
53,181.1223708,7.832916163,11,16,2,0,0,0,0,0,0,0,0,1.454545455,0.181818182,0,0.3,4,0.363636364,C11H16O2,1
54,182.0297822,0.727770479,4,7,7,1,0,0,0,0,0,0,0,1.75,1.75,0.25,0,2,0.5,C4H7NO7,0.998298298
55,182.1904329,4.655599018,12,23,0,1,0,0,0,0,0,0,0,1.916666667,0,0.083333333,0.136363636,2,0.166666667,C12H23N,1
56,182.9852956,0.134484742,5,7,2,1,0,1,0,0,0,0,0,1.4,0.4,0.2,0.75,3.5,0.7,C5H7NO2P,1
57,182.9852718,13.12327771,5,7,2,1,0,1,0,0,0,0,0,1.4,0.4,0.2,0.75,3.5,0.7,C5H7NO2P,1
58,184.9856684,0.537179033,4,5,4,1,0,1,0,0,0,0,0,1.25,1,0.25,0,3.5,0.875,C4H5NO4P,1
59,184.9856481,11.46900686,4,5,4,1,0,1,0,0,0,0,0,1.25,1,0.25,0,3.5,0.875,C4H5NO4P,1
60,184.9856542,13.09069017,4,5,4,1,0,1,0,0,0,0,0,1.25,1,0.25,0,3.5,0.875,C4H5NO4P,1
61,185.116881,4.852431712,10,16,3,0,0,0,0,0,0,0,0,1.6,0.3,0,0.176470588,3,0.3,C10H16O3,1
62,186.1489644,5.758245034,10,19,2,1,0,0,0,0,0,0,0,1.9,0.2,0.1,0.0625,2,0.2,C10H19NO2,1
63,186.2215196,8.840492509,12,27,0,1,0,0,0,0,0,0,0,2.25,0,0.083333333,0,0,0,C12H27N,1
64,186.9563523,0.495706337,4,5,4,0,0,1,0,0,0,0,0,1.25,1,0,0.5,3,0.75,C4H5O4P,1
65,186.9563517,13.27736193,3,4,3,2,1,0,0,0,0,0,0,1.333333333,1,0.666666667,0,3,1,C3H4N2O3S,0.999299299
66,186.9810491,0.521291752,3,6,2,3,1,0,0,0,0,0,0,2,0.666666667,1,0,2.5,0.833333333,C3H6N3O2S,1
67,186.9810385,13.09026643,3,6,2,3,1,0,0,0,0,0,0,2,0.666666667,1,0,2.5,0.833333333,C3H6N3O2S,1
68,188.1282397,4.023713168,9,17,3,1,0,0,0,0,0,0,0,1.888888889,0.333333333,0.111111111,0,2,0.222222222,C9H17NO3,1
69,190.0499291,8.923329433,10,7,3,1,0,0,0,0,0,0,0,0.7,0.3,0.1,0.8,8,0.8,C10H7NO3,1
70,191.1642353,6.875758473,10,22,3,0,0,0,0,0,0,0,0,2.2,0.3,0,0,0,0,C10H22O3,1
71,192.1383703,0.649606236,12,17,1,1,0,0,0,0,0,0,0,1.416666667,0.083333333,0.083333333,0.380952381,5,0.416666667,C12H17NO,1
